,id,name,des
备注,本命卡id+天赋等级,天赋技能名称,描述
,42041,绯斩,暴击率提升<color=#FFA517>10%</color>，每次暴击时造成等同自身生命值5%的伤害
,42042,绯斩,暴击率提升<color=#FFA517>15%</color>，每次暴击时造成等同自身生命值5%的伤害
,42043,绯斩,暴击率提升<color=#FFA517>20%</color>，每次暴击时造成等同自身生命值5%的伤害
,42141,源星,因援护或辅助技被打断进攻时，有<color=#FFA517>50%</color>几率使所有技能的冷却时间降低30%
,42142,源星,因援护或辅助技被打断进攻时，有<color=#FFA517>75%</color>几率使所有技能的冷却时间降低30%
,42143,源星,因援护或辅助技被打断进攻时，有<color=#FFA517>100%</color>几率使所有技能的冷却时间降低30%
,42341,反袭,每次队友战败时，我方全员恢复<color=#FFA517>500</color>点奥义值
,42342,反袭,每次队友战败时，我方全员恢复<color=#FFA517>750</color>点奥义值
,42343,反袭,每次队友战败时，我方全员恢复<color=#FFA517>1000</color>点奥义值
