,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,30751,3160,,0,7,,0,0,1,0,0,,
,30752,3160,,0,7,,0,0,1,0,0,,
,30753,3160,,0,7,,0,0,1,0,0,,
,40368,3160,,0,3,,0,0,1,1019,0,,
,40369,3160,,0,3,,0,0,1,1020,0,,
,40370,3160,,0,3,,0,0,1,1021,0,,
,40376,3160,,0,3,,0,0,1,1019,0,,
,40377,3160,,0,3,,0,0,1,1020,0,,
,60504,3160,,0,8,,0,0,1,0,0,,
