,id,skill_name,skill_desc,story
备注,本命id,本命天赋技能名,天赋技能描述总览,本命故事文本
灾亡龙巴哈姆特,4012,铁壁,格挡提升<color=#454FAB>8%（1级）</color>/<color=#454FAB>12%（2级）</color>/<br><color=#454FAB>16%（3级）</color>。,<line-indent=2em>若利刃再也无法斩断罪恶之链，那就长出撕裂万物的利爪。<br>若重铠再也无法抵御侵骨之痛，那就形成阻挡一切的鳞甲。<br>若守卫再也无法护佑珍视之物，那就使用暴戾杀戮的手段。<br>若此身再也无法阻碍魔族之厄，那就化作毁灭世界的存在。<br>于是，仅剩“懊悔”这一思绪的神之躯放弃了思考，化身为龙，成为了灾亡的象征。
炽天巨像基路伯,4013,圣铠,对战精英或领主时，受到伤害降低<color=#454FAB>10%（1级）</color>/<color=#454FAB>15%（2级）</color>/<color=#454FAB>20%（3级）</color>。,<line-indent=2em>这座巨像被边境居民崇敬地称呼为“炽天巨像基路伯”。自居民有记忆起，他便一直矗立在那儿。每次有魔族与魔兽靠近边境，就会被基路伯手中的武器击碎。无数史学家翻阅古籍，却未能知道关于基路伯的只言片语。<br>基路伯终日巡逻，不断重复着战斗。边境的居民将他视作保护神，但也有人觊觎这股力量而终日研究控制它的方法。<br>真相究竟是什么？基路伯并不在乎。只要那枚小小的拼图碎片还在体内，它就能按照主人的意志一直走下去。
双子杰米尼,4014,初源·Ⅱ,对战非冒险者时，初始奥义值提升<br><color=#454FAB>1000（1级）</color>/<color=#454FAB>1100（2级）</color>/<color=#454FAB>1200<br>（3级）</color>点。,<line-indent=2em>“听老船员说，杰米尼兄妹和那些掠夺者一样，是因为纳雅人的永恒航行而被带上天空的兽人后裔。”<br>“我不知道他们以前过着怎样的生活，或许很糟吧，毕竟兽人帝国最后也……不过自从他们偷走了希古纳斯的水晶吊坠后，一切都变了。”<br>“他们似乎只用了一个晚上就掌握了最高超的驾驶技巧。在那之后，他们驾驶飞空艇掠夺我们的商船，还把珍贵的物资分发给那些可恶的掠夺者们！”<br>“什么劫富济贫，说白了不还是强盗行径吗？总有一天，希古纳斯会把他们抓住的！”<br>——来自纳雅天空城某位商人的采访报告
喵灵贝斯忒,4022,闪避,闪避提升<color=#454FAB>3%（1级）</color>/<color=#454FAB>4%（2级）</color>/<color=#454FAB>6%<br>（3级）</color>。,<line-indent=2em>有人说，在这个世界以外，有另一个世界。在那个世界中，各种情感会化作名为兽灵的存在，过着无忧无虑的生活。<br>而她便是其中的一员，是快乐的化身。有人说，伴随着铃铛清脆的响声，她会出现在幸运者的面前，带来愉悦与欢乐。<br>“你在做什么呀喵？你要跟我玩吗喵？哦？小鱼干是我的喵！！”<br>不过在初见之时，你只会觉得她是一个无忧无虑的小调皮鬼。
贝希摩斯,4023,坚守,对战人族或妖精时，受到伤害降低<color=#454FAB>12%（1级）</color>/<color=#454FAB>18%（2级）</color>/<color=#454FAB>24%（3级）</color>。,<line-indent=2em>狂傲的怪物笃信着自身的强大，自诞生之日起，便向着一切发起着挑战。<br>巨鳄，狮子，大象，巨龙，它不停地挑战，寻找着自己的极限。唯有足够强大的生灵，才能够阻挡它的脚步，才能够让它躁动的灵魂停下。<br>然而最终，它却停在了一群人类的面前。为什么？为什么会输给如蝼蚁般弱小的人类？！直至灵魂消散，它仍未得出问题的答案。
镜月·柯莱迪娅,4024,循转·Ⅱ,受击时恢复奥义值提升<color=#454FAB>30%（1级）</color>/<br><color=#454FAB>45%（2级）</color>/<color=#454FAB>60%（3级）</color>。,<line-indent=2em>镜中有另一个世界。这是自镜子这一产物诞生于世起，便流传至今的传说。<br>但思绪影响魔力，魔力则会构成一切。传说影响着人们的思绪，最终使那个异界悄然诞生，并觉醒了自己的思绪。<br>映照万物的过程中，异界的思绪产生了不满。自己并不应该只是单纯映照事象的存在，而应当是更为强大，能够指定真相的意志。<br>于是，她观察着映照在镜中的存在，窃取他们的力量，等待着某天能够以绝伦的力量征服一切……<br>——这便是另一个关于镜子的传说。但这传说是否真实……就由世人自行猜测了。
傲狮利奥,4032,坚铠·Ⅰ,物理防御提升<color=#454FAB>5%（1级）</color>/<color=#454FAB>7%（2级）</color>/<br><color=#454FAB>9%（3级）</color>。,<line-indent=2em>自由联军与魔族的厮杀已经持续了数十天，这片大地笼罩在地狱的景象中。<br>无论自由联军如何英勇奋战，也未能阻止魔族的进攻。战线逐渐被撕裂，自由联军距离溃败仅一步之遥。<br>就在这个时刻，一枚流星划过天际，坠落在战场上。刹那间的宁静过后，一只巨爪自烟尘滚滚的陨石坑中伸出，轻易抓碎了靠近探查的魔族颅骨。在自由联军的注视下，利奥自陨石坑中站了起来，用自己的身躯守护将士们。<br>无人知晓它从何而来，为何守护自由联军。但是目睹这一切的联军战士们相信，这场战役的胜利天平已倾向了他们。
守护灵罗慕,4033,苍垒,对战兽人或异虫时，受到伤害降低<color=#454FAB>12%（1级）</color>/<color=#454FAB>18%（2级）</color>/<color=#454FAB>24%（3级）</color>。,<line-indent=2em>传说中，旅人行走在古加尼尔大森林中时，偶尔会听到清脆的铃声。<br>有好奇者循着铃声想要一探究竟，但不是迷失在森林中，就是跟丢了铃声。唯有一位经营高级奶酪的商人声称看到了铃声的主人。<br>“是一个娇小可爱的老鼠少女。没有她的帮助，我就要被森林中的魔物当成宵夜了！”<br>当晚，商人似乎陷入了深深的甜梦，隐约中听见有位少女在耳边嘟囔着说：“这可是救你的报酬哦。”第二天，待他恢复清醒时惊讶地发现整个马车的奶酪，统~统~消失一空。
凛焰·赫斐斯托,4034,焰铠,对战精英或领主时，伤害减免提升<color=#454FAB>15%（1级）</color>/<color=#454FAB>22%（2级）</color>/<color=#454FAB>29%（3级）</color>。,<line-indent=2em>曾有一位战士，他自诩无人能敌，接受了众多的挑战。终于有一天，他遇到了无法战胜的对手。战士无法忍受落败后的嘘声，他祈求力量，唤来烈焰的元素之灵。<br>“我会将力量借予你。但是，你会付出对应的代价。”元素之灵说着，将力量赋予了这名战士。<br>战士凭借着元素之灵的力量，将对手狠狠击倒在地。就在他带着荣耀踏出竞技场时，却发现自己体内的力量正被烈焰元素一点点吞噬。<br>直到这时，战士才反应过来，这就是为了满足自己作祟的虚荣心而付出的代价。<br>——《艾恩寓言》
