,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,hideEffect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,是否隐藏完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型
,10001,0,1,1,0,0,3,"0 1000 1.19,1.257,-26.25",1,,0,0,0,0,0,0,0,0
,10002,0,1,0,0,0,3,"0 1000 1.2,2.602,-33.03",1,,0,0,0,0,0,0,0,0
,10003,0,1,0,0,0,3,"0 2001 22.581,0.09,27.315",1,,0,0,0,0,0,0,0,0
,10004,0,1,0,0,0,3,"0 2001 16.213,0.067,15.545",1,,0,0,0,0,0,0,0,0
,10005,0,1,0,0,0,3,"0 2001 -3.656,0.067,-24.924",1,,0,0,0,0,0,0,0,0
,10006,0,1,0,0,0,3,"0 2001 -2.660,0.067,26.578",1,,0,0,0,0,0,0,0,0
,10007,0,1,0,0,0,3,"0 2001 -10.28,0.5,-19.57",1,,0,0,0,0,0,0,0,0
,10008,0,1,0,0,0,3,"0 2001 -3.656,0.067,-24.924",1,,0,0,0,0,0,0,0,0
,10009,0,1,0,0,0,3,"0 2001 -2.660,0.067,26.578",1,,0,0,0,0,0,0,0,0
,10010,0,1,0,0,0,3,"0 2001 -9.692,-0.936,48.362",1,,0,0,0,0,0,0,0,0
,10011,0,1,0,0,0,3,"0 2001 -10.28,0.5,-19.57",1,,0,0,0,0,0,0,0,0
,10012,0,1,0,0,0,3,"0 2001 0.212,0.067,-0.054",1,,0,0,0,0,0,0,0,0
,10013,0,1,0,0,0,3,"0 2001 -28.03,0.067,-9.447",1,,0,0,0,0,0,0,0,0
,10014,0,1,0,0,0,3,"0 2001 0.212,0.067,-0.054",1,,0,0,0,0,0,0,0,0
,10015,0,1,0,0,0,3,"0 2001 -44.90,-2.327,68.387",1,,0,0,0,0,0,0,0,0
,10016,0,1,0,0,0,0,,1,,0,0,0,0,0,0,0,0
,10037,0,1,0,0,0,3,"0 2001 -78.76267,0.06709957,25.15276",1,,1,0,0,0,0,0,0,0
,10038,0,1,0,0,0,3,"0 2001 -67.41098,0.1638082,6.506114",1,,1,0,0,0,0,0,0,0
,10039,0,1,0,0,0,3,"0 2001 -78.76267,0.06709957,25.15276",1,,1,0,0,0,0,0,0,0
,10040,0,1,0,0,0,3,"0 2001 -47.97134,0.06709957,-54.79886",1,,0,0,0,0,0,0,0,0
,10041,0,1,0,0,0,3,"0 2001 -47.97134,0.06709957,-54.79886",1,,0,0,0,0,0,0,0,0
,10042,0,1,0,0,0,3,"0 2001 -55.794,0.06709957,-78.08053",1,,0,0,0,0,0,0,0,0
,10043,0,1,0,0,0,3,"0 2001 -55.794,0.06709957,-78.08053",1,,0,0,0,0,0,0,0,0
,10044,0,1,0,0,0,3,"0 2001 -73.8319,0.06709957,-92.02775",1,,0,0,0,0,0,0,0,0
,10045,0,1,0,0,0,3,"0 2001 -55.16862,0.08512802,-58.8017",1,,0,0,0,0,0,0,0,0
,10046,0,1,0,0,0,3,"0 2001 -73.8319,0.06709957,-92.02775",1,,0,0,0,0,0,0,0,0
,10047,0,1,0,0,0,3,"0 2001 -73.8319,0.06709957,-92.02775",1,,0,0,0,0,0,0,0,0
,10048,0,1,0,0,0,3,"0 2001 -84.30345,0.06709957,-78.25379",1,,0,0,0,0,0,0,0,0
,10049,0,1,0,0,0,3,"0 2001 -93.60106,0.06709957,-91.17596",1,,0,0,0,0,0,0,0,0
,10050,0,1,0,0,0,3,"0 2001 -88.04265,0.06709957,-87.34886",1,,0,0,0,0,0,0,0,0
,10051,0,1,0,0,0,3,"0 2001 -88.04265,0.06709957,-87.34886",1,,0,0,0,0,0,0,0,0
,10052,0,1,0,0,0,3,"0 2001 -88.04265,0.06709957,-87.34886",1,,0,0,0,0,0,0,0,0
,10053,0,1,0,0,0,3,"0 2001 -73.8319,0.06709957,-92.02775",1,,0,0,0,0,0,0,0,0
,10054,0,1,0,0,0,3,"0 2001 -85.46786,0.06709957,-71.20133",1,,0,0,0,0,0,0,0,0
,10055,0,1,0,0,0,3,"0 2001 -73.8319,0.06709957,-92.02775",1,,0,0,0,0,0,0,0,0
,10056,0,1,0,0,0,3,"0 2001 -46.20594,0.06709957,-60.58465",1,,0,0,0,0,0,0,0,0
,10057,0,1,0,0,0,3,"0 2001 -73.8319,0.06709957,-92.02775",1,,0,0,0,0,0,0,0,0
,10058,0,1,0,0,0,3,"0 2001 -73.8319,0.06709957,-92.02775",1,,0,0,0,0,0,0,0,0
,10059,0,1,0,0,0,3,"0 2001 -73.8319,0.06709957,-92.02775",1,,0,0,0,0,0,0,0,0
,10061,0,1,0,0,0,3,"0 2001 57.80,0.07,-125.09",1,,1,0,0,0,0,,0,103
,10063,0,1,0,0,0,3,"0 2001 57.80,0.07,-125.09",1,,1,0,0,0,0,,0,101
,10064,0,1,0,0,0,3,"0 2001 78.16,0.11,-148.94",1,,0,0,0,0,0,,0,101
,10065,0,1,0,0,0,3,1 2001 20127,1,,1,0,0,0,0,20127,0,101
,10066,0,1,0,0,0,3,"0 2001 68.45,0.10,-148.48",1,,0,0,0,0,0,,0,101
,10067,0,1,0,0,0,3,"0 2001 75.18,0.04,-151.43",1,,0,0,0,0,0,,0,105
,10068,0,1,0,0,0,3,"0 2001 -50.01,0.10,-186.35",1,,1,0,0,0,0,,0,104
,10069,0,1,0,0,0,3,"0 2001 -50.01,0.10,-186.35",1,,0,0,0,0,0,,0,101
,10070,0,1,1,0,0,3,1 2001 60017,1,,1,0,0,0,0,,0,101
,10071,0,1,0,0,0,3,1 2001 30025,1,,1,0,0,0,0,,0,104
,10072,0,1,0,0,0,3,"0 2001 52.97,0.05,-149.24",1,,1,0,0,0,0,,0,101
,10073,0,1,0,0,0,3,1 2001 30025,1,,0,0,0,0,0,,0,101
,10091,0,1,0,0,0,3,"0 2001 78.16,0.11,-148.94",1,,0,0,0,0,0,,0,101
,10092,0,1,0,0,0,3,"0 2001 -40.13,0.05,-192.73",1,,0,0,0,0,0,,0,105
抵达湖畔镇,10100,0,1,0,0,0,3,"0 2001 -3.40,0.13,14.41",1,,0,0,0,0,0,"-3.40,0.13,14.41",0,101
向镇民问路,10101,0,1,0,0,0,3,1 2001 20046,1,,0,0,0,0,0,20046,0,102
击败狐克斯,10102,0,1,0,0,0,3,1 2001 20046,1,,1,0,0,0,0,20046,0,101
安慰由莉,10103,0,1,0,0,0,3,1 2001 20046,1,,0,0,0,0,0,20046,0,102
和大小姐讲道理,10104,0,1,0,0,0,3,1 2001 20046,1,,0,0,0,0,0,20046,0,101
击败温丽,10105,0,1,0,0,0,3,1 2001 20047,1,,0,0,0,0,0,20047,0,101
化解误会,10106,0,1,0,0,0,3,"0 2001 8.73,0.05,-17.75",1,,0,0,0,0,0,"8.73,0.05,-17.75",0,101
核实赫丽的身份,10107,0,1,0,0,0,3,"0 2001 2.01,0.05,-15.46",1,,1,0,0,0,0,"2.01,0.05,-15.46",0,102
