,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,hideEffect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,是否隐藏完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型
,70219,0,9,0,0,0,1,,1,,1,0,0,0,0,0,0,401
,70220,0,9,0,0,0,3,1 2002 20947,1,,1,0,0,0,0,20947,0,401
,70221,0,9,0,0,0,3,"0 2002 -20.09,2.58,10.29",1,,1,0,0,0,0,0,0,402
,70222,0,9,0,0,0,3,1 2002 20947,1,,1,0,0,0,0,20947,0,401
,70223,0,9,0,0,0,3,1 1000 20228,1,,1,0,0,0,0,20228,0,401
,70224,0,9,0,0,0,3,1 1000 30658,1,,1,0,0,0,0,0,0,401
,70225,0,9,0,0,0,3,1 2001 20949,1,,1,0,0,0,0,20949,0,401
,70226,0,9,0,0,0,3,1 2001 20949,1,,1,0,0,0,0,20949,0,405
,70227,0,9,0,0,0,3,1 2001 20948,1,,1,0,0,0,0,20948,0,401
