,required,required,required,optional,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,optional,repeated,required,optional
,uint32,float,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,float,string
,id,scale,fight_scene_id,magic_circle_path,coer_monster,normal_talk,special_talk,attack_talk,time,intervaltime,regionSize,latent_range,follow_range,insight,no_insight_id,corpse_vis,drop1,drop2,drop3,BGM_Star,BGM_Loop,magicScale,defaultAnim
备注,组ID,外形信息,战斗场景,魔法阵路径,核心怪物ID,正常气泡内容id,特殊气泡id,战斗气泡id,显示时长,显示间隔,区域大小,潜伏解除距离,追击距离,洞察力,洞察对象,显示尸体,掉落奖励1,奖励2,奖励3,战斗开始音乐,战斗循环音乐,光环大小,默认动作
,200083,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1000155,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200088,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1000125,100291,0,0,9999,1,,0,0,0,0,0,0,0,0,0,,1,
,200155,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100019,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200321,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100150,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200347,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200418,1,72,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100247,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200419,1,72,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200420,1,72,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200478,1,72,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100248,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200479,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100258,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,900126,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,900127,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,"1,1,1",0,0,0,0,0,0,0,0,0,,1,
,900128,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
