,required,required,required,required,repeated,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,fight,multi_boss,monster,money,user_exp,hero_exp,exp_ball,reward_id,action_id,max_battle_time,battle_check,attack_status_id,fight_type
备注,ID,备注,战力,多人boss,怪物id,掉落金币,战队经验,英雄经验,经验球经验,奖励id,事件id,战斗限时,战斗检测,偷袭状态,战斗力压制算法类型
,200083,夜崎隐,30000,0,1000155,0,0,0,0,0,0,600000,0,1,0
,200088,哥布林格德,1,0,1000125,3000,0,0,0,0,0,600000,0,1,0
,200321,斯塔克毒蝎,30000,0,1000372,0,0,0,0,0,0,600000,0,0,0
,200347,魔箱兽,30000,0,1000502,0,0,0,0,0,0,600000,0,0,0
,200418,美少女合成兽,165000,0,1000731,0,0,0,0,0,0,600000,0,0,0
,200419,魔箱兽,165000,0,1000732,0,0,0,0,1000401,0,600000,0,0,0
,200420,扬博士,175000,0,1000733,0,0,0,0,1000402,0,600000,0,0,0
,200478,默希娅,187000,0,1000781,0,0,0,0,0,0,600000,0,0,0
,200479,斯塔克蝎魔,35000,0,1000782,0,0,0,0,0,0,600000,0,0,0
小石头人,900126,红袭盗匪,0,0,1001027,0,0,0,0,0,0,600000,0,0,0
雷克兽士兵,900127,赤瞳战狼,0,0,9001022;10023;10023,0,0,0,0,0,0,600000,0,0,0
温丽,900128,温丽,0,0,9000031,0,0,0,0,0,0,600000,0,0,0
