,required,required,required,required,required,optional,required,required,required,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,10015,2001,,0,2,坠落的船只,0,0,1,0,0,,"0,3,0"
小格雷,20158,2003,,0,1,小格雷,0,0,1,2031,0,,
小安斯利,20160,2003,,0,1,小安斯利,0,0,1,9999999,0,,
小库珀,20162,2003,,0,1,小库珀,0,0,1,9999999,0,,
小伊诺克,20164,2003,,0,1,小伊诺克,0,0,1,9999999,0,,
,20317,2003,,0,1,泰坦,0,0,1,10052,0,,
,20462,3067,,0,1,力士加鲁,0,0,1,10002,0,,
,20591,3089,,0,1,扬博士,0,0,1,52024,0,,
,20592,3089,,0,1,蕾茵,0,0,1,2100,0,,
,20604,3089,,0,1,树精叽叽,0,0,1,2044,0,,
,20605,3089,,0,1,树精叽叽,0,0,1,2044,0,,
,20606,3089,,0,1,树精喳喳,0,0,1,2064,0,,
,20607,3089,,0,1,树精喳喳,0,0,1,2064,0,,
,20901,3031,,0,1,哥布林格德,0,0,1,10005,0,,
,30014,3031,,0,7,哥布林巢穴陷阱2,0,0,1,0,0,,
,30082,2001,,0,7,湖畔镇陷阱2,0,0,1,0,0,,
,30086,2001,,0,7,湖畔镇陷阱6,0,0,1,0,0,,
污水陷阱,30199,2003,,0,7,污水陷阱,0,0,1,0,0,,
沙海虫卵陷阱,30200,2003,,0,7,沙海虫卵陷阱,0,0,1,0,0,,
前往会议陷阱,30201,2003,,0,7,前往会议陷阱,0,0,1,0,0,,
精灵自述陷阱,30202,2003,,0,7,精灵自述陷阱,0,0,1,0,0,,
,30211,2001,,0,7,解密屋前陷井,0,0,1,0,0,,
,30313,2003,,0,7,泰坦之魂陷阱4,0,0,1,0,0,,
,30316,2003,,0,7,黑蹄兽战斗陷阱,0,0,1,0,0,,
,30578,2001,,0,7,,0,0,1,0,0,,
,30595,3089,,0,7,,0,0,1,0,0,,
,40003,3031,,0,3,宝箱,0,0,1,1012,0,,
,40004,3031,,0,3,宝箱,0,0,1,1012,0,,
,40005,3031,,0,3,宝箱,0,0,1,1012,0,,
,40029,3031,"4,4,4",0,3,哥布林秘宝,0,0,1,1020,0,,
,40037,3031,"4,4,4",0,3,哥布林秘宝,0,0,1,1020,0,,
,40126,3067,"5,5,5",0,3,圣晶宝箱,0,0,1,1021,0,,
,40127,3067,,0,3,烁金宝箱,0,0,1,1019,0,,
,40128,3067,,0,3,烁金宝箱,0,0,1,1019,0,,
,40149,3071,,0,3,赫拉克之箱,0,0,1,1020,0,,
,40152,3067,,0,3,烁金宝箱,0,0,1,1019,0,,
,40153,3067,,0,3,烁金宝箱,0,0,1,1019,0,,
,40154,3067,,0,3,烁金宝箱,0,0,1,1019,0,,
,40182,3089,"5,5,5",0,3,圣晶宝箱,0,0,2,1021,0,,
,40183,3089,,0,3,烁金宝箱,0,0,1,1019,0,,
,40184,3089,,0,3,烁金宝箱,0,0,1,1019,0,,
,40185,3089,,0,3,烁金宝箱,0,0,1,1019,0,,
,40186,3089,,0,3,烁金宝箱,0,0,1,1019,0,,
,40187,3089,,0,3,烁金宝箱,0,0,1,1019,0,,
,40192,3071,,0,3,生物实验箱,0,0,1,1020,0,,
,40227,3089,,0,1,黯月宝箱,0,0,1,1020,0,,
,40228,3089,,0,1,辉日宝箱,0,0,1,1021,0,,
,40229,3067,,0,1,黯月宝箱,0,0,1,1020,0,,
,40230,3067,,0,1,辉日宝箱,0,0,1,1021,0,,
,60172,3067,,0,8,,0,0,1,0,0,,"0,1.4,0"
,60173,3067,,0,8,,0,0,1,0,0,,"0,1.4,0"
,60174,3067,,0,8,,0,0,1,0,0,,"0,1.4,0"
,60175,3067,"5,5,5",0,8,,0,0,1,0,0,,"0,1.4,0"
,60254,3067,,0,8,,0,0,1,2000,0,,
