,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,20080030,泽克陷阱,2008,1,30807,0,1,0,0,0,0,0,"-69.11,-0.05,-22.38",0,1
,20080031,怪物泽克,2008,2,900622,0,1,1,0,0,0,19,"-69.11,-0.05,-22.38",0,1
,20080032,Npc泽克,2008,1,21475,0,0,0,0,0,0,0,"-69.87,-0.05,-25.47",270,1
,20080033,辉鳞神殿,2008,1,10047,0,0,0,0,0,0,0,"-93.69,4.94,-46.80",0,1
,20080034,鹿角兽,2008,2,900623,0,1,0,0,0,0,19,"-84.51,-0.05,-37.98",0,1
,20080035,鹿角兽陷阱,2008,1,30808,0,1,0,0,0,0,0,"-84.51,-0.05,-37.98",0,1
,20080036,鹿角兽,2008,2,900624,0,1,1,0,0,0,19,"-93.69,4.94,-46.80",0,1
,20080037,鹿角兽,2008,2,900625,0,1,1,0,0,0,19,"-93.69,4.94,-46.80",0,1
,20080038,首领欧霍尼克,2008,1,21476,0,0,0,0,0,0,0,"-87.22,1.887,-43.25",0,1
