,id,name,des
备注,本命卡id+天赋等级,天赋技能名称,描述
,40441,堕守,整场战斗<color=#FFA517>1</color>次，受到的奥义技与怪物的大招伤害降低<color=#FFA517>40%</color>
,40442,堕守,整场战斗<color=#FFA517>1</color>次，受到的奥义技与怪物的大招伤害降低<color=#FFA517>60%</color>
,40443,堕守,整场战斗<color=#FFA517>1</color>次，受到的奥义技与怪物的大招伤害降低<color=#FFA517>80%</color>
,40444,堕守,整场战斗<color=#FFA517>1</color>次，受到的奥义技与怪物的大招伤害降低<color=#FFA517>40%</color>
,40941,霜运,使用辅助技有<color=#FFA517>50%</color>机率恢复等同最大生命值5％的生命值与150点奥义值。
,40942,霜运,使用辅助技有<color=#FFA517>75%</color>机率恢复等同最大生命值5％的生命值与150点奥义值。
,40943,霜运,使用辅助技有<color=#FFA517>100%</color>机率恢复等同最大生命值5％的生命值与150点奥义值。
,40944,霜运,使用辅助技有<color=#FFA517>50%</color>机率恢复等同最大生命值5％的生命值与150点奥义值。
,41041,炽炼,每回合开始时，获得1层攻擊伤害增加<color=#FFA517>50%</color>的状态，当施放攻擊技能时该状态便会消失(回合开始的普通攻擊不会消耗此状态)。
,41042,炽炼,每回合开始时，获得1层攻擊伤害增加<color=#FFA517>75%</color>的状态，当施放攻擊技能时该状态便会消失(回合开始的普通攻擊不会消耗此状态)。
,41043,炽炼,每回合开始时，获得1层攻擊伤害增加<color=#FFA517>100%</color>的状态，当施放攻擊技能时该状态便会消失(回合开始的普通攻擊不会消耗此状态)。
,41044,炽炼,每回合开始时，获得1层攻擊伤害增加<color=#FFA517>N%</color>的状态，当施放攻擊技能时该状态便会消失(回合开始的普通攻擊不会消耗此状态)。
,41141,净化,目標每拥有一种異常狀態，傷害提高<color=#FFA517>8%</color>。
,41142,净化,目標每拥有一种異常狀態，傷害提高<color=#FFA517>12%</color>。
,41143,净化,目標每拥有一种異常狀態，傷害提高<color=#FFA517>16%</color>。
,41144,净化,目標每拥有一种異常狀態，傷害提高<color=#FFA517>N%</color>。
,41241,梦守,奥义值高于1000点时，伤害减免提升<color=#FFA517>15%</color>
,41242,梦守,奥义值高于1000点时，伤害减免提升<color=#FFA517>22%</color>
,41243,梦守,奥义值高于1000点时，伤害减免提升<color=#FFA517>30%</color>
,41244,梦守,奥义值高于1000点时，伤害减免提升<color=#FFA517>10%</color>
,41741,神目,进行援护时，<color=#FFA517>40%</color>几率不消耗奥义
,41742,神目,进行援护时，<color=#FFA517>60%</color>几率不消耗奥义
,41743,神目,进行援护时，<color=#FFA517>80%</color>几率不消耗奥义
,41744,神目,进行援护时，<color=#FFA517>20%</color>几率不消耗奥义
,41941,裂刃,在场上时，受到治疗效果时，恢复<color=#FFA517>80</color>点奥义值
,41942,裂刃,在场上时，受到治疗效果时，恢复<color=#FFA517>120</color>点奥义值
,41943,裂刃,在场上时，受到治疗效果时，恢复<color=#FFA517>160</color>点奥义值
,41944,裂刃,在场上时，受到治疗效果时，恢复<color=#FFA517>80</color>点奥义值
,42141,噬灵,被中断进攻时，<color=#FFA517>50%</color>几率所有技能冷却降低30%
,42142,噬灵,被中断进攻时，<color=#FFA517>75%</color>几率所有技能冷却降低30%
