,required,required,required,required,required,required,required,required,required,required,optional,repeated,optional,repeated,required
,uint32,string,string,uint32,uint32,uint32,uint32,float,float,float,int32,int32,string,int32,int32
,levelID,name,desc,sceneID,sort,subsort,type,enterPosX,enterPosY,enterPosZ,audioClipID,stepClipID,loadBgName,AudioClipLoopID,auto
备注,关卡ID,关卡名,关卡描述,资源名称,类型(-1客户端场景、0主城、1野外、2副本),子类型,"属性(2进制,地图限制)",入口坐标X,入口坐标Y(暂时添加，是否需要？？？),入口坐标Z,背景音乐,英雄脚步声,场景加载背景名,循环音乐（分号隔开,
,3096,海地斯监狱四层,海地斯监狱四层,155,2,0,0,-234.84,-21.2,-7.82,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3097,海地斯监狱一层,海地斯监狱一层,171,2,0,0,-21.08489,0.08621979,20.61408,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3098,海地斯监狱三层,海地斯监狱三层,155,2,0,0,-234.84,-21.2,-7.82,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3099,海地斯监狱二层,海地斯监狱二层,172,2,0,0,33.81,1.87,-33.36,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3101,海地斯监狱五层,海地斯监狱五层,171,2,0,0,-0.364,0.096,0.218,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3102,海地斯监狱六层,海地斯监狱六层,172,2,0,0,33.81,1.87,-33.36,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3103,海地斯监狱十一层,海地斯监狱十一层,155,2,0,0,-234.84,-21.2,-7.82,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3104,海地斯监狱十层,海地斯监狱十层,172,2,0,0,33.81,1.87,-33.36,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3105,海地斯监狱七层,海地斯监狱七层,155,2,0,0,-234.84,-21.2,-7.82,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3106,海地斯监狱十六层,海地斯监狱十六层,155,2,0,0,-234.84,-21.2,-7.82,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3107,海地斯监狱十五层,海地斯监狱十五层,155,2,0,0,-234.84,-21.2,-7.82,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3108,海地斯监狱十三层,海地斯监狱十三层,171,2,0,0,-0.364,0.096,0.218,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3109,海地斯监狱十七层,海地斯监狱十七层,171,2,0,0,-0.364,0.096,0.218,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3110,海地斯监狱十四层,海地斯监狱十四层,172,2,0,0,33.81,1.87,-33.36,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3111,海地斯监狱八层,海地斯监狱八层,155,2,0,0,-234.84,-21.2,-7.82,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3112,海地斯监狱十九层,海地斯监狱十九层,155,2,0,0,-234.84,-21.2,-7.82,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3113,海地斯监狱十二层,海地斯监狱十二层,155,2,0,0,-234.84,-21.2,-7.82,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3114,海地斯监狱二十层,海地斯监狱二十层,155,2,0,0,-234.84,-21.2,-7.82,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3115,海地斯监狱九层,海地斯监狱九层,171,2,0,0,-0.364,0.096,0.218,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
,3116,海地斯监狱十八层,海地斯监狱十八层,172,2,0,0,33.81,1.87,-33.36,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84",,0
