,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3160001,怪1,3160,1,40379,0,1,0,0,0,0,0,,0,1
,3160002,怪1,3160,1,40379,0,1,0,0,0,0,0,,0,1
,3160003,怪2,3160,1,40380,0,1,0,0,0,0,0,,0,1
,3160004,空箱,3160,1,40376,0,1,0,0,0,0,0,,0,1
,3160005,空箱,3160,1,40376,0,1,0,0,0,0,0,,0,1
,3160006,奖励,3160,1,40368,0,1,0,0,0,0,0,,0,1
,3160007,奖励,3160,1,40368,0,1,0,0,0,0,0,,0,1
,3160008,奖励,3160,1,40368,0,1,0,0,0,0,0,,0,1
,3160101,空桶,3160,1,60512,0,1,0,0,0,0,0,,0,1
,3160102,空桶,3160,1,60512,0,1,0,0,0,0,0,,0,1
,3160103,空桶,3160,1,60512,0,1,0,0,0,0,0,,0,1
,3160104,空桶,3160,1,60512,0,1,0,0,0,0,0,,0,1
,3160105,奖励,3160,1,60511,0,1,0,0,0,0,0,,0,1
,3160106,奖励,3160,1,60511,0,1,0,0,0,0,0,,0,1
,3160107,奖励,3160,1,60511,0,1,0,0,0,0,0,,0,1
,3160108,奖励,3160,1,60511,0,1,0,0,0,0,0,,0,1
,3160109,奖励,3160,1,60511,0,1,0,0,0,0,0,,0,1
,3160110,奖励,3160,1,60511,0,1,0,0,0,0,0,,0,1
,3160111,空怪,3160,1,60507,0,1,0,0,0,0,0,,0,1
,3160112,空怪,3160,1,60507,0,1,0,0,0,0,0,,0,1
,3160113,空怪,3160,1,60514,0,1,0,0,0,0,0,,0,1
,3160114,空怪,3160,1,60515,0,1,0,0,0,0,0,,0,1
,3160115,怪1,3160,1,60516,0,1,0,0,0,0,0,,0,1
,3160116,怪1,3160,1,60516,0,1,0,0,0,0,0,,0,1
,3160117,怪2,3160,1,60517,0,1,0,0,0,0,0,,0,1
,3160118,怪3,3160,1,60518,0,1,0,0,0,0,0,,0,1
,3160119,怪4,3160,1,60519,0,1,0,0,0,0,0,,0,1
,3160120,奖励,3160,1,60504,0,1,0,0,0,0,0,,0,1
,3160121,奖励,3160,1,60504,0,1,0,0,0,0,0,,0,1
,3160122,奖励,3160,1,60504,0,1,0,0,0,0,0,,0,1
,3160123,奖励,3160,1,60504,0,1,0,0,0,0,0,,0,1
,3160124,奖励,3160,1,60504,0,1,0,0,0,0,0,,0,1
,3160125,奖励,3160,1,60504,0,1,0,0,0,0,0,,0,1
,3160126,奖励,3160,1,60520,0,1,0,0,0,0,0,,0,1
,3160127,奖励,3160,1,60521,0,1,0,0,0,0,0,,0,1
,3160201,,3160,4,1147,0,0,0,0,0,0,0,"-164.14,-21.16,-28.01",0,1
,3160202,,3160,4,1148,0,0,0,0,0,0,0,"-145.08,-21.06,2.5492",112,1
,3160203,,3160,4,1148,0,0,0,0,0,0,0,"-193.65,-21.17,-29.43",90,1
,3160204,,3160,4,1148,0,0,0,0,0,0,0,"-221.81,-21.16,-29.22",90,1
