,required,required,optional,optional,optional,optional,optional
,uint32,string,string,string,string,string,string
,id,approach,headPath,cardPath,poster,battleHeadPath,petItemPath
备注,id,来源,标准头像,本命卡片,本命海报大图,战斗头像显示,本命物品icon
默认,9999999,201,Textures/Atlas/Dyn/PetHead/default.png,Textures/Atlas/Dyn/PetCard/default.png,Textures/Atlas/Dyn/PetPoster/default.png,Textures/Atlas/Dyn/PetBattleHead/default.png,Textures/Atlas/Dyn/PetItem/default.png
龙侍法夫纳,4012,201,Textures/Atlas/Dyn/PetHead/4012.png,Textures/Atlas/Dyn/PetCard/4012.png,Textures/Atlas/Dyn/PetPoster/4012.png,Textures/Atlas/Dyn/PetBattleHead/4012.png,Textures/Atlas/Dyn/PetItem/4012.png
喵灵贝斯忒,4022,201,Textures/Atlas/Dyn/PetHead/4022.png,Textures/Atlas/Dyn/PetCard/4022.png,Textures/Atlas/Dyn/PetPoster/4022.png,Textures/Atlas/Dyn/PetBattleHead/4022.png,Textures/Atlas/Dyn/PetItem/4022.png
守护灵罗慕,4032,201,Textures/Atlas/Dyn/PetHead/4032.png,Textures/Atlas/Dyn/PetCard/4032.png,Textures/Atlas/Dyn/PetPoster/4032.png,Textures/Atlas/Dyn/PetBattleHead/4032.png,Textures/Atlas/Dyn/PetItem/4032.png
重甲卫列奥尼达,4042,201,Textures/Atlas/Dyn/PetHead/4042.png,Textures/Atlas/Dyn/PetCard/4042.png,Textures/Atlas/Dyn/PetPoster/4042.png,Textures/Atlas/Dyn/PetBattleHead/4042.png,Textures/Atlas/Dyn/PetItem/4042.png
九头蛇凯迪勒,4052,201,Textures/Atlas/Dyn/PetHead/4052.png,Textures/Atlas/Dyn/PetCard/4052.png,Textures/Atlas/Dyn/PetPoster/4052.png,Textures/Atlas/Dyn/PetBattleHead/4052.png,Textures/Atlas/Dyn/PetItem/4052.png
牧野仙星亚莉洛,4062,201,Textures/Atlas/Dyn/PetHead/4062.png,Textures/Atlas/Dyn/PetCard/4062.png,Textures/Atlas/Dyn/PetPoster/4062.png,Textures/Atlas/Dyn/PetBattleHead/4062.png,Textures/Atlas/Dyn/PetItem/4062.png
