,required,required,optional,optional,optional,optional
,uint32,uint32,string,string,string,string
,id,lookface,parry_effect,post_profile,approach,drawIconPath
备注,id,模型ID,格挡光效,后期处理配置,来源,抽卡头像Icon
,9999999,9999999,,,0,Textures/Atlas/Dyn/HeroDrawIcon/default.png
西蒙,101,101,Effect_nanzhanshi_gedan,Prefab/Configs/RoleShowPostProfile/PostProfileLight.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/XiMeng.png
温丽,201,201,Effect_fashiwenli@parry,Prefab/Configs/RoleShowPostProfile/PostProfileLight.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/WenLi.png
爱林娜,301,301,Effect_ailinna@parry02_xunhuan,Prefab/Configs/RoleShowPostProfile/PostProfileLight.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/AiLinNa.png
泰雷,102,102,Effect_tailei@parry,Prefab/Configs/RoleShowPostProfile/PostProfileDark.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/TaiLei.png
爱琪,302,302,Effect_meiguiwuji@parry,Prefab/Configs/RoleShowPostProfile/PostProfileLight.asset,2,Textures/Atlas/Dyn/HeroDrawIcon/AiQi.png
兰奇,103,103,Effect_lanqi@parry,Prefab/Configs/RoleShowPostProfile/PostProfileDark.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/LanQi.png
木禅,104,104,,Prefab/Configs/RoleShowPostProfile/PostProfileLight.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/MuChan.png
檐鬼,106,106,,Prefab/Configs/RoleShowPostProfile/PostProfileDark.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/YanGui.png
,105,105,,Prefab/Configs/RoleShowPostProfile/PostProfileLight.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/GeiLaiDiSi.png
,107,107,,Prefab/Configs/RoleShowPostProfile/PostProfileDark.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/GaiYin.png
,401,401,,Prefab/Configs/RoleShowPostProfile/PostProfileDark.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/QiaoYi.png
,108,108,,Prefab/Configs/RoleShowPostProfile/PostProfileLight.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/ADeLin.png
,111,111,,Prefab/Configs/RoleShowPostProfile/PostProfileLight.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/DiLuoZan.png
,112,112,,Prefab/Configs/RoleShowPostProfile/PostProfileLight.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/MiLanDa.png
,113,113,,Prefab/Configs/RoleShowPostProfile/PostProfileLight.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/NaTaNa.png
,114,114,,Prefab/Configs/RoleShowPostProfile/PostProfileDark.asset,201,Textures/Atlas/Dyn/HeroDrawIcon/SaMiEr.png
