,id,Name,Intention,talks,detailDes
备注,任务id,任务标题,任务目标,护送Npc喊话组(以$$分隔),详细描述（佣兵任务等）
,60357,生命之源,战胜荒漠异蝎,,
,60358,力量之源,战胜雾夜女巫,,
,60359,伤害免疫,战胜幽冥鬼煞,,
,60360,灼烧,战胜魅影幻像,,
,60361,试炼渐入佳境,战胜极渊领主,,
,60362,生命之源,战胜荒漠异蝎,,
,60363,力量之源,战胜雾夜女巫,,
,60364,伤害免疫,战胜幽冥鬼煞,,
,60365,灼烧,战胜魅影幻像,,
,60366,试炼渐入佳境,战胜极渊领主,,
,60367,生命之源,战胜荒漠异蝎,,
,60368,力量之源,战胜雾夜女巫,,
,60369,伤害免疫,战胜幽冥鬼煞,,
,60370,灼烧,战胜魅影幻像,,
,60371,试炼渐入佳境,战胜极渊领主,,
,60372,生命之源,战胜荒漠异蝎,,
,60373,力量之源,战胜雾夜女巫,,
,60374,伤害免疫,战胜幽冥鬼煞,,
,60375,灼烧,战胜魅影幻像,,
,60376,试炼渐入佳境,战胜极渊领主,,
,60377,生命之源,战胜荒漠异蝎,,
,60378,力量之源,战胜雾夜女巫,,
,60379,伤害免疫,战胜幽冥鬼煞,,
,60380,灼烧,战胜魅影幻像,,
,60381,试炼渐入佳境,战胜极渊领主,,
,60382,生命之源,战胜荒漠异蝎,,
,60383,力量之源,战胜雾夜女巫,,
,60384,伤害免疫,战胜幽冥鬼煞,,
,60385,灼烧,战胜魅影幻像,,
,60386,试炼渐入佳境,战胜极渊领主,,
,60387,生命之源,战胜荒漠异蝎,,
,60388,力量之源,战胜雾夜女巫,,
,60389,伤害免疫,战胜幽冥鬼煞,,
,60390,灼烧,战胜魅影幻像,,
,60391,试炼渐入佳境,战胜极渊领主,,
,60392,生命之源,战胜荒漠异蝎,,
,60393,力量之源,战胜雾夜女巫,,
,60394,伤害免疫,战胜幽冥鬼煞,,
,60395,灼烧,战胜魅影幻像,,
,60396,试炼渐入佳境,战胜极渊领主,,
,60397,生命之源,战胜荒漠异蝎,,
,60398,力量之源,战胜雾夜女巫,,
,60399,伤害免疫,战胜幽冥鬼煞,,
,60400,灼烧,战胜魅影幻像,,
,60401,试炼渐入佳境,战胜极渊领主,,
,60402,生命之源,战胜荒漠异蝎,,
,60403,力量之源,战胜雾夜女巫,,
,60404,伤害免疫,战胜幽冥鬼煞,,
,60405,灼烧,战胜魅影幻像,,
,60406,试炼渐入佳境,战胜极渊领主,,
