,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,2001186,狼人基德,2001,2,900179,0,1,0,0,0,0,58,"-31.2,0.1,-155.5",-135,1
,2001187,狼人基德,2001,2,900179,0,1,0,0,0,0,58,"-63.4,0.1,-173.4",-14.783,1
,2001188,狼人基德,2001,2,900179,0,1,0,0,0,0,58,"-77.9,0.1,-162.8",46.753,1
,2001189,狼人基德,2001,1,20097,0,1,0,0,0,0,0,"-55.92,0.05,-135.35",270,1
,2001190,狼人基德,2001,1,20097,0,1,0,0,0,0,0,"-31.2,0.1,-155.5",-135,1
,2001191,狼人基德,2001,1,20097,0,1,0,0,0,0,0,"-63.4,0.1,-173.4",-14.783,1
,2001192,狼人基德,2001,1,20097,0,1,0,0,0,0,0,"-77.9,0.1,-162.8",46.753,1
,2001193,暗雷陷阱,2001,1,30155,0,1,0,0,0,0,0,"-65.75,0.10,-151.08",0,1
,2001194,暗雷陷阱,2001,1,30156,0,1,0,0,0,0,0,"-59.76,0.15,-163.33",0,1
,2001195,暗雷陷阱,2001,1,30157,0,1,0,0,0,0,0,"-86.58,0.06,-145.92",0,1
,2001196,暗雷陷阱,2001,1,30158,0,1,0,0,0,0,0,"-29.12,0.52,-171.08",0,1
,2001197,暗雷陷阱,2001,1,30159,0,1,0,0,0,0,0,"-24.78,0.05,-28.759",0,1
,2001198,暗雷陷阱,2001,1,30160,0,1,0,0,0,0,0,"12.75,0.09,15.81",0,1
,2001503,黑骑士,2001,2,900181,0,1,0,0,0,0,58,"-31.2,0.1,-155.5",-135,1
,2001504,黑骑士,2001,2,900181,0,1,0,0,0,0,58,"-63.4,0.1,-173.4",-14.783,1
,2001505,黑骑士,2001,2,900181,0,1,0,0,0,0,58,"-77.9,0.1,-162.8",46.753,1
,2001529,战魂之剑,2001,1,60057,2001529,1,0,0,0,0,0,,0,1
