,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask,countdown_show
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型,倒计时限时
,20286,0,5,0,200105,1,3,1 2001 20094,1,,2,0,0,0,101,20094,0,201,0
,20287,0,5,0,200105,2,3,1 2001 20094,1,,2,0,0,0,201,20094,0,201,0
,20288,0,5,0,200105,3,3,1 2001 20094,1,,2,0,0,0,301,20094,0,201,0
,20289,0,5,0,200105,4,3,1 2001 20094,1,,2,0,0,0,401,20094,0,201,0
,20290,0,5,0,200105,5,3,1 2001 20094,1,,2,0,0,0,501,20094,0,201,0
,20291,0,5,0,200105,1,3,1 2001 20095,1,,2,0,0,0,102,20095,0,201,0
,20292,0,5,0,200105,2,3,1 2001 20095,1,,2,0,0,0,202,20095,0,201,0
,20293,0,5,0,200105,3,3,1 2001 20095,1,,2,0,0,0,302,20095,0,201,0
,20294,0,5,0,200105,4,3,1 2001 20095,1,,2,0,0,0,402,20095,0,201,0
,20295,0,5,0,200105,5,3,1 2001 20095,1,,2,0,0,0,502,20095,0,201,0
,20301,0,5,0,200105,1,3,1 2001 20095,1,,2,2001,0,0,104,20095,0,201,0
,20302,0,5,0,200105,2,3,1 2001 20095,1,,2,2001,0,0,204,20095,0,201,0
,20303,0,5,0,200105,3,3,1 2001 20095,1,,2,2001,0,0,304,20095,0,201,0
,20304,0,5,0,200105,4,3,1 2001 20095,1,,2,2001,0,0,404,20095,0,201,0
,20305,0,5,0,200105,5,3,1 2001 20095,1,,2,2001,0,0,504,20095,0,201,0
,20321,0,5,0,200105,1,3,1 2001 20095,1,,2,0,0,0,103,20095,0,202,0
,20322,0,5,0,200105,2,3,1 2001 20095,1,,2,0,0,0,203,20095,0,202,0
,20323,0,5,0,200105,3,3,1 2001 20095,1,,2,0,0,0,303,20095,0,202,0
,20324,0,5,0,200105,4,3,1 2001 20095,1,,2,0,0,0,403,20095,0,202,0
,20325,0,5,0,200105,5,3,1 2001 20095,1,,2,0,0,0,503,20095,0,202,0
,20416,0,5,0,200105,1,3,2 2001 900339,1,,2,0,0,0,105,900339,0,202,0
,20417,0,5,0,200105,2,3,2 2001 900339,1,,2,0,0,0,205,900339,0,202,0
,20418,0,5,0,200105,3,3,2 2001 900339,1,,2,0,0,0,305,900339,0,202,0
,20419,0,5,0,200105,4,3,2 2001 900339,1,,2,0,0,0,405,900339,0,202,0
,20420,0,5,0,200105,5,3,2 2001 900339,1,,2,0,0,0,505,900339,0,202,0
,20421,0,5,0,200105,1,3,2 2001 900340,1,,2,0,0,0,101,900340,0,203,0
,20422,0,5,0,200105,2,3,2 2001 900340,1,,2,0,0,0,201,900340,0,203,0
,20423,0,5,0,200105,3,3,2 2001 900340,1,,2,0,0,0,301,900340,0,203,0
,20424,0,5,0,200105,4,3,2 2001 900340,1,,2,0,0,0,401,900340,0,203,0
,20425,0,5,0,200105,5,3,2 2001 900340,1,,2,0,0,0,501,900340,0,203,0
,20426,0,5,1,200105,1,3,1 2001 60226,1,,2,0,0,0,102,60226,0,204,0
,20427,0,5,1,200105,2,3,1 2001 60226,1,,2,0,0,0,202,60226,0,204,0
,20428,0,5,1,200105,3,3,1 2001 60226,1,,2,0,0,0,302,60226,0,204,0
,20429,0,5,1,200105,4,3,1 2001 60226,1,,2,0,0,0,402,60226,0,204,0
,20430,0,5,1,200105,5,3,1 2001 60226,1,,2,0,0,0,502,60226,0,204,0
