,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,string,string
,id,hero_type_id,hero_class,special,talent1_name,talent1_desc
备注,流水号,英雄id,进阶数,特殊标记 0 普通 1特殊,天赋名,天赋描述
,10103,101,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,10105,101,5,1,勇者的执念,【<color=#e57a20>奥义技</color>】对精英怪物和领主的伤害额外提升<color=#e57a20>100%</color>。
,10107,101,7,1,挑战的誓约,使用【<color=#e57a20>辅助技</color>】打断敌方奥义时，重置其冷却时间。<br>一场战斗只能触发一次。
,10203,102,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,10205,102,5,1,防守反击,格挡成功时，敌方造成的伤害反弹<color=#e57a20>100%</color>。
,10207,102,7,1,裁决断击,敌方拥有<color=#e57a20>碎甲</color>状态时，<color=#e57a20>20%</color>几率造成额外伤害，伤害等同敌方生命值上限的<color=#e57a20>5%</color>。
,10303,103,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,10305,103,5,1,血怒狂咒,【<color=#e57a20>奥义技</color>】对敌方群体附加<color=#e57a20>诅咒</color>状态。如敌方拥有<color=#e57a20>诅咒</color>状态，造成伤害提升<color=#e57a20>10%</color>。<br>诅咒：无法回复生命，持续<color=#e57a20>1</color>轮。不可叠加。
,10307,103,7,1,共鸣咒印,拥有<color=#e57a20>负面状态</color>时，会对敌方附加<color=#e57a20>相同种类</color>与<color=#e57a20>数量</color>的状态，且效果与持续时间<color=#e57a20>加倍</color>。
,10403,104,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,10405,104,5,1,林之守护,被击败时，己方全员获得等同木禅生命值<color=#e57a20>10%</color>的护盾。
,10407,104,7,1,苍天林卫,开始进攻时，自身生命值如低于<color=#e57a20>20%</color>，获得等同生命值上限<color=#e57a20>12%</color>的护盾。<color=#e57a20>1</color>场战斗最多触发<color=#e57a20>3</color>次。
,10503,105,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,10505,105,5,1,翱翔,<color=#e57a20>每</color>场战斗<color=#e57a20>1</color>次，担任【<color=#e57a20>先锋</color>】位首发上场时，装填<color=#e57a20>3</color>枚<color=#e57a20>风之箭矢</color>。
,10507,105,7,1,思念之风,被击败时，所有未被击败的队友获得闪避率提升<color=#e57a20>6%</color>
,10603,106,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,10605,106,5,1,洞察之眼,飞镖印记造成的伤害提升至<color=#e57a20>90%</color>，并恢复自身等同伤害<color=#e57a20>50%</color>的生命值。
,10607,106,7,1,复生幽影,<color=#e57a20>1</color>场战斗<color=#e57a20>1</color>次，被击败后，会在<color=#e57a20>5</color>轮后复活。
,10703,107,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,10705,107,5,1,六道劫火,同时拥有“<color=#e57a20>风</color>”“<color=#e57a20>林</color>”“<color=#e57a20>火</color>”“<color=#e57a20>山</color>”四字箴言时，施放<br>【<color=#e57a20>辅助技</color>】后恢复<color=#e57a20>1000</color>点奥义值。
,10707,107,7,1,百鬼永劫,施放除【<color=#e57a20>技能4</color>】以外的技能时，触发额外效果不消耗“<color=#e57a20>风</color>”“<color=#e57a20>林</color>”“<color=#e57a20>火</color>”“<color=#e57a20>山</color>”。
,10803,108,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,10805,108,5,1,熊之啸,熊型态时，伤害提升<color=#e57a20>10%</color>，对兽人伤害额外提升<color=#e57a20>10%</color>。
,10807,108,7,1,森灵鸣响,每次恢复生命值时，获得等同恢复生命值<color=#e57a20>50%</color>的护盾。
,11103,111,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,11105,111,5,1,狮心,在对方攻击结束后，累积伤害转换为自身护盾的比例提升至<color=#e57a20>25%</color>。
,11107,111,7,1,坚毅之念,拥有护盾时，受到伤害降低<color=#e57a20>20%</color>。
,11203,112,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,11205,112,5,1,刃翼之刻,首次登场时，获得<color=#e57a20>10</color>层<color=#e57a20>刃翼之刻</color>。<br>翼刃之刻：每次单体技能暴击时，对所有场下的敌方造成等同技能伤害<color=#e57a20>50%</color>的伤害，并扣除<color=#e57a20>1</color>层<color=#e57a20>刃翼之刻</color>，永久持续。叠加型印记。
,11207,112,7,1,征翼之令,群体技能造成的暴击伤害提升<color=#e57a20>100％</color>。
,11303,113,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,11305,113,5,1,独家秀演,【<color=#e57a20>技能4</color>】消耗鬼牌时，获得<color=#e57a20>全场欢呼</color>状态。<br>全场欢呼：造成伤害提升<color=#e57a20>15%</color>，持续<color=#e57a20>3</color>轮。可叠加。
,11307,113,7,1,返场诡计,【<color=#e57a20>辅助技</color>】每消耗<color=#e57a20>1</color>张<color=#e57a20>红牌</color>，恢复我方全员等同自身魔法攻击力<color=#e57a20>30％</color>的生命值。
,11403,114,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
,11405,114,5,1,赤殇战意,每次受到伤害有<color=#e57a20>30％</color>机率获得<color=#e57a20>1</color>层<color=#e57a20>怒刃印记</color>，怒刃印记的叠加上限提高至<color=#e57a20>20</color>层。
,11407,114,7,1,赤怒战意,敌方的当前生命值比例低于自己的当前生命值比例时，造成的伤害提升<color=#e57a20>15％</color>。
,11503,115,3,1,全副武装,自身装备属性加成提升<color=#e57a20>20%</color>。
