,required,required,required,required
,uint32,uint32,float,float
,id,audio_id,in_time,duration
备注,流水id,音频id,开始时间,持续时间
,1,12539,0,2
,2,12440,0,4
,3,11286,0,3
,4,11327,0.7,3.2
,5,10973,4.2,3.6
,6,11424,0,3
,7,10027,3.9,2.9
,8,10605,0.8,3.9
,9,12031,7.2,1.8
,10,12210,1.7,5.5
,11,11005,5.4,1.2
,12,10041,0,1
,13,12415,2.8,4
,14,10235,0,6
,15,12017,0,4.2
,16,11385,0,6
,17,11001,5.6,3
,18,11559,5.4,3.6
,19,11627,3,2.7
,20,10873,0,3
,21,11128,0,6.4
,22,11577,4.4,6
,23,11574,2.6,7.4
,24,11586,9,2.5
,25,500133,0,4
,26,11242,0,4
,27,11171,0,7
,28,500198,0,2
,29,11208,0,4
,30,11460,0,7
,31,11516,0,10
