,required,required,required,required,required
,uint32,uint32,int32,uint32,uint32
,id,hero_id,unlock_level,chinese_id,japanese_id
备注,英雄id拼接音频索引,英雄id,解锁等级,中文的音频id,日文的音频id
,10101,101,0,1,0
,10102,101,1,2,0
,10103,101,2,3,0
,20101,201,0,7,0
,20102,201,1,8,0
,20103,201,2,9,0
,20104,201,4,10,0
,20105,201,5,11,0
,20106,201,7,12,0
,20107,201,8,13,0
,30101,301,0,14,0
,30102,301,2,15,0
,30103,301,4,16,0
,30104,301,6,17,0
,10501,105,0,18,0
,10502,105,3,19,0
,10503,105,6,20,0
,10801,108,0,21,0
,30201,302,0,22,0
,30202,302,3,23,0
,30203,302,6,24,0
,10401,104,0,25,0
,10201,102,0,28,0
,10601,106,0,29,0
,10701,107,0,30,0
