,required,required,required,required,required,optional,required,required,required,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,20931,3132,,0,1,昆虫学家法布尔,0,0,1,2032,0,,
,20932,3132,,0,1,佣兵利拉弗,0,0,1,10002,0,,
,20933,3132,,0,1,佣兵迪奥,0,0,1,10002,0,,
,20934,3132,,0,1,佣兵达兹马,0,0,1,10002,0,,
,40284,3132,,0,8,商人的货箱,0,0,1,1018,0,,
,60445,3132,,0,8,虫卵,0,0,1,0,0,,
,60446,3132,,0,8,大石块,0,0,1,0,0,,
