,id,dialog
备注,剧情对白id,对白内容
战斗剧情，最大到5000,1,兰奇：连你也想阻止我吗？
,2,泰雷：住手兰奇！你要背弃你的骑士之誓吗？
,3,兰奇：哈哈哈，骑士？不要被这种虚无的东西蒙蔽了！
,4,泰雷：咳……不愧是奥兹家族的最强者，但你却把剑指向了朋友
,5,兰奇：有的人为了力量能做出你想不到的事……
,6,泰雷：就算拼上性命，我也要阻止你！放下剑，你还有机会！
,7,兰奇：放弃吧！别让你的命更不值钱了！
,10069,乔伊:手刃国王的感觉不错吧？
,10070,乔伊:背叛的滋味是多么美妙。
,10071,乔伊:尝试过的人都无法抵抗那种诱惑。
,10072,兰奇:忠诚这种东西，我不在意。
,10073,兰奇:背叛？那又怎么样？
,10074,兰奇:弱者的闲言，
,10075,爱琪:你忘了我们抢夺财宝是为了什么吗？
,10076,爱琪:忘了里奇团长的事了吗？
,10077,爱琪:要是不记得了。
,10078,爱琪:那就想想自己背后的玫瑰印记诅咒吧！
,10079,爱琪:如果不想像腐败的玫瑰花般凋零。
,10080,爱琪:那就别再做蠢事了。
,10081,
,10082,兰奇:我根本不在乎。
,10083,乔伊:这就是奥兹家族的战神？
,10084,乔伊:和我见过的不一样。
,10085,乔伊:臣服于暗龙的力量吧。
,10086,乔伊:堕入黑暗的战神，
,10087,乔伊:没有人可以抵抗它的诱惑。
,10097,夜崎隐:我精心培养的人。
,10098,夜崎隐:哪轮得到你出手？
,10099,尼格斯:那你是要解决这些障碍吗？
,10100,夜崎隐:嗯哼~并不是哦~
,10101,夜崎隐:我是来清理“垃圾”的。
,10102,夜崎隐:比如你。
,10104,兰奇:命运的骰子，
,10105,兰奇:要握在自己手中。
,10107,米兰达:资格不需要你赋予。
,10108,米兰达:你只要知道，你要为自己的行为付出代价！
,10109,米兰达:背弃自己的信仰，追逐禁忌的力量。
,10110,米兰达:纳雅在你眼里，也不过是一个踏脚石。
,10111,米兰达:只要我还是纳雅的将军。
,10112,米兰达:绝不会允许你的阴谋得逞。
,10113,亚兹莫:拥有信仰的你们，还不是被神遗弃。
,10114,亚兹莫:那个所谓的六翼天神，为纳雅做了什么？
,10115,美丽的少女:伤害我的族人。
,10116,美丽的少女:破坏我的家园。
,10117,美丽的少女:今天势必驱逐你！
,10118,美丽的少女:我的家园，我自己守护。
,10119,美丽的少女:邪恶的入侵者。
,10120,美丽的少女:给我离开！
,10121,可怖的女人:呵呵，蠢货。
,10122,可怖的女人:你挣扎的模样，令我胃口大开。
,10123,可怖的女人:乖乖当我的小点心吧！
,10124,爱琪:这样的对手。
,10125,爱琪:我一个人就可以对付。
,10126,爱琪:爱琳娜姐姐，在旁边欣赏吧。
,10127,爱琪:让你看看玫瑰绽放的姿态。
,10128,暗黑战魂:你的口气倒是不小。
,10129,暗黑战魂:可惜实力太差了。
,10130,暗黑战魂:人类皆是如此不堪一击。
,10131,暗黑战魂:我们魔族才应是世界之主。
,10132,暗黑战魂:等魔神大人苏醒。
,10133,暗黑战魂:世界将永不见光明。
,10134,爱琳娜:妹妹，我来帮你。
,10135,爱琳娜:魔族？世界之主？
,10136,爱琳娜:脑子是个好东西，可惜你没有。
,10137,爱琳娜:敢和我们谈实力？等打赢我再说。
,10138,
,10139,米兰达:我会守住纳雅的璀璨。
,10140,米兰达:而纳雅，亦不需要你这样的王！
,10141,亚兹莫:是我！在救纳雅的是我！
,10142,
,10143,檐鬼:切，对付他们需要半小时？
,10144,檐鬼:你们东躲西藏的样子。
,10145,檐鬼:就像被猫玩弄的耗子。
,10146,檐鬼:切，不要挣扎了，小鬼。
,10147,檐鬼:把神器·命运之光交出来！
,10148,亚兹莫:你们这些……连垃圾都不如……的家伙。
,10149,亚兹莫:给我全部消失吧！！！
,10150,？？？:檐鬼，半小时内结束。
"技能剧情，最大到59999,西蒙",50001,交给我吧
,50002,接受正义之刃的制裁吧
温丽,50003,本大小姐的个人秀时间到了！
,50004,见识下我的魔法!
,50005,麻烦死了！
,50006,嗬！
,50007,嗬，呀！
,50008,去吧，火焰鸟！
,50009,嗬!
,50010,呀！
,50011,来吧，笑一个~
,50012,你完蛋了！
,50013,星辉冰河之耀，赐予我神的力量！
,50014,这么快
,50015,赢了呢
,50016,你这家伙真是笨死啦！
,50017,你们真是……一点都不可爱……
,50018,不可能，不开心，我不要……
爱琳娜,50019,一拳就解决你！
,50020,听说，你想跟我的拳头作对？
,50021,嘿，呀!
,50022,嗬，嗬！
,50023,求饶吧！
,50024,去死吧！
,50025,嗬！
,50026,以暴制暴！
,50027,嗬——！
,50028,这么不禁打？！
,50029,记住，这是万吨的力量。
,50030,哈！
,50031,接下来是
,50032,百万吨怒击！
,50033,赶紧回家找妈妈吧！
,50034,这就是你的实力啦？小菜鸟~
,50035,姐姐并不是真得想伤害你。
,50036,亏大了，这次亏大了……给老娘等着……
玫瑰舞姬,50037,选我？很有眼光~
,50038,想和我共舞一曲么？
,50039,嘿，哈
,50040,弄疼你了吗~
,50041,可不能
,50042,分心哟~
,50043,千万不要爱上我哦~
,50044,可爱的生命啊，为我而绽放!
,50045,今晚你可就是我的人了~
,50046,啊，真是不好意思，你还好吗？
,50047,我还不想跟你回去，姐姐。
,50048,就这么离我而去了吗……不爱我了吗……
西蒙,50049,未来帝国第一剑士，参上！
,50050,都快等得不耐烦了！
,50051,来吧
,50052,全力进攻！
,50053,"嘿,嗬啊！"
,50054,没想到吧！
,50055,突破！
,50056,嗬啊！
,50057,快投降吧！
,50058,胜券在握！
,50059,嗬啊——
,50060,奥兹之剑斩断一切罪恶，斩！！
,50061,罪恶！
,50062,我的目标，可是帝国第一！奥兹剑士是最强的！
,50063,啊……我可从来不跟女孩子打架啊……
,50064,帝国第一剑士的称号换人咯！
,50065,已经…尽力了… 我一定……会变得……更加强大……
木禅,50066,生命于我，一期一会。
,50067,在苦难中修行。
,50068,嗬，哈！
,50069,接招吧！
,50070,嗬啊！
,50071,觉悟吧！
,50072,不要
,50073,妄动
,50074,恶念！
,50075,赎罪吧！
,50076,陷入无尽的羁绊!
,50077,失礼了。
,50078,你无法领悟生命的奥义。
,50079,等等……你是叫爱琳娜对吧？
,50080,没有什么值得眷恋……请把我留在……古加尼尔的森林……
泰雷,50081,让我来，拼死守护的时刻到了！
,50082,啊——！
,50083,破绽百出！
,50084,啊！
,50085,我无法放任罪恶不管，
,50086,嗬——啊！
,50087,罪恶无处可逃！
,50088,哈！
,50089,嗬！
,50090,做个了断吧！
,50091,赤诚，义理
,50092,合！
,50093,无论怎样，也要守护重要的事物。
,50094,这是我的分内之事。
,50095,你究竟是为了什么背叛罗兰？
,50096,我，永不背弃……
,50097,虽不能凯旋，荣光不灭。
温丽,50101,来咯来咯
,50102,去吧，火焰鸟!
,50103,哼，我生气了！
,50104,去吧，火焰鸟
乔伊,50105,只不过是个生命而已。
,50106,平庸的时代，终将翻篇。
,50107,阅读时间
,50108,别来打扰我。
,50109,我的能量
,50110,你无法预知。
,50111,啊，那就让你
,50112,马上
,50113,彻底消失！
,50114,魔神的力量
,50115,抹除一切！
,50116,我要的
,50117,是绝对的
,50118,宰制。
,50119,蝼蚁的生命如此短暂。我，就是所谓的，主宰。
,50120,你的小花招，可瞒不过我。
,50121,别再让我知道你背地里的事情。
,50122,我竟然……被算计了……
,50123,我的计划，就到此为止了么……
兰奇,50124,弱者的气息。
,50125,你怎么会有，能和我一战的错觉？
,50126,废物而已。
,50127,放弃吧！
,50128,弱者
,50129,都给我去死！！！
,50130,一切到此为止吧！
,50131,醒醒吧，看清你自己。
,50132,正义？强大即是正义。
,50133,我的弟弟，你还差得远呢！
,50134,老朋友，你阻止不了我的。
,50135,难道这就是失败的滋味吗? 是我低估了你……
檐鬼,50136,等待湮灭吧！
,50137,杀戮开始！
,50138,面对黑暗吧！
,50139,魍影
,50140,出动！
,50141,你在和死神对视!
,50142,撕咬吧!
,50143,啊！
,50144,嗬啊！
,50145,恐惧吧！
,50146,嗬——
,50147,啊！
,50148,在暗影的边缘，
,50149,收割生命！
,50150,继续！
,50151,哦~我又一次杀死了黎明！
,50152,光明终将消逝在黑夜里。
,50153,那，那是光么……
,50154,黑暗赐予我的，是一无所有么……
,50542,魍影，出动！
该隐,50155,嘿嘿嘿，小果实，我来咯~
,50156,你会是我的小果实吗~
,50157,滚开！
,50158,啊，鲜血
,50173,让鲜血四溅！
,50159,斩！
,50160,呵呵呵。
,50161,调皮~
,50162,血腥的味道~
,50163,当心哦！
,50164,要逃跑吗？！
,50165,嗬，哈，哈！
,50166,boom~呵呵~~
,50167,来吧，邀请你参加一场盛大的晚宴，哈哈哈哈~
,50168,哦~真是遗憾呢~
,50169,说起来，刚刚真是有意思呢！
,50170,小果实~有那么一点点长进哟！
,50171,值得么？为了那些懦弱的人？
,50172,有点……意思……你强大得让我兴奋。
,50174,嗬！哼！
,50175,哼！
,50176,嗯！
,50177,哦！
,50178,嘿！
,50179,拼死守护的时刻到了！
,50180,呀！哈！
,50181,嗬！嘿！
,50182,来吧，笑一个
,50183,爆裂吧！火焰！
,50185,这只是意外啦~~
,50184,绝不能认输！
,50186,平庸的时代，终将翻篇！
,50187,拥抱死亡！
,50188,践踏！
,50189,碾碎一切！
,50190,准备！
,50194,彻底消灭！
,50193,来吧！
,50192,战个痛快！
,50191,杀！
爱琳娜,50201,听说，你想跟我的拳头做对
,50202,出来吧，小白
泰雷,50301,我来为你们开路！
