,required,required,optional,required,required,required,required,optional,required,repeated,repeated,required,repeated,required,repeated,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,string,uint32,uint32
,id,name,attr_type,type,sex,family,profession,level,attr_id,special_effects,own_skills,skill_que,skill_vis,skill_loop_que,skill_que_vis,action_id
备注,怪物ID,注释,属性适配类型,怪物类型,性别,家族,职业类型,等级,怪物属性ID,特殊效果ID,拥有技能列表,技能序列,技能序列可见性,循环技能序列,循环技能序列可见性,效果ID
,1000372,斯塔克毒蝎,0,0,1,2,2,22,1000372,1011,1001001;1001002,"1,0,1",0,"1,0,1",0,0
,1000502,魔箱兽,0,1,1,6,1,22,1000502,1011,1000901;1000902,"0,0,1",0,"0,0,1",0,0
,1000731,海魔,0,1,1,6,1,55,1000731,1111,1001201;1001202;1001203,"2,0,1,0;0,1,2",0,"2,0,1,0;0,1,2",0,0
,1000732,宝箱怪,0,1,1,6,1,55,1000732,,1000901;1000902,"0,0,1",0,"0,0,1",0,0
,1000733,J博士,0,2,1,4,1,58,1000733,1021,1001601;1001602;1001603,"0,1,2",0,"0,1,0,2;0,1,2",0,0
默希娅,1000781,默希娅,0,2,1,6,1,60,1000781,1621,1003701;1003702;1003703;1003704,"0,1,2,3",0,"0,1,2,3",0,0
蝎怪,1000782,斯塔克蝎魔,0,2,1,2,1,25,1000782,1634,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
