,required,required,required,required,required,optional,required,required,required,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,20462,3067,,0,1,力士加鲁,0,0,1,10002,0,,
,20591,3089,,0,1,扬博士,0,0,1,52024,0,,
,20592,3089,,0,1,蕾茵,0,0,1,2100,0,,
,20604,3089,,0,1,树精叽叽,0,0,1,2044,0,,
,20605,3089,,0,1,树精叽叽,0,0,1,2044,0,,
,20606,3089,,0,1,树精喳喳,0,0,1,2064,0,,
,20607,3089,,0,1,树精喳喳,0,0,1,2064,0,,
,30595,3089,,0,7,,0,0,1,0,0,,
,40126,3067,"5,5,5",0,3,圣晶宝箱,0,0,1,1021,0,,
,40127,3067,,0,3,烁金宝箱,0,0,1,1019,0,,
,40128,3067,,0,3,烁金宝箱,0,0,1,1019,0,,
,40152,3067,,0,3,烁金宝箱,0,0,1,1019,0,,
,40153,3067,,0,3,烁金宝箱,0,0,1,1019,0,,
,40154,3067,,0,3,烁金宝箱,0,0,1,1019,0,,
,40182,3089,"5,5,5",0,3,圣晶宝箱,0,0,2,1021,0,,
,40183,3089,,0,3,烁金宝箱,0,0,1,1019,0,,
,40184,3089,,0,3,烁金宝箱,0,0,1,1019,0,,
,40185,3089,,0,3,烁金宝箱,0,0,1,1019,0,,
,40186,3089,,0,3,烁金宝箱,0,0,1,1019,0,,
,40187,3089,,0,3,烁金宝箱,0,0,1,1019,0,,
,40227,3089,,0,1,黯月宝箱,0,0,1,1020,0,,
,40228,3089,,0,1,辉日宝箱,0,0,1,1021,0,,
,40229,3067,,0,1,黯月宝箱,0,0,1,1020,0,,
,40230,3067,,0,1,辉日宝箱,0,0,1,1021,0,,
,60172,3067,,0,8,,0,0,1,0,0,,"0,1.4,0"
,60173,3067,,0,8,,0,0,1,0,0,,"0,1.4,0"
,60174,3067,,0,8,,0,0,1,0,0,,"0,1.4,0"
,60175,3067,"5,5,5",0,8,,0,0,1,0,0,,"0,1.4,0"
,60254,3067,,0,8,,0,0,1,2000,0,,
