,required,required,required,required,required
,uint32,uint32,int32,uint32,uint32
,id,hero_id,unlock_level,chinese_id,japanese_id
备注,英雄id拼接音频索引,英雄id,解锁等级,中文的音频id,日文的音频id
,10101,101,0,72,0
,10102,101,0,32,0
,10103,101,0,76,0
,10156,101,8,70,0
,10157,101,9,6,0
,10201,102,0,130,0
,10202,102,0,131,0
,10301,103,0,92,0
,10302,103,0,93,0
,10303,103,0,94,0
,10401,104,0,68,0
,10402,104,0,123,0
,10501,105,0,100,0
,10502,105,0,45,0
,10601,106,0,147,0
,10602,106,0,148,0
,10603,106,0,55,0
,10604,106,0,56,0
,10605,106,0,57,0
,10701,107,0,151,0
,10702,107,0,60,0
,10703,107,0,61,0
,10851,108,0,106,0
,11201,112,0,156,0
,11202,112,0,157,0
,11301,113,0,163,0
,11302,113,0,164,0
,20101,201,0,79,0
,20102,201,0,80,0
,20103,201,0,35,0
,20104,201,0,36,0
,20105,201,0,37,0
,20151,201,0,78,0
,20152,201,0,7,0
,20153,201,1,8,0
,20154,201,2,9,0
,20155,201,4,10,0
,20156,201,5,11,0
,20157,201,7,12,0
,30101,301,0,84,0
,30102,301,0,40,0
,30201,302,0,118,0
,30202,302,0,119,0
,30203,302,0,120,0
,30204,302,0,47,0
,30205,302,0,48,0
,30251,302,0,117,0
,30252,302,1,22,0
,30253,302,3,23,0
,40101,401,0,69,0
,40102,401,0,137,0
