,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,money,core_id,core_num,minor_id1,minor_num1,minor_id2,minor_num2,minor_id3,minor_num3
备注,物品ID,所需金币数量,核心材料ID,核心材料数量,次要材料1ID,次要材料1数量,次要材料2ID,次要材料2数量,次要材料3ID,次要材料3数量
,2011074,500,2011064,5,2000074,1,0,0,0,0
,2012074,500,2012064,5,2000074,1,0,0,0,0
,2013074,500,2013064,5,2000074,1,0,0,0,0
,2014074,500,2014064,5,2000074,1,0,0,0,0
,2021074,500,2021064,5,2000074,1,0,0,0,0
,2022074,500,2022064,5,2000074,1,0,0,0,0
,2023074,500,2023064,5,2000074,1,0,0,0,0
,2024074,500,2024064,5,2000074,1,0,0,0,0
,2041074,500,2041064,5,2000074,1,0,0,0,0
,2042074,500,2042064,5,2000074,1,0,0,0,0
,2043074,500,2043064,5,2000074,1,0,0,0,0
,2044074,500,2044064,5,2000074,1,0,0,0,0
,2051074,500,2051064,5,2000074,1,0,0,0,0
,2052074,500,2052064,5,2000074,1,0,0,0,0
,2053074,500,2053064,5,2000074,1,0,0,0,0
,2054074,500,2054064,5,2000074,1,0,0,0,0
,2061074,500,2061064,5,2000074,1,0,0,0,0
,2062074,500,2062064,5,2000074,1,0,0,0,0
,2063074,500,2063064,5,2000074,1,0,0,0,0
,2064074,500,2064064,5,2000074,1,0,0,0,0
