,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask,countdown_show
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型,倒计时限时
,10061,0,1,0,0,0,3,1 2001 30022,1,,2,0,0,0,0,2 1 2001 30022,0,103,0
和大小姐讲道理,10104,0,1,0,0,0,3,1 2001 20046,1,,5,0,0,0,0,1 1 2001 20046,0,101,0
化解误会,10106,0,1,0,0,0,3,1 2001 10004,1,,5,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101,0
,10110,0,1,0,0,0,3,1 2001 30083,1,,5,0,0,0,0,"2 0 2001 1.50,0.05,-11.93",0,101,0
兽潮侵扰,10111,0,1,0,0,0,3,1 2001 10004,1,,2,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101,0
由莉的执念,10112,0,1,0,0,0,3,1 2001 12001002,1,,2,0,0,0,0,"2 0 2001 -30.71,0.05,-10.79",0,105,0
由莉升天,10116,0,1,0,0,0,3,1 2001 30084,1,,2,0,0,0,0,"2 0 2001 13.88,1.22,-27.59",0,101,0
目标，罗兰镇,10118,0,1,0,0,0,3,1 2001 10006,1,,2,0,0,0,0,"2 0 2001 -1.61,0.05,-1.41",0,101,0
凯旋而归,10141,0,1,0,0,0,3,1 2001 30095,1,,2,0,0,0,0,2 1 2001 30095,0,101,0
水晶球里的人,10149,0,1,0,0,0,3,1 1000 30097,1,,2,0,0,0,0,2 1 1000 30097,0,101,0
,10165,0,1,0,0,0,3,1 2001 10014,1,,2,0,0,0,0,2 1 2001 10014,0,108,0
不见踪影,10173,0,1,0,0,0,3,1 2001 30451,1,,5,0,0,0,0,0,0,101,0
不见踪影,10174,0,1,2,0,0,3,1 2001 30015,1,,5,2001,52009,5,0,"2 0 2001 -91.19,0.9,-185.64",0,106,0
赫丽的踪迹,10177,0,1,0,0,0,3,1 2001 20081,1,,5,0,0,0,0,1 1 2001 20081,0,101,0
赫丽的踪迹,10178,0,1,0,0,0,3,1 2001 30172,1,,5,0,0,0,0,2 1 2001 30172,0,101,0
赫丽的踪迹,10179,0,1,1,0,0,3,1 2001 60049,1,,5,0,0,0,0,1 1 2001 60049,0,101,0
幕后黑手是他！,10180,0,1,0,0,0,3,1 2001 20082,1,,5,0,0,0,0,1 1 2001 20082,0,101,0
你听说过圣界吗？,10184,0,1,0,0,0,3,1 1000 20227,1,,5,0,0,0,0,0,0,101,0
你听说过圣界吗？,10190,0,1,0,0,0,3,1 2001 20131,1,,5,0,0,0,0,1 1 2001 20131,0,101,0
大帝之子,10210,0,1,0,0,0,3,1 1000 20225,1,,2,0,0,0,0,1 1 1000 20225,0,101,0
传说中的罗兰镇,10228,0,1,0,0,0,3,1 2001 20049,1,,2,0,0,0,0,1 1 2001 20049,0,101,0
击退怒蝎统领强森,10261,0,1,0,0,0,3,1 2001 30319,1,,2,0,0,0,0,2 1 2001 30319,0,103,0
开启高地入口,10263,0,1,0,0,0,3,1 2001 30319,1,,5,0,0,0,0,2 1 2001 30319,0,101,0
,10267,0,1,0,0,0,1,,1,,5,0,0,0,0,0,0,101,0
,10270,0,1,0,0,0,3,1 1000 21037,1,,2,0,0,0,0,1 1 1000 21037,0,101,0
,10682,0,1,0,0,0,1,0,1,,5,0,0,0,0,0,0,101,0
