,id,name,content
备注,英雄id拼接音频索引,名称,字幕
,10158,【剧情】家族荣耀,奥兹家族的荣耀不允许你玷污！
,10251,【剧情】正义的使者,正义永不缺席！
,10753,【剧情】游戏开始,呐，来玩点有意思的吧~说不定我一高兴，就把你想知道的事情告诉你了~
,10754,【剧情】夜崎的选择,啊~决定了~你的问题，我一-个-都-不-回-答~嗯呵呵~
,10755,【剧情】狩猎,现在还没有到狩猎的时候~要再久一点……
,11151,【剧情】王之威严,守护我的臣民！
,11252,【剧情】王者归来,蓝天是我的战场！
,11351,【剧情】惊不惊喜？,啊啦啦，只是个魔术！
,20159,【剧情】谁动了我的肉夹馍,啊！我的鹿脊肉夹馍，我期待了好久的……
,30155,【剧情】若没有明天,如果你都活不过明天了，你还管未来别人的死活？
,30156,【剧情】赏金猎人教条,呵，劝你少说几句，<br>难道没有听说过反派死于话多么？！
,30157,【剧情】可恨之人,老娘最痛恨踩人痛处的家伙！
,40151,【剧情】暗夜将至,世界的光将会湮灭，那位大人亦会加冕为王。
,40152,【剧情】强者的蔑视,蝼蚁，从我面前消失吧。
