,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,int64,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,life,phy_atk,mgc_atk,phy_def,mgc_def,life_add,phy_atk_add,mgc_atk_add,phy_def_add,mgc_def_add,hit_rate,dodge_rate,critical_rate,critical_dmg,critical_def,parry_rate,parry_def,hitbreak_rate,hitback_xp,dmg_add,dmg_cut,ice_atk,fire_atk,dark_atk,light_atk,ice_def,fire_def,light_def,dark_def
备注,属性id,生命值,物理攻击,魔法攻击,物理防御,魔法防御,生命加成,物攻加成,魔攻加成,物防加成,魔防加成,命中率,闪避率,暴击率,暴击伤害,抗爆率,格挡率,格挡减伤,破击率,受击回复xp,伤害加成,伤害减免,冰元素伤害,火元素伤害,暗元素伤害,光元素伤害,冰元素抗性,火元素抗性,光元素抗性,暗元素抗性
,9000451,10998,611,611,244,244,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000452,9168,764,764,305,305,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000453,7334,764,764,305,305,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000454,14509,916,916,366,366,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000455,16932,1069,1069,427,427,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000456,8466,1069,1069,427,427,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000457,8466,1069,1069,427,427,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000458,39138,1186,1186,474,474,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000459,17186,1302,1302,520,520,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000460,22342,1302,1302,520,520,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000461,37197,1409,1409,563,563,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000462,16681,1511,1511,604,604,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000463,16681,1511,1511,604,604,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000464,16681,1511,1511,604,604,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000465,16740,1733,1733,693,693,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000466,28698,1733,1733,693,693,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000467,25737,1865,1865,746,746,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000468,20589,1865,1865,746,746,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
,9000469,20589,1865,1865,746,746,0,0,0,0,0,10000,500,1000,5000,0,500,3000,0,0,0,0,0,0,0,0,0,0,0,0
