,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,1000307,暗月NPC,1000,1,21396,0,1,0,0,0,0,0,"67.46,22.63,112.04",198.69,1
,1000308,暗月怪物,1000,2,900618,0,1,1,0,0,0,0,"67.46,22.63,112.04",198.69,1
,1000309,米蕾NPC,1000,1,21395,0,1,0,0,0,0,0,"64.85,22.63,112.43",67.25,1
,1000328,自律联盟头条专栏,1000,1,70061,0,0,0,0,0,0,0,"-21.36,555.04,117.57",0,1
,1000329,自律联盟档案1,1000,1,70062,0,1,0,0,0,0,0,"-31.69,561.29,140.45",0,1
,1000330,自律联盟档案2,1000,1,70063,0,1,0,0,0,0,0,"-36.16,560.88,131.53",0,1
,20010357,粗暴的猎人,2001,2,900617,0,1,0,0,0,0,0,"1.06,0.14,-1.93",116.57,1
,20010358,陷阱,2001,1,30773,0,1,0,0,0,0,0,"-2.12,0.13,1.70",0,1
,20010359,年轻的女商贩,2001,1,21393,0,1,0,0,0,0,0,"2.49,0.14,-4.08",292.32,1

