,id,Name,Intention,talks,detailDes
备注,任务id,任务标题,任务目标,护送Npc喊话组(以$$分隔),详细描述（佣兵任务等）
,20416,魔族的初级威胁 ,清理魔族士兵[count 1] ,,别以为魔族士兵跟动画片里面的一样弱，这里可是游戏！ 
,20417,魔族的初级威胁 ,清理魔族士兵[count 1] ,,别以为魔族士兵跟动画片里面的一样弱，这里可是游戏！ 
,20418,魔族的初级威胁 ,清理魔族士兵[count 1] ,,别以为魔族士兵跟动画片里面的一样弱，这里可是游戏！ 
,20419,魔族的初级威胁 ,清理魔族士兵[count 1] ,,别以为魔族士兵跟动画片里面的一样弱，这里可是游戏！ 
,20420,魔族的初级威胁 ,清理魔族士兵[count 1] ,,别以为魔族士兵跟动画片里面的一样弱，这里可是游戏！ 
,20421,魔族的进阶威胁 ,清理魔族战将[count 1] ,,魔族战将又在忽悠人了！快去阻止它！ 
,20422,魔族的进阶威胁 ,清理魔族战将[count 1] ,,魔族战将又在忽悠人了！快去阻止它！ 
,20423,魔族的进阶威胁 ,清理魔族战将[count 1] ,,魔族战将又在忽悠人了！快去阻止它！ 
,20424,魔族的进阶威胁 ,清理魔族战将[count 1] ,,魔族战将又在忽悠人了！快去阻止它！ 
,20425,魔族的进阶威胁 ,清理魔族战将[count 1] ,,魔族战将又在忽悠人了！快去阻止它！ 
,20426,哀嚎神殿的封印 ,检查哀嚎神殿封印 ,,封印里面说不定会跳出一个神，然后满足我的愿望？ 
,20427,哀嚎神殿的封印 ,检查哀嚎神殿封印 ,,封印里面说不定会跳出一个神，然后满足我的愿望？ 
,20428,哀嚎神殿的封印 ,检查哀嚎神殿封印 ,,封印里面说不定会跳出一个神，然后满足我的愿望？ 
,20429,哀嚎神殿的封印 ,检查哀嚎神殿封印 ,,封印里面说不定会跳出一个神，然后满足我的愿望？ 
,20430,哀嚎神殿的封印 ,检查哀嚎神殿封印 ,,封印里面说不定会跳出一个神，然后满足我的愿望？ 
,20286,密信,将密信交给密探,,绝密！请确保将密信交给探员先生，不容有错。
,20287,密信,将密信交给密探,,绝密！请确保将密信交给探员先生，不容有错。
,20288,密信,将密信交给密探,,绝密！请确保将密信交给探员先生，不容有错。
,20289,密信,将密信交给密探,,绝密！请确保将密信交给探员先生，不容有错。
,20290,密信,将密信交给密探,,绝密！请确保将密信交给探员先生，不容有错。
,20291,佣兵托尼与酒,送至佣兵托尼处,,无酒不欢！佣兵托尼需要朗姆酒让他忘掉一切。
,20292,佣兵托尼与酒,送至佣兵托尼处,,无酒不欢！佣兵托尼需要朗姆酒让他忘掉一切。
,20293,佣兵托尼与酒,送至佣兵托尼处,,无酒不欢！佣兵托尼需要朗姆酒让他忘掉一切。
,20294,佣兵托尼与酒,送至佣兵托尼处,,无酒不欢！佣兵托尼需要朗姆酒让他忘掉一切。
,20295,佣兵托尼与酒,送至佣兵托尼处,,无酒不欢！佣兵托尼需要朗姆酒让他忘掉一切。
,20301,保命之物,将大剑交给佣兵托尼,,缪吉克辉曾被托尼救过，请将这大剑交给他的恩人。
,20302,保命之物,将大剑交给佣兵托尼,,缪吉克辉曾被托尼救过，请将这大剑交给他的恩人。
,20303,保命之物,将大剑交给佣兵托尼,,缪吉克辉曾被托尼救过，请将这大剑交给他的恩人。
,20304,保命之物,将大剑交给佣兵托尼,,缪吉克辉曾被托尼救过，请将这大剑交给他的恩人。
,20305,保命之物,将大剑交给佣兵托尼,,缪吉克辉曾被托尼救过，请将这大剑交给他的恩人。
,20321,佣兵托尼的麻烦,战胜北方暴君[count 1],,熊人出没！请为被围困的佣兵托尼伸出援手。
,20322,佣兵托尼的麻烦,战胜北方暴君[count 1],,熊人出没！请为被围困的佣兵托尼伸出援手。
,20323,佣兵托尼的麻烦,战胜北方暴君[count 1],,熊人出没！请为被围困的佣兵托尼伸出援手。
,20324,佣兵托尼的麻烦,战胜北方暴君[count 1],,熊人出没！请为被围困的佣兵托尼伸出援手。
,20325,佣兵托尼的麻烦,战胜北方暴君[count 1],,熊人出没！请为被围困的佣兵托尼伸出援手。
