,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,string,string,uint32,string,string,string,string
,id,regionSize,shapeType,size,des,triggerType,prefabPath,idleEffect,startEffect,endEffect
备注,机关id,区域大小,区域形状,机关大小,描述,触发方式 0区域触发/1点击,预制路径,默认特效,开始特效,完成特效
,1,,0,,门,1,Prefab/BattleInstance/ValveDoor.prefab,,,
,2,,0,,幻阵,2,,,,
,3,,0,,障碍,0,Prefab/BattleInstance/DoorAnimation.prefab,,,
,1000,,0,"1.1,1.1,1.1",魔族之心障碍左,0,Prefab/BattleInstance/DoorAnimation.prefab,,,
,1001,,0,"1.1,1.1,1.1",魔族之心障碍上,0,Prefab/BattleInstance/DoorAnimation.prefab,,,
,1002,,0,,魔族之心障碍楼梯,0,Prefab/BattleInstance/DoorAnimation.prefab,,,
,1003,,0,"0.9,0.9,0.9",魔族之心萨米尔结界,0,Prefab/BattleInstance/Effect_Scene_tanlanjiejie.prefab,,,
,1004,,0,"0.75,0.75,0.75",暗黑法师气墙门左,1,Prefab/BattleInstance/DoorAnimation.prefab,,,
,1005,,0,,暗黑法师气墙门上,1,Prefab/BattleInstance/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1006,,0,,魔法水晶柱机关（未做好）,1,Prefab/BattleInstance/ValveDoor.prefab,,,
,1009,,0,,铁栅栏,0,Prefab/BattleInstance/fb_lxmd_door_01.prefab,,,
,1010,,0,,铁栅栏,0,Prefab/BattleInstance/FB_luximudi_door.prefab,,,
,1007,,0,,哀嚎神殿吊桥门机关,0,Prefab/BattleInstance/BrigdeAnimation.prefab,,,
,1008,,0,,哀嚎神殿幻阵机关,2,,,,
,1011,,0,,哀嚎神殿法阵前门机关,0,Prefab/BattleInstance/ValveDoor.prefab,,,
,1012,"10,10,10",0,,左相府机关1,0,Prefab/BattleInstance/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1013,,0,,左相府机关2,0,Prefab/BattleInstance/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1014,,0,,左相府机关3,0,Prefab/BattleInstance/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1015,,0,,多人本测试门机关,0,Prefab/BattleInstance/ValveDoor.prefab,,,
,1016,,0,,多人本测试障碍机关,0,Prefab/BattleInstance/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1019,,0,,玫瑰驻地笼子,0,Prefab/Model/Exp01_dzyd_longzi.prefab,,,
,1020,,0,,魔族之心障碍左,0,Prefab/BattleInstance/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1021,,0,"1.1,1.1,1.1",魔心普本障碍左,0,Prefab/BattleInstance/DoorAnimation.prefab,,,
,1022,,0,"1.1,1.1,1.1",魔心普本障碍上,0,Prefab/BattleInstance/DoorAnimation.prefab,,,
,1023,,0,"0.75,0.75,0.75",魔心普本障碍右,1,Prefab/BattleInstance/DoorAnimation.prefab,,,
,1026,,0,,哀嚎神殿幻阵机关,2,,,,
,1027,,0,,哀嚎神殿吊桥门机关,0,Prefab/BattleInstance/BrigdeAnimation.prefab,,,
,1028,,0,,哀嚎神殿法阵前门机关,0,Prefab/BattleInstance/ValveDoor.prefab,,,
,1029,,0,,女巫古堡魔法橱柜,0,Prefab/BattleInstance/nvwu_end.prefab,,,
,1030,,0,,凋零之地棺材,0,Prefab/BattleInstance/FB_yysl_md_switch_on.prefab,,,
,1031,,1,,树心城蜘蛛网,0,Prefab/Effect/Scene/Effect_Scenemoxin_zhizhuwang.prefab,,,
,1032,,0,,凋零之地棺材,0,Prefab/BattleInstance/FB_yysl_md_switch_on.prefab,,,
,1033,,1,,树心城普通本蜘蛛网,0,Prefab/Effect/Scene/Effect_Scenemoxin_zhizhuwang.prefab,,,
,1034,,0,,凋零之地棺材,0,Prefab/BattleInstance/FB_yysl_md_switch_off.prefab,,,
,1035,,0,,凋零之地棺材,0,Prefab/BattleInstance/FB_yysl_md_switch_off.prefab,,,
,1036,,0,,卡诺萨保卫战,0,Prefab/BattleInstance/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1037,,0,,机关,0,Prefab/BattleInstance/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1039,,0,,枭鹰巢穴空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1040,,0,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1041,,0,,机关墙,0,Prefab/BattleInstance/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1042,,0,,障碍墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1043,,0,,罗兰比困难本光墙,1,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1044,,1,"2,1,1",空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1045,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang.prefab,,,
,1047,"5,5,5",0,,经验副本（噩梦）,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1049,"5,5,5 ",0,,材料副本(噩梦),0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1050,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1046,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1048,,0,,卡诺萨火墙,0,Prefab\Effect\Scene\Effect_Scenemoxin_mofahuoqiang.prefab,,,
,1051,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1052,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1053,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1054,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1055,"6,5,5",1,,怨灵墙,2,Prefab/Effect/Scene/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1056,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1057,"4,4,4",0,,深海实验室剧情副本,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1058,,0,,障碍机关,0,Prefab/BattleInstance/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1059,,0,,夜幕古堡楼梯,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1060,,0,,限时副本副本大厅1,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1061,,0,,限时副本副本大厅2,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1062,,0,,限时副本副本大厅3,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1063,,0,,限时副本副本大厅4,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1064,,1,,命案现场,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1065,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1066,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1067,,0,,夜幕古堡幻阵机关,2,,,,
,1068,,1,"1,1,1",空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1069,,0,,夜幕古堡楼梯,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1070,"4,4,4",0,,,2,,,,
,1071,"4,4,4",0,,,2,,,,
,1072,"4,4,4",0,,,2,,,,
,1073,,0,,门,0,Prefab/BattleInstance/ValveDoor.prefab,,,
,1074,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1075,,1,"0.63,1,1",黑龙战舰空气墙,2,Prefab/Effect/Scene/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1076,,1,"0.63,1,1",黑龙战舰空气墙,2,Prefab/Effect/Scene/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1077,"4,4,4",0,,,2,,,,
,1078,"6,6,6",0,,,2,,,,
,1079,"6,6,6",0,,,2,,,,
,1080,"4,4,4",0,,解谜博士的家1,0,Prefab/Effect/Scene/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1081,"4,4,4",0,,解谜博士的家2,0,Prefab/Effect/Scene/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1082,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1083,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1084,"5,5,5",0,,材料副本炼狱,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1085,,1,"1.6,1,1",经验地狱空气墙,2,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1086,,0,,经验深渊光墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1087,,0,"0.75,0.75,0.75",蝎子怪前机关门,1,Prefab/BattleInstance/DoorAnimation.prefab,,,
,1088,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
