,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,monitor_type,type,type_id,num_type,data1,data2,data3,data4,mask1,mask2
备注,监听id,监听类型,事件大类型,事件子类型,数量类型,数据1,数据2,数据3,数据4,掩码1,掩码2
,1000,3,9,1,1,1,0,0,0,1,1
,1001,3,9,1,1,2,0,0,0,1,1
,1002,3,9,1,1,3,0,0,0,1,1
,1003,3,9,1,1,4,0,0,0,1,1
,1004,3,9,1,1,5,0,0,0,1,1
,1005,3,9,1,1,6,0,0,0,1,1
,1006,2,7,1,1,10409,0,0,0,1,1
,1007,2,7,1,1,10224,0,0,0,1,2
,1008,2,7,1,1,10216,0,0,0,1,3
,1009,2,7,1,1,10167,0,0,0,1,4
,1010,2,7,1,1,10092,0,0,0,1,5
,1011,2,7,1,1,10188,0,0,0,1,6
,1012,2,10,1,1,3000,0,0,0,1,15
,1013,2,10,1,1,1800,0,0,0,1,16
,1014,2,10,1,1,1000,0,0,0,1,17
,1015,2,10,1,1,400,0,0,0,1,18
,1016,2,10,1,1,100,0,0,0,1,19
,1017,2,10,2,1,3000,0,0,0,7,8
,1018,1,2,1,1,5,0,0,0,0,0
,1019,1,2,1,1,10,0,0,0,0,0
,1020,1,2,1,1,15,0,0,0,0,0
,1021,1,2,1,1,20,0,0,0,0,0
,1022,1,2,1,1,25,0,0,0,0,0
,1023,1,2,1,1,30,0,0,0,0,0
,1024,1,2,1,1,35,0,0,0,0,0
,1025,1,2,1,1,40,0,0,0,0,0
,1057,1,4,1,2,2,3,101,0,0,0
,1058,1,4,1,3,2,3,1,2,0,0
,1059,2,4,2,2,4,3,101,0,7,18
,1060,2,4,2,3,4,3,1,2,7,19
,1062,1,4,1,1,1,3,1,0,0,0
,1063,1,4,1,1,2,3,1,0,0,0
,1067,1,4,1,1,1,5,3,0,0,0
,1072,1,4,1,1,1,5,6,0,0,0
,1097,1,1,1,1,10,1,0,0,0,0
,1098,1,1,1,1,20,1,0,0,0,0
,1099,1,1,1,1,30,1,0,0,0,0
,1100,1,1,1,1,40,1,0,0,0,0
,1101,1,1,1,1,45,1,0,0,0,0
,1102,1,1,1,1,50,1,0,0,0,0
,1103,1,1,1,1,55,1,0,0,0,0
,1104,1,1,1,1,60,1,0,0,0,0
,1105,1,1,1,1,10,3,0,0,0,0
,1106,1,1,1,1,20,3,0,0,0,0
,1107,1,1,1,1,30,3,0,0,0,0
,1108,1,1,1,1,40,3,0,0,0,0
,1109,1,1,1,1,45,3,0,0,0,0
,1110,1,1,1,1,50,3,0,0,0,0
,1111,1,1,1,1,55,3,0,0,0,0
,1112,1,1,1,1,60,3,0,0,0,0
,1113,1,1,1,1,10,6,0,0,0,0
,1114,1,1,1,1,20,6,0,0,0,0
,1115,1,1,1,1,30,6,0,0,0,0
,1116,1,1,1,1,40,6,0,0,0,0
,1117,1,1,1,1,45,6,0,0,0,0
,1118,1,1,1,1,50,6,0,0,0,0
