,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,uint32,float,float,float,int32
,id,levelId,pathId,nodeIndex,npcChatId,action,rotation,stayTime,modify,speedRate,fightDistance,triggerDistance,triggerAngle
备注,id,关卡id,路径ID,巡逻点,冒泡id,事件,角度,停留时间（毫秒）,是否修改巡逻参数0不修改1修改,移动速率,战斗距离,触发距离,触发角度
,31240301,3124,3,1,0,0,,2000,0,-1,-1,-1,-1
,31240302,3124,3,2,0,0,,1500,0,-1,-1,-1,-1
,31240303,3124,3,3,0,0,,1500,0,-1,-1,-1,-1
,31240304,3124,3,4,0,0,,2000,0,-1,-1,-1,-1
,31240401,3124,4,1,0,0,"0,180,0",1000,0,-1,-1,-1,-1
,31240402,3124,4,2,0,0,"0,270,0",1000,0,-1,-1,-1,-1
,31240403,3124,4,3,0,0,"0,0,0",1000,0,-1,-1,-1,-1
,31240404,3124,4,4,0,0,"0,90,0",1000,0,-1,-1,-1,-1
,31240405,3124,4,5,0,0,"0,180,0",1000,0,-1,-1,-1,-1
,31240601,3124,6,1,0,0,,2000,0,-1,-1,-1,-1
,31240602,3124,6,2,0,0,"0,45,0",1000,0,-1,-1,-1,-1
,31240603,3124,6,3,0,0,,2000,0,-1,-1,-1,-1
,31240701,3124,7,1,0,0,,2000,0,-1,-1,-1,-1
,31240702,3124,7,2,0,0,"0,225,0",1000,0,-1,-1,-1,-1
,31240703,3124,7,3,0,0,,2000,0,-1,-1,-1,-1
,31280101,3128,1,1,0,0,,2500,0,-1,-1,-1,-1
,31280102,3128,1,2,0,0,,2000,0,-1,-1,-1,-1
,31280201,3128,2,1,0,0,,2500,0,-1,-1,-1,-1
,31280202,3128,2,2,0,0,,1000,0,-1,-1,-1,-1
,31280203,3128,2,3,0,0,,1500,0,-1,-1,-1,-1
,31280301,3128,3,1,0,0,,1500,0,-1,-1,-1,-1
,31280302,3128,3,2,0,0,,2000,0,-1,-1,-1,-1
,31280303,3128,3,3,0,0,,2500,0,-1,-1,-1,-1
,31280401,3128,4,1,0,0,,1500,0,-1,-1,-1,-1
,31280402,3128,4,2,0,0,,2000,0,-1,-1,-1,-1
,31280403,3128,4,3,0,0,,2500,0,-1,-1,-1,-1
,31280701,3128,7,1,0,0,,1000,0,-1,-1,-1,-1
,31280702,3128,7,2,0,0,,2000,0,-1,-1,-1,-1
,31280703,3128,7,3,0,0,,1000,0,-1,-1,-1,-1
,31280801,3128,8,1,0,0,,2000,0,-1,-1,-1,-1
,31280802,3128,8,2,0,0,,1000,0,-1,-1,-1,-1
,31280803,3128,8,3,0,0,,2000,0,-1,-1,-1,-1
,31280901,3128,9,1,0,0,,2500,0,-1,-1,-1,-1
,31280902,3128,9,2,0,0,,500,0,-1,-1,-1,-1
,31280903,3128,9,3,0,0,,2500,0,-1,-1,-1,-1
,312500701,3125,7,1,0,0,"0,90,0",3000,0,0,0,0,0
,312500702,3125,7,2,0,0,"0,135,0",2000,0,0,0,0,0
,312500703,3125,7,3,0,0,"0,180,0",3000,0,0,0,0,0
,312500801,3125,8,1,0,0,"0,-90,0",3000,0,0,0,0,0
,312500802,3125,8,2,0,0,"0,-45,0",2000,0,0,0,0,0
,312500803,3125,8,3,0,0,"0,0,0",3000,0,0,0,0,0
,313700601,3137,6,1,0,0,"0,-53.072,0",3000,1,0.5,7,7,80
,313700602,3137,6,2,0,0,"0,-4.29,0",3000,1,0.5,7,7,80
,313700603,3137,6,3,0,0,"0,41.139,0",3000,1,0.5,7,7,80
,313700701,3137,7,1,0,0,"0,127.281,0",3000,1,0.5,7,7,80
,313700702,3137,7,2,0,0,"0,-179.86,0",3000,1,0.5,7,7,80
,313700703,3137,7,3,0,0,"0,-139.312,0",3000,1,0.5,7,7,80
,313800301,3138,3,1,0,0,"0,89.33601,0",2000,1,0.5,7,7,80
,313800302,3138,3,2,0,0,"0,0.831,0",2000,1,0.5,7,7,80
,313800303,3138,3,3,0,0,"0,-90.05501,0",2000,1,0.5,7,7,80
,313800304,3138,3,4,0,0,"0,-179.04,0",2000,1,0.5,7,7,80
,313800305,3138,3,5,0,0,"0,89.33601",2000,1,0.5,7,7,80
,900500201,9005,2,1,1071,0,"0,-45,0",3000,0,0,0,0,0
,900500202,9005,2,2,0,0,"0,45,0",3000,1,2,3,3,80
,900500203,9005,2,3,0,3,"0,90,0",3000,0,0,0,0,0
,900500204,9005,2,4,0,0,"0,-90,0",3000,1,0.5,7,7,20
