,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,int64,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,life,phy_atk,mgc_atk,phy_def,mgc_def,life_add,phy_atk_add,mgc_atk_add,phy_def_add,mgc_def_add,hit_rate,dodge_rate,critical_rate,critical_dmg,critical_def,parry_rate,parry_def,hitbreak_rate,hitback_xp,dmg_add,dmg_cut,ice_atk,fire_atk,dark_atk,light_atk,ice_def,fire_def,light_def,dark_def
备注,属性id,生命值,物理攻击,魔法攻击,物理防御,魔法防御,生命加成,物攻加成,魔攻加成,物防加成,魔防加成,命中率,闪避率,暴击率,暴击伤害,抗爆率,格挡率,格挡减伤,破击率,受击回复xp,伤害加成,伤害减免,冰元素伤害,火元素伤害,暗元素伤害,光元素伤害,冰元素抗性,火元素抗性,光元素抗性,暗元素抗性
,101,9600,800,0,336,304,0,0,0,0,0,10000,0,300,5000,0,300,3000,100,1000,0,0,0,0,0,0,0,0,0,0
,102,9312,816,0,328,304,0,0,0,0,0,10000,0,300,5000,100,0,3000,300,1500,0,0,0,0,0,0,0,0,0,0
,103,9600,824,0,320,288,0,0,0,0,0,10000,0,200,5000,0,0,3000,500,1000,0,0,0,0,0,0,0,0,0,0
,104,9504,768,0,360,320,0,0,0,0,0,10000,0,0,5000,200,500,3000,0,1000,0,0,0,0,0,0,0,0,0,0
,105,9408,0,800,280,360,0,0,0,0,0,10000,0,200,5000,0,0,3000,500,1000,0,0,0,0,0,0,0,0,0,0
,106,9504,832,0,280,336,0,0,0,0,0,10000,0,100,5000,300,0,3000,300,1000,0,0,0,0,0,0,0,0,0,0
,107,9216,840,0,344,288,0,0,0,0,0,10000,0,600,5000,200,0,3000,0,1000,0,0,0,0,0,0,0,0,0,0
,108,10080,0,784,304,320,0,0,0,0,0,10000,0,0,5000,300,300,3000,100,1000,0,0,0,0,0,0,0,0,0,0
,112,9312,840,0,288,320,0,0,0,0,0,10000,0,400,5000,0,0,3000,300,1000,0,0,0,0,0,0,0,0,0,0
,201,9408,0,824,288,328,0,0,0,0,0,10000,0,500,5000,0,0,3000,300,1000,0,0,0,0,0,0,0,0,0,0
,301,9792,792,0,304,320,0,0,0,0,0,10000,0,0,5000,500,300,3000,0,1000,0,0,0,0,0,0,0,0,0,0
,302,9408,0,816,304,336,0,0,0,0,0,10000,0,0,5000,300,200,3000,200,1000,0,0,0,0,0,0,0,0,0,0
,401,9312,0,808,336,304,0,0,0,0,0,10000,0,300,5000,200,0,3000,300,1000,0,0,0,0,0,0,0,0,0,0
,5000,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,5001,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,5002,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,5003,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,8000,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,9000,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,9001,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,9002,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,9003,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10001,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10002,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10003,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10004,12950,1850,1850,740,740,0,0,0,0,0,10000,500,1000,5000,0,1000,3000,0,0,0,0,0,0,0,0,0,0,0,0
,10005,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10006,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10007,9500,2300,2300,900,900,0,0,0,0,0,10000,0,1000,5000,0,3000,1000,0,0,0,0,0,0,0,0,0,0,0,0
,10008,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10009,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10010,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10011,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10012,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10013,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10014,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10015,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10016,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10017,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10018,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10019,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10020,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10021,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10022,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10023,1000,6000,6000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10024,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10025,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10026,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10027,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10028,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
,10029,11500,2150,2150,1000,1000,0,0,0,0,0,10000,0,1000,5000,0,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,10030,10000,1000,1000,400,400,0,0,0,0,0,10000,0,1000,5000,0,500,2000,0,0,0,0,0,0,0,0,0,0,0,0
