,required,required
,uint32,string
,id,picture
备注,流水id,头像资源
,1,Textures/Atlas/Dyn/CharacterCommonHead/ManandoldmanMiddleEast.png
,2,Textures/Atlas/Dyn/CharacterCommonHead/ForgingEngineer.png
,3,Textures/Atlas/Dyn/CharacterCommonHead/Youngwomen.png
,4,Textures/Atlas/Dyn/CharacterCommonHead/Ancore.png
,5,Textures/Atlas/Dyn/CharacterCommonHead/Edgar.png
,6,Textures/Atlas/Dyn/CharacterCommonHead/DruidElder.png
,7,Textures/Atlas/Dyn/CharacterCommonHead/Tiya.png
,8,Textures/Atlas/Dyn/CharacterCommonHead/Thieves.png
,9,Textures/Atlas/Dyn/CharacterCommonHead/ManandoldmanMiddleEast.png
,10,Textures/Atlas/Dyn/CharacterCommonHead/ForgingEngineer.png
,11,Textures/Atlas/Dyn/CharacterCommonHead/Youngwomen.png
,12,Textures/Atlas/Dyn/CharacterCommonHead/Ancore.png
,13,Textures/Atlas/Dyn/CharacterCommonHead/Baya.png
,14,Textures/Atlas/Dyn/CharacterCommonHead/FemalechildrenMiddleEast.png
,15,Textures/Atlas/Dyn/CharacterCommonHead/LittleWitches.png
,16,Textures/Atlas/Dyn/CharacterCommonHead/Mentionspirit.png
,17,Textures/Atlas/Dyn/CharacterCommonHead/Baya.png
,18,Textures/Atlas/Dyn/CharacterCommonHead/FemalechildrenMiddleEast.png
,19,Textures/Atlas/Dyn/CharacterCommonHead/LittleWitches.png
,20,Textures/Atlas/Dyn/CharacterCommonHead/Mentionspirit.png
,21,Textures/Atlas/Dyn/CharacterCommonHead/Edgar.png
,22,Textures/Atlas/Dyn/CharacterCommonHead/DruidElder.png
,23,Textures/Atlas/Dyn/CharacterCommonHead/Tiya.png
,24,Textures/Atlas/Dyn/CharacterCommonHead/Thieves.png
,25,Textures/Atlas/Dyn/CharacterCommonHead/Edgar.png
,26,Textures/Atlas/Dyn/CharacterCommonHead/DruidElder.png
,27,Textures/Atlas/Dyn/CharacterCommonHead/Tiya.png
,28,Textures/Atlas/Dyn/CharacterCommonHead/Thieves.png
,29,Textures/Atlas/Dyn/CharacterCommonHead/ManandoldmanMiddleEast.png
,30,Textures/Atlas/Dyn/CharacterCommonHead/ForgingEngineer.png
,31,Textures/Atlas/Dyn/CharacterCommonHead/Youngwomen.png
,32,Textures/Atlas/Dyn/CharacterCommonHead/Ancore.png
,33,Textures/Atlas/Dyn/CharacterCommonHead/Baya.png
,34,Textures/Atlas/Dyn/CharacterCommonHead/FemalechildrenMiddleEast.png
,35,Textures/Atlas/Dyn/CharacterCommonHead/LittleWitches.png
,36,Textures/Atlas/Dyn/CharacterCommonHead/Mentionspirit.png
,37,Textures/Atlas/Dyn/CharacterCommonHead/HeroPrairie.png
,38,Textures/Atlas/Dyn/CharacterCommonHead/Youngwomenforest.png
,39,Textures/Atlas/Dyn/CharacterCommonHead/Youngmen.png
,40,Textures/Atlas/Dyn/CharacterCommonHead/Anthropomorphictreeman.png
,41,Textures/Atlas/Dyn/CharacterCommonHead/Ethel.png
,42,Textures/Atlas/Dyn/CharacterCommonHead/Guard.png
,43,Textures/Atlas/Dyn/CharacterCommonHead/ForestHunter.png
,44,Textures/Atlas/Dyn/CharacterCommonHead/GoldGoblins.png
,45,Textures/Atlas/Dyn/CharacterCommonHead/commanderdwarf.png
,46,Textures/Atlas/Dyn/CharacterCommonHead/Bailiff.png
,47,Textures/Atlas/Dyn/CharacterCommonHead/YoungmenMiddleEast.png
,48,Textures/Atlas/Dyn/CharacterCommonHead/DarkElfMaleyoungman.png
,49,Textures/Atlas/Dyn/CharacterCommonHead/Ethel.png
,50,Textures/Atlas/Dyn/CharacterCommonHead/Guard.png
,51,Textures/Atlas/Dyn/CharacterCommonHead/ForestHunter.png
,52,Textures/Atlas/Dyn/CharacterCommonHead/GoldGoblins.png
,53,Textures/Atlas/Dyn/CharacterCommonHead/commanderdwarf.png
,54,Textures/Atlas/Dyn/CharacterCommonHead/Bailiff.png
,55,Textures/Atlas/Dyn/CharacterCommonHead/YoungmenMiddleEast.png
,56,Textures/Atlas/Dyn/CharacterCommonHead/DarkElfMaleyoungman.png
,57,Textures/Atlas/Dyn/CharacterCommonHead/HeroPrairie.png
,58,Textures/Atlas/Dyn/CharacterCommonHead/Youngwomenforest.png
,59,Textures/Atlas/Dyn/CharacterCommonHead/Youngmen.png
,60,Textures/Atlas/Dyn/CharacterCommonHead/Anthropomorphictreeman.png
,61,Textures/Atlas/Dyn/CharacterCommonHead/Sunny.png
,62,Textures/Atlas/Dyn/CharacterCommonHead/Witchservant.png
,63,Textures/Atlas/Dyn/CharacterCommonHead/Manycats.png
,64,Textures/Atlas/Dyn/CharacterCommonHead/MalechildrenMiddleEast.png
,65,Textures/Atlas/Dyn/CharacterCommonHead/Stewardshipmock.png
,66,Textures/Atlas/Dyn/CharacterCommonHead/David.png
,67,Textures/Atlas/Dyn/CharacterCommonHead/Greenforestdemon.png
,68,Textures/Atlas/Dyn/CharacterCommonHead/Carly.png
,69,Textures/Atlas/Dyn/CharacterCommonHead/Shikoud.png
,70,Textures/Atlas/Dyn/CharacterCommonHead/Gilardino.png
,71,Textures/Atlas/Dyn/CharacterCommonHead/DarkGrains.png
,72,Textures/Atlas/Dyn/CharacterCommonHead/Pierre.png
