,required,required,required,required,optional
,int32,uint32,string,int32,int32
,id,levelid,entrypos,targetid,cg
备注,切屏点id,levelid,切屏点坐标,目标切屏点id,切屏时播放的cgid
,0,1000,"60.05,25.59,68.34",1,0
,1,2001,"62.12,6.13,17.98",0,0
,2,2001,"-17.67,0.13,-85.67",3,0
,3,2002,"0.16,3.83,-18.43",2,0
,4,1000,"-27.90,554.02,93.83",5,0
,5,1000,"-28.09,23.31,82.93",4,0
,6,1000,"-178.42,464.11,68.45",7,0
,7,1000,"-173.67,32.36,68.35",6,0
,8,1003,"-0.19,0.03,-2.16",9,0
,9,1000,"30.26,22.79,81.94",8,0
,10,2001,"51.98,0.01,-221.72",11,0
,11,2003,"24.42,-0.01,23.80 ",10,0
,12,2003,"-0.76,-0.01,-46.59",13,0
,13,2003,"-59.94,0.10,-26.56",12,0
,14,2003,"-154.20,-0.15,-228.64",15,0
,15,2003,"-122.2,0.11,-222.07",14,0
,16,1001,"-12.12,1.23,21.23",17,0
,17,1001,"-11.91,8.47,21.33",16,0
,18,1004,"8.84,3.08,-0.31",19,0
,19,1000,"1.58,22.79,73.84",18,0
,22,1000,"-68.54,17.68,-12.34",23,0
,23,2005,"-5.69,-5.61,32.14",22,0
,24,2005,"52.12,17.52,-92.62",25,0
,25,2005,"347.31,0.40,167.83",24,0
,26,2005,"430.68,0.37,62.22",27,0
,27,2005,"336.29,-4.03,-226.59",26,0
,28,2004,"-39.03,17.84,0.6",29,0
,29,2006,"-0.09,1.11,25.82",28,0
,30,2005,"280.73,0.16,-379.07",31,0
,31,2005,"79.86,20.91,-234.27",30,0
