,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,data1,data2,data3,data4,itemtype_ID1,itemtype_num1,itemtype_ID2,itemtype_num2,itemtype_ID3,itemtype_num3,itemtype_ID4,itemtype_num4
备注,流水ID,活动类型,表示奖励的参数,表示奖励的参数,表示奖励的参数,表示奖励的参数,奖励物品1ID,奖励物品1数量,奖励物品2ID,奖励物品2数量,奖励物品3ID,奖励物品3数量,奖励物品4ID,奖励物品4数量
,10000,1,0,1,0,0,11,1500,1,1000,0,0,0,0
,10001,1,1,2,0,0,11,1350,1,900,0,0,0,0
,10002,1,2,3,0,0,11,1320,1,880,0,0,0,0
,10003,1,3,5,0,0,11,1230,1,820,0,0,0,0
,10004,1,5,10,0,0,11,1155,1,770,0,0,0,0
,10005,1,10,20,0,0,11,1080,1,720,0,0,0,0
,10006,1,20,30,0,0,11,1020,1,680,0,0,0,0
,10007,1,30,40,0,0,11,960,1,640,0,0,0,0
,10008,1,40,50,0,0,11,900,1,600,0,0,0,0
,10009,1,50,60,0,0,11,855,1,570,0,0,0,0
,10010,1,60,70,0,0,11,810,1,540,0,0,0,0
,10011,1,70,80,0,0,11,765,1,510,0,0,0,0
,10012,1,80,90,0,0,11,720,1,480,0,0,0,0
,10013,1,90,100,0,0,11,675,1,450,0,0,0,0
,10014,1,100,101,0,0,11,750,1,500,0,0,0,0
,10015,1,101,102,0,0,11,720,1,480,0,0,0,0
,10016,1,102,103,0,0,11,690,1,460,0,0,0,0
,10017,1,103,105,0,0,11,660,1,440,0,0,0,0
,10018,1,105,110,0,0,11,630,1,420,0,0,0,0
,10019,1,110,120,0,0,11,600,1,400,0,0,0,0
,10020,1,120,150,0,0,11,570,1,380,0,0,0,0
,10021,1,150,180,0,0,11,540,1,360,0,0,0,0
,10022,1,180,210,0,0,11,510,1,340,0,0,0,0
,10023,1,210,240,0,0,11,480,1,320,0,0,0,0
,10024,1,240,270,0,0,11,450,1,300,0,0,0,0
,10025,1,270,300,0,0,11,420,1,280,0,0,0,0
,10026,1,300,330,0,0,11,390,1,260,0,0,0,0
,10027,1,330,360,0,0,11,360,1,240,0,0,0,0
,10028,1,360,400,0,0,11,330,1,220,0,0,0,0
,10029,1,400,401,0,0,11,400,1,270,0,0,0,0
,10030,1,401,402,0,0,11,380,1,255,0,0,0,0
,10031,1,402,403,0,0,11,360,1,245,0,0,0,0
,10032,1,403,405,0,0,11,345,1,235,0,0,0,0
,10033,1,405,410,0,0,11,330,1,225,0,0,0,0
,10034,1,410,420,0,0,11,320,1,215,0,0,0,0
,10035,1,420,430,0,0,11,310,1,205,0,0,0,0
,10036,1,430,440,0,0,11,300,1,195,0,0,0,0
,10037,1,440,450,0,0,11,290,1,185,0,0,0,0
,10038,1,450,500,0,0,11,280,1,175,0,0,0,0
,10039,1,500,550,0,0,11,270,1,165,0,0,0,0
,10040,1,550,600,0,0,11,260,1,155,0,0,0,0
,10041,1,600,650,0,0,11,250,1,145,0,0,0,0
,10042,1,650,800,0,0,11,240,1,135,0,0,0,0
,10043,1,800,900,0,0,11,230,1,125,0,0,0,0
,10044,1,900,1000,0,0,11,220,1,115,0,0,0,0
,10045,1,1000,1001,0,0,11,260,1,140,0,0,0,0
,10046,1,1001,1002,0,0,11,250,1,130,0,0,0,0
,10047,1,1002,1003,0,0,11,240,1,125,0,0,0,0
,10048,1,1003,1005,0,0,11,230,1,120,0,0,0,0
,10049,1,1005,1010,0,0,11,220,1,115,0,0,0,0
,10050,1,1010,1020,0,0,11,205,1,110,0,0,0,0
,10051,1,1020,1030,0,0,11,200,1,105,0,0,0,0
,10052,1,1030,1040,0,0,11,195,1,100,0,0,0,0
,10053,1,1040,1050,0,0,11,190,1,96,0,0,0,0
,10054,1,1050,1100,0,0,11,185,1,92,0,0,0,0
,10055,1,1100,1150,0,0,11,180,1,88,0,0,0,0
,10056,1,1150,1200,0,0,11,175,1,84,0,0,0,0
,10057,1,1200,1250,0,0,11,170,1,80,0,0,0,0
,10058,1,1250,1400,0,0,11,165,1,76,0,0,0,0
,10059,1,1400,1500,0,0,11,160,1,72,0,0,0,0
,10060,1,1500,1600,0,0,11,155,1,68,0,0,0,0
,10061,1,1600,1700,0,0,11,150,1,64,0,0,0,0
,10062,1,1700,1800,0,0,11,145,1,60,0,0,0,0
,10063,1,1800,1801,0,0,11,160,1,75,0,0,0,0
,10064,1,1801,1802,0,0,11,155,1,70,0,0,0,0
,10065,1,1802,1803,0,0,11,150,1,66,0,0,0,0
,10066,1,1803,1805,0,0,11,145,1,62,0,0,0,0
,10067,1,1805,1810,0,0,11,145,1,58,0,0,0,0
,10068,1,1810,1820,0,0,11,140,1,54,0,0,0,0
