,required,optional
,uint32,string
,id,word
备注,id,敏感字
,1,毛_泽_东
,2,周_恩_来
,3,刘_少_奇
,4,朱_德
,5,彭_德_怀
,6,林_彪
,7,刘_伯_承
,8,陈_毅
,9,贺_龙
,10,聂_荣_臻
,11,徐_向_前
,12,罗_荣_桓
,13,叶_剑_英
,14,李_大_钊
,15,陈_独_秀
,16,孙_中_山
,17,孙_文
,18,孙_逸_仙
,19,邓_小_平
,20,陈_云
,21,江_泽_民
,22,李_鹏
,23,朱_镕_基
,24,李_瑞_环
,25,尉_健_行
,26,李_岚_清
,27,胡_锦_涛
,28,罗_干
,29,温_家_宝
,30,吴_邦_国
,31,曾_庆_红
,32,贾_庆_林
,33,黄_菊
,34,吴_官_正
,35,李_长_春
,36,吴_仪
,37,回_良_玉
,38,曾_培_炎
,39,周_永_康
,40,曹_刚_川
,41,唐_家_璇
,42,华_建_敏
,43,陈_至_立
,44,陈_良_宇
,45,张_德_江
,46,张_立_昌
,47,俞_正_声
,48,王_乐_泉
,49,刘_云_山
,50,王_刚
,51,王_兆_国
,52,刘_淇
,53,贺_国_强
,54,郭_伯_雄
,55,胡_耀_邦
,56,王_乐_泉
,57,王_兆_国
,58,周_永_康
,59,李_登_辉
,60,连_战
,61,陈_水_扁
,62,宋_楚_瑜
,63,吕_秀_莲
,64,郁_慕_明
,65,蒋_介_石
,66,蒋_中_正
,67,蒋_经_国
,68,马_英_九
,69,习_近_平
,70,李_克_强
,71,杨_尚_昆
,72,王_光_美
,73,郭_振_家
,74,李_闽_榕
,75,蒋_达_德
,76,陈_忠_财
,77,樊_金_源
,78,赵_文_淦
,79,张_国_栋
,80,石_宗_源
,81,于_永_湛
,82,桂_晓_风
,83,杨_牧_之
,84,任_泽_民_ 
,85,沈_仁_干
,86,石_峰
,87,吴_帮_国
,88,无_帮_国
,89,无_邦_国
,90,无_帮_过
,91,瘟_家_宝
,92,假_庆_林
,93,甲_庆_林
,94,假_青_林
,95,离_长_春
,96,习_远_平
,97,袭_近_平
,98,李_磕_墙
,99,贺_过_墙
,100,和_锅_枪
,101,粥_永_康
,102,轴_永_康
,103,肘_永_康
,104,周_健_康
,105,粥_健_康
,106,周_小_康
,107,张_小_军
,108,张_晓_军
,109,薄_熙_来
,110,十_八_大
,111,十_九_大
,112,彭_丽_媛
,113,薄_谷_开_来
,114,薄_瓜_瓜
,115,杨_达_才
,116,李_德_金
,117,表_叔_厅_长
,118,毛_澤_東
,119,周_恩_來
,120,鄧_小_平
,121,彭_德_懷
,122,轉_法_輪
,123,吾_买_尔_?_卡_那_提
,124,习_仲_勋
,125,彭_丽_圆
,126,习_进_平
,127,栗_战_书
,128,汪_洋
,129,王_沪_宁
,130,赵_乐_际
,131,韩_正
,132,布_什
,133,布_莱_尔
,134,小_泉
,135,纯_一_郎
,136,萨_马_兰_奇
,137,安_南
,138,阿_拉_法_特
,139,普_京
,140,默_克_尔
,141,克_林_顿
,142,里_根
,143,尼_克_松
,144,林_肯
,145,杜_鲁_门
,146,赫_鲁_晓_夫
,147,列_宁
,148,斯_大_林
,149,马_克_思
,150,恩_格_斯
,151,金_正_日
,152,金_日_成
,153,萨_达_姆
,154,胡_志_明
,155,西_哈_努_克
,156,希_拉_克
,157,撒_切_尔
,158,阿_罗_约
,159,曼_德_拉
,160,卡_斯_特_罗
,161,富_兰_克_林
,162,华_盛_顿
,163,艾_森_豪_威_尔
,164,拿_破_仑
,165,亚_历_山_大
,166,路_易
,167,拉_姆_斯_菲_尔_德
,168,劳_拉
,169,鲍_威_尔
,170,奥_巴_马
,171,野_田_佳_彦
,172,玄_叶_光_一_郎
,173,石_原_慎_太_郎
,174,梅_德_韦_杰_夫
,175,金_正_恩
,176,金_三_胖
,177,本_拉_登
,178,奥_马_尔
,179,柴_玲
,180,达_赖_喇_嘛
,181,江_青
,182,张_春_桥
,183,姚_文_元
,184,王_洪_文
,185,东_条_英_机
,186,希_特_勒
,187,墨_索_里_尼
,188,冈_村_秀_树
,189,冈_村_宁_次
,190,高_丽_朴
,191,赵_紫_阳
,192,王_丹
,193,沃_尔_开_西
,194,李_洪_志
,195,李_大_师
,196,赖_昌_星
,197,马_加_爵
,198,班_禅
,199,额_尔_德_尼
,200,山_本_五_十_六
,201,阿_扁
,202,阿_扁_万_岁
,203,热_那_亚
,204,花_革_命
,205,茉_莉_花
,206,牡_丹_花
,207,两_会
,208,中_国_茉_莉_花_革_命
,209,中_国_茉_莉_花_运_动
,210,M_L_花_革_命
,211,M_L_花_运_动
,212,M_L_花
,213,梅_花_革_命
,214,牡_丹_花_革_命
,215,葵_花_子_政_变
,216,二_十_日
,217,广_场
,218,东_突_厥_斯_坦
,219,1_9_8_9_年_6_月_4_日
,220,毛_主_席
,221,3_P
,222,处_女
,223,奸_杀
,224,K_粉
,225,任_弼_时
,226,房_事
,227,3_P
,228,新_闻_出_版_总_署
,229,六_四_事_件
,230,陆_肆_事_件
,231,全_国_人_大
,232,全_国_政_协
,233,马_列_主_义
,234,三_个_代_表
,235,十_八_届_一_中_全_会
,236,三_中_全_会
,237,国_家_新_闻_出_版_广_电_总_局
,238,魔_门_教
,239,科_学_发_展_观
,240,修_宪
,241,改_宪
,242,世_袭
,243,六_四
,244,六_四_运_动
,245,美_国_之_音
,246,密_宗
,247,民_国
,248,民_进_党
,249,民_运
,250,民_主
,251,民_主_潮
,252,摩_门_教
,253,纳_粹
,254,南_华_早_报
,255,南_蛮
,256,明_慧_网
,257,起_义
,258,亲_民_党
,259,瘸_腿_帮
,260,人_民_报
,261,法_轮_功
,262,法_轮_大_法
,263,打_倒_共_产_党
,264,台_独_万_岁
,265,圣_战
,266,示_威
,267,台_独
,268,台_独_分_子
,269,台_联
,270,台_湾_民_国
,271,台_湾_岛_国
,272,台_湾_国
,273,台_湾_独_立
,274,太_子_党
,275,天_安_门_事_件
,276,屠_杀
,277,小_泉
,278,新_党
,279,新_疆_独_立
,280,新_疆_分_裂
,281,新_疆_国
,282,疆_独
,283,西_藏_独_立
,284,西_藏_分_裂
,285,西_藏_国
,286,藏_独
,287,藏_青_会
,288,藏_妇_会
,289,学_潮
,290,学_运
,291,一_党_专_政
,292,一_中_一_台
,293,两_个_中_国
,294,一_贯_道
,295,游_行
,296,圆_满
,297,造_反
,298,真_善_忍
,299,镇_压
,300,政_变
,301,政_治
,302,政_治_反_对_派
,303,政_治_犯
,304,中_共
,305,共_产_党
,306,党_中_央
,307,反_党
,308,反_共
,309,政_府
,310,民_主_党
,311,中_国_之_春
,312,转_法_轮
,313,自_焚
,314,共_党
,315,共_匪
,316,苏_家_屯
,317,基_地_组_织
,318,塔_利_班
,319,东_亚_病_夫
,320,支_那
,321,高_治_联
,322,高_自_联
,323,专_政
,324,专_制
,325,陆_肆_事_件
,326,九_评
,327,g_o_n_g_c_h_a_n_d_a_n_g
,328,一_党_独_裁
,329,核_工_业_基_地
,330,核_武_器
,331,铀
,332,原_子_弹
,333,氢_弹
,334,导_弹
,335,核_潜_艇
,336,大_参_考
,337,小_参_考
,338,国_内_动_态_清_样
,339,内_蒙_古_抗_议
,340,内_蒙_古_5_1_1_事_件
,341,内_蒙_古_锡_林_郭_勒_盟
,342,钓_鱼_岛
,343,钓_鱼_岛_争_端
,344,钓_鱼_岛_国_有_化
,345,暴_力_爱_国
,346,购_买_钓_鱼_岛
,347,一_边_一_国
,348,两_国_论
,349,皇_军
,350,共_荣_圈
,351,尖_阁_列_岛
,352,西_藏_7_5_事_件
,353,斯_巴_达
