,required,required,repeated,repeated,required,required,required,required
,uint32,uint32,uint32,uint32,string,string,string,string
,id,boss_id,status1,status2,site1,site2,site3,site4
备注,副本id,怪物id,特性组1, 特性组2,小怪3个坐标,小怪3个坐标,小怪3个坐标,小怪3个坐标
,3096,200463,1011;1021,1031;1041,"5.98,-7.94,-14.682;0.94,-7.94,-12.69;3.69,-7.94,-17.65","15.86,-7.79,-5.59;13.98,-7.94,0.17;18.96,-7.94,-2.703","-10.168,-4.295,3.95;-14.619,-4.52,3.46;-11.455,-4.52,-0.125","-2.828,-4.429,13.016;-2.066,-4.52,15.215;1.115,-4.52,11.143"
,3097,200468,1301,1121,"-34.24,0.096,26.29;-38,0.096,28.24;-38.19,0.096,24.03","-27.37,0.096,31.45;-27.15,0.096,35.72;-31.18,0.096,33.51",,
,3098,200488,1111,1121,"-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44",,
,3099,200493,1111,1121,"2.06,0.07,13.59;1.90,0.07,8.58;-2.31,0.07,11.35","-3.18,0.07,-3.56;0.70,0.07,-5.00;-2.78,0.07,-7.89",,
,3101,200503,1011;1021,1031;1041,"-12.22,0.096,9.03;-15.88,0.096,11.2;-15.92,0.096,6.63","-10.14,0.096,12;-6.15,0.096,14.18;-10.21,0.096,16.38","-34.24,0.096,26.29;-38,0.096,28.24;-38.19,0.096,24.03","-27.37,0.096,31.45;-27.15,0.096,35.72;-31.18,0.096,33.51"
,3102,200504,1011;1021,1031;1041,"22.46,1.64,-15.49;26.95,1.64,-18.06;26.64,1.64,-13.28","15.24,1.64,-21.82;19.40,1.64,-24.35;15.78,1.64,-26.79","2.06,0.07,13.59;1.90,0.07,8.58;-2.31,0.07,11.35","-3.18,0.07,-3.56;0.70,0.07,-5.00;-2.78,0.07,-7.89"
,3103,200513,1011;1021,1031;1041,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3104,200523,1011;1021,1031;1041,"22.46,1.64,-15.49;26.95,1.64,-18.06;26.64,1.64,-13.28","15.24,1.64,-21.82;19.40,1.64,-24.35;15.78,1.64,-26.79","2.06,0.07,13.59;1.90,0.07,8.58;-2.31,0.07,11.35","-3.18,0.07,-3.56;0.70,0.07,-5.00;-2.78,0.07,-7.89"
,3105,200518,1011;1021,1041;1031,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3106,200528,1011;1021,1041;1031,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3107,200533,1011;1021,1031;1041,"-237.92,-21.17,1.08;-240.23,-21.17,4.81;-235.83,-21.17,4.89","-229.94,-21.17,0.98;-232.17,-21.17,4.84;-227.78,-21.17,4.8","-239.89,-21.14,44.6;-242.31,-21.14,48.36;-237.86,-21.14,48.29","-231.24,-21.14,44.49;-233.43,-21.14,48.31;-229.14,-21.14,48.44"
,3108,200538,1011;1021,1031;1041,"-12.22,0.096,9.03;-15.88,0.096,11.2;-15.92,0.096,6.63","-10.14,0.096,12;-6.15,0.096,14.18;-10.21,0.096,16.38","-34.24,0.096,26.29;-38,0.096,28.24;-38.19,0.096,24.03","-27.37,0.096,31.45;-27.15,0.096,35.72;-31.18,0.096,33.51"
,3109,200543,1011;1021,1031;1041,"-12.22,0.096,9.03;-15.88,0.096,11.2;-15.92,0.096,6.63","-10.14,0.096,12;-6.15,0.096,14.18;-10.21,0.096,16.38","-34.24,0.096,26.29;-38,0.096,28.24;-38.19,0.096,24.03","-27.37,0.096,31.45;-27.15,0.096,35.72;-31.18,0.096,33.51"
