,required,required,required
,uint32,uint32,uint32
,id,level,life
备注,,等级,血条值
,1,1,5000
,2,2,5500
,3,3,6000
,4,4,6500
,5,5,7000
,6,6,7500
,7,7,8000
,8,8,8500
,9,9,9000
,10,10,9500
,11,11,10000
,12,12,10500
,13,13,11000
,14,14,11500
,15,15,12000
,16,16,12500
,17,17,13000
,18,18,13500
,19,19,14000
,20,20,14500
,21,21,15000
,22,22,15500
,23,23,16000
,24,24,16500
,25,25,17000
,26,26,17500
,27,27,18000
,28,28,18500
,29,29,19000
,30,30,19500
,31,31,20000
,32,32,20500
,33,33,21000
,34,34,21500
,35,35,22000
,36,36,22500
,37,37,23000
,38,38,23500
,39,39,24000
,40,40,24500
,41,41,25000
,42,42,25500
,43,43,26000
,44,44,26500
,45,45,27000
,46,46,27500
,47,47,28000
,48,48,28500
,49,49,29000
,50,50,29500
,51,51,30000
,52,52,30500
,53,53,31000
,54,54,31500
,55,55,32000
,56,56,32500
,57,57,33000
,58,58,33500
,59,59,34000
,60,60,34500
,61,61,35000
,62,62,35500
,63,63,36000
,64,64,36500
,65,65,37000
,66,66,37500
,67,67,38000
,68,68,38500
,69,69,39000
,70,70,39500
,71,71,40000
,72,72,40500
,73,73,41000
,74,74,41500
,75,75,42000
,76,76,42500
,77,77,43000
,78,78,43500
,79,79,44000
,80,80,44500
,81,81,45000
,82,82,45500
,83,83,46000
,84,84,46500
,85,85,47000
,86,86,47500
,87,87,48000
,88,88,48500
,89,89,49000
,90,90,49500
,91,91,50000
,92,92,50500
,93,93,51000
,94,94,51500
,95,95,52000
,96,96,52500
,97,97,53000
,98,98,53500
,99,99,54000
,100,100,54500
