,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,pet_id,star,life_add,phy_atk_add,mgc_atk_add,phy_def_add,mgc_def_add,money,pet_num,material_id1,material_num1,material_id2,material_num2,material_id3,material_num3
"备注,",id,幻兽id,星级,生命加成万分比,物攻加成万分比,魔攻加成万分比,物防加成万分比,魔防加成万分比,所需金币,所需幻兽数量,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量
,1,4012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,4012,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,3,4012,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,4,4012,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,5,4012,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,6,4012,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,7,4012,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,8,4012,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,9,4022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,4022,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,11,4022,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,12,4022,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,13,4022,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,14,4022,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,15,4022,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,16,4022,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,17,4032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,18,4032,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,19,4032,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,20,4032,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,21,4032,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,22,4032,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,23,4032,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,24,4032,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,25,4042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,26,4042,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,27,4042,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,28,4042,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,29,4042,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,30,4042,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,31,4042,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,32,4042,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,33,4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,34,4052,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,35,4052,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,36,4052,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,37,4052,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,38,4052,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,39,4052,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,40,4052,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
