,required,required,required,required,required,required,required,required,required,repeated,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,string,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,sex,family,profession,quality,attr_id,skill_que,skill_loop_que,auto_battle,start_level,start_class,start_order,start_strengthen_level,start_star,attr_id_1,attr_id_2,exchange_item,exchange_num
备注,id,名字,性别,家族,职业类型,,属性ID,初始自动序列,循环自动序列,自动战斗技能优先级,初始等级,初始转职,初始装备品阶,初始装备强化,初始装备星级,公平竞技用的属性ID,半公平竞技用的属性ID,抽奖替换物品,抽奖替换数量
西蒙,101,西蒙,1,1,1,3,101,0;1,0;1,22;24;21;23,1,0,0,0,0,8000000,8000012,3011013,5
,112,米兰达,2,1,1,4,112,0;1,0;1,22;21;23;24,10,0,0,0,0,8000024,8000025,3011123,5
温丽,201,温丽,2,2,2,3,201,0;1,0;1,21;22;23;24,7,0,0,0,0,8000001,8000013,3012013,5
爱林娜,301,爱琳娜,2,3,1,3,301,0;1,0;1,21;22;23;24,8,0,0,0,0,8000002,8000014,3013013,5
泰雷,102,泰雷,1,1,1,3,102,0;1,0;1,23;21;22;24,10,0,0,0,0,8000003,8000015,3011023,5
爱琪,302,爱琪,2,3,2,3,302,0;1,0;1,24;22;21;23,10,0,0,0,0,8000004,8000016,3013023,5
兰奇,103,兰奇,1,1,1,4,103,0;1,0;1,22;21;23;24,10,0,0,0,0,8000005,8000017,3011033,5
木禅,104,木禅,1,1,1,3,104,0;1,0;1,21;22;23;24,10,0,0,0,0,8000006,8000018,3011044,5
檐鬼,106,檐鬼,1,1,1,3,106,0;1,0;1,21;22;23;24,10,0,0,0,0,8000007,8000019,3011064,5
葛莱蒂斯,105,葛莱蒂斯,2,1,2,3,105,0;1,0;1,24;23;22;21,10,0,0,0,0,8000008,8000020,3011054,5
夜崎隐,107,夜崎隐,1,1,1,4,107,0;1,0;1,24;21;22;23,10,0,0,0,0,8000009,8000021,3011074,5
阿德琳,108,阿德琳,2,1,2,3,108,0;1,0;1,21;22;23;24,10,0,0,0,0,8000010,8000022,3011084,5
乔伊,401,乔伊,1,1,2,4,401,0;1,0;1,21;22;23;24,10,0,0,0,0,8000011,8000023,3014014,5
