,required,required,optional
,int32,int32,int32
,id,pet_level,need_pet_exp
"备注,",id,幻兽等级,升至下一级所需经验
,1,1,1000
,2,2,1050
,3,3,1100
,4,4,1180
,5,5,1340
,6,6,1500
,7,7,1900
,8,8,2160
,9,9,2640
,10,10,3120
,11,11,3600
,12,12,4070
,13,13,4790
,14,14,5660
,15,15,6540
,16,16,7310
,17,17,8370
,18,18,9590
,19,19,10900
,20,20,12500
,21,21,14200
,22,22,16200
,23,23,18400
,24,24,20900
,25,25,23700
,26,26,26900
,27,27,30400
,28,28,34300
,29,29,38700
,30,30,43600
,31,31,49100
,32,32,55200
,33,33,62000
,34,34,69600
,35,35,78100
,36,36,87500
,37,37,97900
,38,38,109000
,39,39,122000
,40,40,136000
,41,41,152000
,42,42,170000
,43,43,189000
,44,44,210000
,45,45,234000
,46,46,261000
,47,47,290000
,48,48,322000
,49,49,357000
,50,50,397000
,51,51,440000
,52,52,488000
,53,53,541000
,54,54,599000
,55,55,663000
,56,56,734000
,57,57,812000
,58,58,898000
,59,59,992000
,60,60,1090000
,61,61,1210000
,62,62,1330000
,63,63,1470000
,64,64,1620000
,65,65,1790000
,66,66,1980000
,67,67,2180000
,68,68,2400000
,69,69,2650000
,70,70,2920000
,71,71,3210000
,72,72,3530000
,73,73,3890000
,74,74,4280000
,75,75,4710000
,76,76,5180000
,77,77,5700000
,78,78,6260000
,79,79,6880000
,80,80,0
