,required,required
,uint32,string
,id,iconPath
备注,流水号,图标路径
受到的伤害大幅降低,1601,Textures/Atlas/Dyn/SpecialEffectRes/StoneSkin.png
伤害大幅提升,1602,Textures/Atlas/Dyn/SpecialEffectRes/Crazyattack.png
基于对战英雄，物理或魔法的伤害减免提升,1603,Textures/Atlas/Dyn/SpecialEffectRes/Adaptiveshield.png
在场上时，敌方无法使用辅助技,1604,Textures/Atlas/Dyn/SpecialEffectRes/Auxiliaryseal.png
在场上时，敌方无法进行援护,1605,Textures/Atlas/Dyn/SpecialEffectRes/Sealprotection.png
敌方使用奥义技后，提升自身攻防,1606,Textures/Atlas/Dyn/SpecialEffectRes/Passionate.png
敌方进行援护后，提升自身攻防,1607,Textures/Atlas/Dyn/SpecialEffectRes/Braveandangry.png
治疗技能可复活队友，并恢复一定生命值,1608,Textures/Atlas/Dyn/SpecialEffectRes/Poetryofspirit.png
攻击时，有几率复活队友并恢复一定生命值,1609,Textures/Atlas/Dyn/SpecialEffectRes/Poemofsoul.png
生命值低于30%时，任意技能可恢复一半生命值,1610,Textures/Atlas/Dyn/SpecialEffectRes/regenerate.png
防御大幅提升,1611,Textures/Atlas/Dyn/SpecialEffectRes/Immobility.png
反弹2倍伤害,1612,Textures/Atlas/Dyn/SpecialEffectRes/Rejection.png
所有技能均为群体攻击,1613,Textures/Atlas/Dyn/SpecialEffectRes/bombardment.png
攻击后，可大幅减免受到的伤害,1614,Textures/Atlas/Dyn/SpecialEffectRes/Blessing.png
攻击后，可抵消绝大部分伤害,1615,Textures/Atlas/Dyn/SpecialEffectRes/Thousandwalls.png
成功闪避后，闪避率小幅提升,1616,Textures/Atlas/Dyn/SpecialEffectRes/Flash.png
技能暴击时，暴击率小幅提升,1617,Textures/Atlas/Dyn/SpecialEffectRes/Attack.png
敌方奥义值越低，自身属性越高,1618,Textures/Atlas/Dyn/SpecialEffectRes/transduction.png
每次攻击有概率小幅提高敌方技能冷却时间,1619,Textures/Atlas/Dyn/SpecialEffectRes/Hysteresis.png
攻击时可消除双方状态并恢复生命值,1620,Textures/Atlas/Dyn/SpecialEffectRes/yinjierosion.png
敌方奥义值的回复速度大幅降低,1621,Textures/Atlas/Dyn/SpecialEffectRes/retention.png
免疫群体技能伤害,1622,Textures/Atlas/Dyn/SpecialEffectRes/Sputteringshield.png
免疫反弹伤害,1623,Textures/Atlas/Dyn/SpecialEffectRes/Antishield.png
战斗开始时，伤害减免大幅提升,1624,Textures/Atlas/Dyn/SpecialEffectRes/Originalblessing.png
受到攻击时，有几率反弹数倍伤害,1625,Textures/Atlas/Dyn/SpecialEffectRes/Bite.png
攻击时，有几率使敌方无法行动与进行援护,1626,Textures/Atlas/Dyn/SpecialEffectRes/Vertigocurse.png
击败敌方后，复活队友并恢复一定生命值,1627,Textures/Atlas/Dyn/SpecialEffectRes/WarHuntBereborn.png
击败敌方后，恢复所有队友一定生命值,1628,Textures/Atlas/Dyn/SpecialEffectRes/WarHuntHealing.png
击败敌方后，提升自身攻击力与防御力,1629,Textures/Atlas/Dyn/SpecialEffectRes/WarHuntStrengthen.png
击败敌方后，使敌方奥义值清空,1630,Textures/Atlas/Dyn/SpecialEffectRes/WarHuntdraw.png
造成伤害后，基于伤害回复自身生命值,1631,Textures/Atlas/Dyn/SpecialEffectRes/absorb.png
攻击时有几率对敌方施加腐化状态，持续损失生命值,1632,Textures/Atlas/Dyn/SpecialEffectRes/corrupt.png
攻击时有几率对敌方施加裂伤状态，持续损失生命值,1633,Textures/Atlas/Dyn/SpecialEffectRes/Laceration.png
攻击时，有几率大幅降低敌方攻击力,1634,Textures/Atlas/Dyn/SpecialEffectRes/debilitate.png
受到攻击时，有几率使受到的伤害由双方均摊,1635,Textures/Atlas/Dyn/SpecialEffectRes/fenzhuan.png
免疫负面状态,1636,Textures/Atlas/Dyn/SpecialEffectRes/barrier.png
受到伤害时，反弹等量伤害,1637,Textures/Atlas/Dyn/SpecialEffectRes/Injurytransfer.png
敌方生命值低于一半时，伤害大幅提升,1638,Textures/Atlas/Dyn/SpecialEffectRes/Execution.png
自身生命值越低，对敌方造成伤害越高,1639,Textures/Atlas/Dyn/SpecialEffectRes/Madness.png
基础暴击率小幅提升,1640,Textures/Atlas/Dyn/SpecialEffectRes/killoneself.png
基础闪避率小幅提升,1641,Textures/Atlas/Dyn/SpecialEffectRes/Windblinking.png
攻击时，有几率封印对方所有技能,1642,Textures/Atlas/Dyn/SpecialEffectRes/Sealcurse.png
攻防提高5%,10101,Textures/Atlas/Dyn/SpecialEffectRes/gaogongji.png
,10102,Textures/Atlas/Dyn/SpecialEffectRes/gaogongji.png
没有高级破甲时加破甲状态,10110,Textures/Atlas/Dyn/SpecialEffectRes/wulipingzhang.png
,10111,Textures/Atlas/Dyn/SpecialEffectRes/wulipingzhang.png
当有破甲状态时获得高级破甲并覆盖原来的破甲,10103,Textures/Atlas/Dyn/SpecialEffectRes/gaogongji.png
