,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,mask,monitor_id,money_id,money_num,times_limit
备注,红包id,红包类型,掩码位,监听id,奖励货币id,奖励货币数量,可领取人数
,1000,0,0,0,1,1000,20
,1001,0,0,0,1,500,15
,1002,0,0,0,1,300,10
,1003,0,0,0,1,200,10
,1004,0,0,0,1,200,10
,1005,0,0,0,1,200,10
,1006,0,0,0,1,200,10
,1007,0,0,0,1,200,10
,1008,0,0,0,1,200,10
,1009,0,0,0,1,200,10
,1010,0,0,0,1,500,20
,1011,0,0,0,1,350,15
,1012,0,0,0,1,250,10
,1013,0,0,0,1,400,20
,1014,0,0,0,1,300,15
,1015,0,0,0,1,200,10
,1016,0,0,0,1,1000,20
,1017,0,0,0,1,500,15
,1018,0,0,0,1,300,10
,1019,0,0,0,1,200,10
,1020,0,0,0,1,200,10
,1021,0,0,0,1,200,10
,1022,0,0,0,1,200,10
,1023,0,0,0,1,200,10
,1024,0,0,0,1,200,10
,1025,0,0,0,1,200,10
,1026,0,0,0,1,2000,20
,1027,0,0,0,1,1000,15
,1028,0,0,0,1,600,10
,1029,0,0,0,1,400,10
,1030,0,0,0,1,400,10
,1031,0,0,0,1,400,10
,1032,0,0,0,1,400,10
,1033,0,0,0,1,400,10
,1034,0,0,0,1,400,10
,1035,0,0,0,1,400,10
,1036,0,0,0,1,300,10
,1037,0,0,0,1,300,10
,1038,0,0,0,1,300,10
,1039,0,0,0,1,300,10
,1040,0,0,0,1,300,10
,1041,0,0,0,1,300,10
,1042,0,0,0,1,300,10
,1043,0,0,0,1,300,10
,1044,0,0,0,1,300,10
,1045,0,0,0,1,300,10
,1046,0,0,0,1,300,10
,1047,0,0,0,1,300,10
,1048,0,0,0,1,300,10
,1049,0,0,0,1,300,10
,1050,0,0,0,1,300,10
,1051,0,0,0,1,300,10
,1052,0,0,0,1,300,10
,1053,0,0,0,1,300,10
,1054,0,0,0,1,300,10
,1055,0,0,0,1,300,10
,1056,0,0,0,1,300,10
,1057,0,0,0,1,300,10
,1058,0,0,0,1,300,10
,1059,0,0,0,1,300,10
,1060,0,0,0,1,300,10
,1061,0,0,0,1,300,10
,1062,0,0,0,1,300,10
,1063,0,0,0,1,300,10
,1064,0,0,0,1,300,10
,1065,0,0,0,1,300,10
,1066,0,0,0,1,300,10
,1067,0,0,0,1,300,10
,1068,0,0,0,1,300,10
,1069,0,0,0,1,300,10
,1070,0,0,0,1,300,10
,1071,0,0,0,1,300,10
,1072,0,0,0,1,300,10
,1073,0,0,0,1,300,10
,1074,0,0,0,1,300,10
,1075,0,0,0,1,300,10
,1076,0,0,0,1,200,10
,1077,0,0,0,1,200,10
,1078,0,0,0,1,200,10
,1079,0,0,0,1,200,10
,1080,0,0,0,1,200,10
,1081,0,0,0,1,200,10
,1082,0,0,0,1,200,10
,1083,0,0,0,1,200,10
,1084,0,0,0,1,200,10
,1085,0,0,0,1,200,10
,1086,0,0,0,1,200,10
,1087,0,0,0,1,200,10
,1088,0,0,0,1,200,10
,1089,0,0,0,1,200,10
,1090,0,0,0,1,200,10
,1091,0,0,0,1,200,10
,1092,0,0,0,1,200,10
,1093,0,0,0,1,200,10
,1094,0,0,0,1,200,10
,1095,0,0,0,1,200,10
,1096,0,0,0,1,200,10
,1097,0,0,0,1,200,10
,1098,0,0,0,1,200,10
,1099,0,0,0,1,200,10
,1100,0,0,0,1,200,10
,1101,0,0,0,1,200,10
,1102,0,0,0,1,200,10
,1103,0,0,0,1,200,10
,1104,0,0,0,1,200,10
,1105,0,0,0,1,200,10
,1106,0,0,0,1,200,10
,1107,0,0,0,1,200,10
,1108,0,0,0,1,200,10
,1109,0,0,0,1,200,10
,1110,0,0,0,1,200,10
,1111,0,0,0,1,200,10
,1112,0,0,0,1,200,10
,1113,0,0,0,1,200,10
,1114,0,0,0,1,200,10
,1115,0,0,0,1,200,10
,1116,0,0,0,1,200,10
,1117,0,0,0,1,200,10
,1118,0,0,0,1,200,10
,1119,0,0,0,1,200,10
,1120,0,0,0,1,200,10
,1121,0,0,0,1,200,10
,1122,0,0,0,1,200,10
,1123,0,0,0,1,200,10
,1124,0,0,0,1,200,10
,1125,0,0,0,1,200,10
,1126,0,0,0,1,200,20
,1132,0,0,0,1,300,15
,1136,0,0,0,1,200,10
,1137,0,0,0,1,200,10
,1138,1,1,1530,1,500,20
,1139,1,2,1531,1,800,20
,1140,1,3,1532,1,1200,30
,1141,1,4,1533,1,2000,30
,1142,1,5,1534,1,500,20
,1143,1,6,1535,1,800,20
,1144,1,7,1536,1,1200,30
,1145,1,8,1537,1,2000,30
,1146,1,9,1538,1,500,20
,1147,1,10,1539,1,800,20
,1148,1,11,1540,1,1200,30
,1149,1,12,1541,1,2000,30
,1150,1,13,1542,1,500,20
,1151,1,14,1543,1,800,20
,1152,1,15,1544,1,1200,30
,1153,1,16,1545,1,2000,30
,1154,1,17,1546,1,500,20
,1155,1,18,1547,1,800,20
,1156,1,19,1548,1,1200,30
,1157,1,20,1549,1,2000,30
,1158,3,1,1575,1,100,10
,1159,3,2,1576,1,150,10
,1160,3,3,1577,1,300,15
,1161,3,4,1578,1,300,15
,1162,3,5,1579,1,500,20
,1163,3,6,1580,1,1000,30
,1164,3,7,1581,1,100,10
,1165,3,8,1582,1,150,10
,1166,3,9,1583,1,300,15
,1167,3,10,1584,1,300,15
,1168,3,11,1585,1,500,20
,1169,3,12,1586,1,1000,30
,1170,3,13,1587,1,100,10
,1171,3,14,1588,1,150,10
,1172,3,15,1589,1,300,15
,1173,3,16,1590,1,300,15
,1174,3,17,1591,1,500,20
,1175,3,18,1592,1,1000,30
,1176,3,19,1593,1,100,10
,1177,3,20,1594,1,150,10
,1178,3,21,1595,1,300,15
