,required,required,required,repeated
,uint32,uint32,uint32,uint32
,id,lookface,hint_vis,hint_skillId
备注,怪物ID,模型ID,0不可见1可,大招队列
,5000,5000,1,0
,5001,5001,1,0
,5002,5002,1,0
,5003,5003,1,0
,8000,8000,1,800003
愤怒,9000,9000,1,900004
尼格斯,9001,9001,1,900104
恶魔修帝,9002,9002,1,900204
蜘蛛女王,9003,9003,1,900304
普通盗贼,10001,10001,1,0
部落精英战士,10002,10002,1,0
草原游侠,10003,10003,1,0
部落战士,10004,10004,1,0
金钱哥布林,10005,10005,1,0
鹿角兽,10006,10006,1,0
草原哥布林,10007,10007,1,0
阿噗,10008,10008,1,0
宝箱怪,10009,10009,1,0
草原蝎子,10010,10010,1,0
工蜂,10011,10011,1,0
哈蒙,10012,10012,1,1001203
丧尸法师,10013,10013,1,1001303
山岭巨人,10014,10014,1,1001403
武装熊人战士,10015,10015,1,1001503
先驱者一号,10016,10016,1,1001603
小石头人,10017,10017,1,0
熊人战士,10018,10018,1,0
A型感染者,10019,10019,1,0
大鱼妖,10020,10020,1,1002003
黑色荆棘,10021,10021,1,1002103
绝世舞姬,10022,10022,1,1002203
狼人战士,10023,10023,1,0
鹿角兽队长,10024,10024,1,0
杀人蜂,10025,10025,1,0
武装狼人,10026,10026,1,0
蝎怪,10027,10027,1,1002703
鱼妖,10028,10028,1,0
大哥布林,10029,10029,1,1002903
白兰奇,10030,10030,1,1003003
贪婪,10031,10031,1,1003112
卫队长莱克,10032,10032,1,0
狂化阿噗,10033,10033,1,1003303
鹿角怪,10034,10034,1,0
萨米尔,10035,10035,1,1003504
四蹄神,10036,10036,1,1003604
默希娅,10037,10037,1,1003704
感染的冒险者,10038,10038,1,0
寄居熊,10039,10039,1,1003903
僵尸老婆,10040,10040,1,0
卡司族阿噗,10041,10041,1,0
枯叶蜂蜂王,10042,10042,1,0
枯叶工蜂,10043,10043,1,0
泪目狼人,10044,10044,1,0
受惊的僵尸,10045,10045,1,0
采矿工兵,10046,10046,1,0
小鱼龙,10047,10047,1,0
要塞守卫官,10048,10048,1,0
萤火熊,10049,10049,1,0
锤子团首领,10050,10050,1,0
森林猎手,10051,10051,1,0
沙漠巨人,10052,10052,1,1005203
神秘兽,10053,10053,1,0
荒原女巫,10054,10054,1,1005403
红甲虫,10055,10055,1,0
黑甲虫,10056,10056,1,0
,10058,10058,1,0
,11031,10031,1,1003112
西蒙,20101,101,1,10107
泰雷,20102,102,1,10207
兰奇,20103,103,1,10307
森慧,20104,104,1,10407
碧洛丝,20105,105,1,10507
檐鬼,20106,106,1,10607
该影,20107,107,1,10707
德鲁伊,20108,108,1,10807
温丽,20201,201,1,20107
爱林娜,20301,301,1,30107
爱琪,20302,302,1,30207
乔伊,20401,401,1,40107
,52001,52001,1,0
战魂之殇,52002,52002,1,0
嗜血战魂,52003,52003,1,0
蜘蛛使徒火,52004,52004,1,0
战魂之灵冰,52005,52005,1,0
战魂之灵暗,52006,52006,1,0
战魂之灵光,52007,52007,1,0
暗黑战魂,52008,52008,1,0
白袍法师,52009,52009,1,0
黑暗法师,52010,52010,1,5201003
白银盾战,52011,52011,1,5201103
,52012,52012,1,0
,52013,52013,1,0
,52014,52014,1,0
,52015,52015,1,0
,52016,52016,1,0
,52017,52017,1,0
海魔,52018,52018,1,1001203
机械男孩,52019,52019,1,0
黑龙战士,52020,52020,1,0
黄金首领,52021,52021,1,0
机械石像,52022,52022,1,900204
锡波,52023,52023,1,1001603
J博士,52024,52024,1,1001603
剧情用泰雷,701102,102,1,10207
剧情用兰奇,701103,103,1,10307
剧情用西蒙,702101,101,1,10107
剧情用温丽,702201,201,1,20107
剧情用爱琳娜,702301,301,1,30107
战斗教学3温丽,802201,201,0,20107
,805107,107,0,10707
战斗教学怪,806201,201,1,20107
,807301,301,1,30107
,812107,107,1,10707
,814102,102,1,10207
尸体,1000078,10019,1,0
尸体,1000079,10045,1,0
制杖丧尸,1000080,10013,1,1001303
尸体,1000081,10032,1,0
制杖丧尸,1000082,10013,1,1001303
制杖丧尸,1000083,10013,1,1001303
尸体,1000084,10019,1,0
制杖丧尸,1000085,10013,1,1001303
制杖丧尸,1000086,10013,1,1001303
制杖丧尸,1000087,10013,1,1001303
,1000091,10004,1,0
铁甲哥布林,1000092,10029,1,1002903
先驱者1号,1000093,10016,1,1001603
,1000094,10019,1,0
,1000095,10002,1,0
,1000096,10012,1,1001203
先驱者1号,1000097,10016,1,1001603
食人魔·哈蒙,1000098,10012,1,1001203
狐克斯,1000099,10008,1,0
,1000100,10045,1,0
草原蝎子,1000101,10010,1,0
,1000102,10048,1,0
战魂之灵火,1000103,52004,1,0
战魂之灵冰,1000104,52005,1,0
战魂之灵暗,1000105,52006,1,0
战魂之灵光,1000106,52007,1,0
赤瞳战狼,1000111,10023,1,0
狐侍卫,1000112,10008,1,0
碎魂狼王,1000113,10026,1,0
黑袍哥布林,1000114,10007,1,0
,1000115,10018,1,0
金钱哥布林,1000116,10005,1,0
山岩巨兽·塞恩,1000117,10014,1,1001403
深渊鱼王,1000118,10020,1,1002003
重装甲暴熊,1000119,10015,1,1001503
战魂之主,1000120,52008,1,0
左相府卫兵,1000121,52011,1,5201103
金钱哥布林,1000124,10005,1,0
,1000125,10005,1,0
泪目狼人,1000127,10044,1,0
鹿角兽,1000128,10034,1,0
巨刃鹿角兽,1000129,10034,1,0
食魂鹿角兽,1000130,10024,1,0
鹿角兽队长,1000131,10024,1,0
亡魂死徒,1000132,52001,8,0
亡魂死士,1000133,52002,8,0
