,required,optional,required,required,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,part,star,need_order,bonus_percentage,money,material_id1,material_num1,material_id2,material_num2,material_id3,material_num3,material_id4,material_num4
备注,ID,name,部位,星级,品阶需求,属性加成百分比,所需金币数量,材料1,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,材料4ID,材料4数量
,11,,1,1,0,2000,10000,2120013,1,0,0,0,0,0,0
,12,,1,2,0,4000,30000,2120013,5,0,0,0,0,0,0
,13,,1,3,2,6000,50000,2120013,10,0,0,0,0,0,0
,14,,1,4,3,8000,100000,2120013,20,0,0,0,0,0,0
,15,,1,5,4,10000,300000,2120013,20,2120014,2,0,0,0,0
,16,,1,6,5,12500,500000,2120013,20,2120014,8,0,0,0,0
,17,,1,7,6,15000,1000000,2120013,20,2120014,20,0,0,0,0
,21,,2,1,0,2000,10000,2120013,1,0,0,0,0,0,0
,22,,2,2,0,4000,30000,2120013,5,0,0,0,0,0,0
,23,,2,3,2,6000,50000,2120013,10,0,0,0,0,0,0
,24,,2,4,3,8000,100000,2120013,20,0,0,0,0,0,0
,25,,2,5,4,10000,300000,2120013,20,2120014,2,0,0,0,0
,26,,2,6,5,12500,500000,2120013,20,2120014,8,0,0,0,0
,27,,2,7,6,15000,1000000,2120013,20,2120014,20,0,0,0,0
,31,,3,1,0,2000,10000,2120013,1,0,0,0,0,0,0
,32,,3,2,0,4000,30000,2120013,5,0,0,0,0,0,0
,33,,3,3,2,6000,50000,2120013,10,0,0,0,0,0,0
,34,,3,4,3,8000,100000,2120013,20,0,0,0,0,0,0
,35,,3,5,4,10000,300000,2120013,20,2120014,2,0,0,0,0
,36,,3,6,5,12500,500000,2120013,20,2120014,8,0,0,0,0
,37,,3,7,6,15000,1000000,2120013,20,2120014,20,0,0,0,0
,41,,4,1,0,2000,10000,2120013,1,0,0,0,0,0,0
,42,,4,2,0,4000,30000,2120013,5,0,0,0,0,0,0
,43,,4,3,2,6000,50000,2120013,10,0,0,0,0,0,0
,44,,4,4,3,8000,100000,2120013,20,0,0,0,0,0,0
,45,,4,5,4,10000,300000,2120013,20,2120014,2,0,0,0,0
,46,,4,6,5,12500,500000,2120013,20,2120014,8,0,0,0,0
,47,,4,7,6,15000,1000000,2120013,20,2120014,20,0,0,0,0
,48,,1,0,0,0,0,0,0,0,0,0,0,0,0
,49,,2,0,0,0,0,0,0,0,0,0,0,0,0
,50,,3,0,0,0,0,0,0,0,0,0,0,0,0
,51,,4,0,0,0,0,0,0,0,0,0,0,0,0
