,required,required,required,optional
,int32,int32,int32,int32
,type,level,quality,data
"备注,",类型,等级,品质,数据
战队经验,5,1,1,200
战队经验,5,2,1,400
战队经验,5,3,1,600
战队经验,5,4,1,800
战队经验,5,5,1,1000
战队经验,5,6,1,1200
战队经验,5,7,1,1400
战队经验,5,8,1,1600
战队经验,5,9,1,1800
战队经验,5,10,1,2000
战队经验,5,11,1,2200
战队经验,5,12,1,2400
战队经验,5,13,1,2600
战队经验,5,14,1,2800
战队经验,5,15,1,3000
战队经验,5,16,1,3200
战队经验,5,17,1,3400
战队经验,5,18,1,3600
战队经验,5,19,1,3800
战队经验,5,20,1,4000
战队经验,5,21,1,4200
战队经验,5,22,1,4400
战队经验,5,23,1,4600
战队经验,5,24,1,4800
战队经验,5,25,1,5000
战队经验,5,26,1,5200
战队经验,5,27,1,5400
战队经验,5,28,1,5600
战队经验,5,29,1,5800
战队经验,5,30,1,6000
战队经验,5,31,1,6200
战队经验,5,32,1,6400
战队经验,5,33,1,6600
战队经验,5,34,1,6800
战队经验,5,35,1,7000
战队经验,5,36,1,7200
战队经验,5,37,1,7400
战队经验,5,38,1,7600
战队经验,5,39,1,7800
战队经验,5,40,1,8000
战队经验,5,41,1,8200
战队经验,5,42,1,8400
战队经验,5,43,1,8600
战队经验,5,44,1,8800
战队经验,5,45,1,9000
战队经验,5,46,1,9200
战队经验,5,47,1,9400
战队经验,5,48,1,9600
战队经验,5,49,1,9800
战队经验,5,50,1,10000
战队经验,5,51,1,10200
战队经验,5,52,1,10400
战队经验,5,53,1,10600
战队经验,5,54,1,10800
战队经验,5,55,1,11000
战队经验,5,56,1,11200
战队经验,5,57,1,11400
战队经验,5,58,1,11600
战队经验,5,59,1,11800
战队经验,5,60,1,12000
战队经验,5,61,1,12200
战队经验,5,62,1,12400
战队经验,5,63,1,12600
战队经验,5,64,1,12800
战队经验,5,65,1,13000
战队经验,5,66,1,13200
战队经验,5,67,1,13400
战队经验,5,68,1,13600
战队经验,5,69,1,13800
战队经验,5,70,1,14000
战队经验,5,71,1,14200
战队经验,5,72,1,14400
战队经验,5,73,1,14600
战队经验,5,74,1,14800
战队经验,5,75,1,15000
战队经验,5,76,1,15200
战队经验,5,77,1,15400
战队经验,5,78,1,15600
战队经验,5,79,1,15800
战队经验,5,80,1,16000
战队经验,5,81,1,16200
战队经验,5,82,1,16400
战队经验,5,83,1,16600
战队经验,5,84,1,16800
战队经验,5,85,1,17000
战队经验,5,86,1,17200
战队经验,5,87,1,17400
战队经验,5,88,1,17600
战队经验,5,89,1,17800
战队经验,5,90,1,18000
战队经验,5,91,1,18200
战队经验,5,92,1,18400
战队经验,5,93,1,18600
战队经验,5,94,1,18800
战队经验,5,95,1,19000
战队经验,5,96,1,19200
战队经验,5,97,1,19400
战队经验,5,98,1,19600
战队经验,5,99,1,19800
战队经验,5,100,1,20000
战队经验,5,1,2,200
战队经验,5,2,2,400
战队经验,5,3,2,600
战队经验,5,4,2,800
战队经验,5,5,2,1000
战队经验,5,6,2,1200
战队经验,5,7,2,1400
战队经验,5,8,2,1600
战队经验,5,9,2,1800
战队经验,5,10,2,2000
战队经验,5,11,2,2200
战队经验,5,12,2,2400
战队经验,5,13,2,2600
战队经验,5,14,2,2800
战队经验,5,15,2,3000
战队经验,5,16,2,3200
战队经验,5,17,2,3400
战队经验,5,18,2,3600
战队经验,5,19,2,3800
战队经验,5,20,2,4000
战队经验,5,21,2,4200
战队经验,5,22,2,4400
战队经验,5,23,2,4600
战队经验,5,24,2,4800
战队经验,5,25,2,5000
战队经验,5,26,2,5200
战队经验,5,27,2,5400
战队经验,5,28,2,5600
战队经验,5,29,2,5800
战队经验,5,30,2,6000
战队经验,5,31,2,6200
战队经验,5,32,2,6400
战队经验,5,33,2,6600
战队经验,5,34,2,6800
战队经验,5,35,2,7000
战队经验,5,36,2,7200
战队经验,5,37,2,7400
战队经验,5,38,2,7600
战队经验,5,39,2,7800
战队经验,5,40,2,8000
战队经验,5,41,2,8200
战队经验,5,42,2,8400
战队经验,5,43,2,8600
战队经验,5,44,2,8800
战队经验,5,45,2,9000
战队经验,5,46,2,9200
战队经验,5,47,2,9400
战队经验,5,48,2,9600
战队经验,5,49,2,9800
战队经验,5,50,2,10000
战队经验,5,51,2,10200
战队经验,5,52,2,10400
战队经验,5,53,2,10600
战队经验,5,54,2,10800
战队经验,5,55,2,11000
战队经验,5,56,2,11200
战队经验,5,57,2,11400
战队经验,5,58,2,11600
战队经验,5,59,2,11800
战队经验,5,60,2,12000
战队经验,5,61,2,12200
战队经验,5,62,2,12400
战队经验,5,63,2,12600
战队经验,5,64,2,12800
战队经验,5,65,2,13000
战队经验,5,66,2,13200
战队经验,5,67,2,13400
战队经验,5,68,2,13600
战队经验,5,69,2,13800
战队经验,5,70,2,14000
战队经验,5,71,2,14200
战队经验,5,72,2,14400
战队经验,5,73,2,14600
战队经验,5,74,2,14800
战队经验,5,75,2,15000
战队经验,5,76,2,15200
战队经验,5,77,2,15400
战队经验,5,78,2,15600
战队经验,5,79,2,15800
战队经验,5,80,2,16000
战队经验,5,81,2,16200
战队经验,5,82,2,16400
战队经验,5,83,2,16600
战队经验,5,84,2,16800
战队经验,5,85,2,17000
战队经验,5,86,2,17200
战队经验,5,87,2,17400
战队经验,5,88,2,17600
战队经验,5,89,2,17800
战队经验,5,90,2,18000
战队经验,5,91,2,18200
战队经验,5,92,2,18400
战队经验,5,93,2,18600
战队经验,5,94,2,18800
战队经验,5,95,2,19000
战队经验,5,96,2,19200
战队经验,5,97,2,19400
战队经验,5,98,2,19600
战队经验,5,99,2,19800
战队经验,5,100,2,20000
战队经验,5,1,3,200
战队经验,5,2,3,400
战队经验,5,3,3,600
战队经验,5,4,3,800
战队经验,5,5,3,1000
战队经验,5,6,3,1200
战队经验,5,7,3,1400
战队经验,5,8,3,1600
战队经验,5,9,3,1800
战队经验,5,10,3,2000
战队经验,5,11,3,2200
战队经验,5,12,3,2400
战队经验,5,13,3,2600
战队经验,5,14,3,2800
战队经验,5,15,3,3000
战队经验,5,16,3,3200
战队经验,5,17,3,3400
战队经验,5,18,3,3600
战队经验,5,19,3,3800
战队经验,5,20,3,4000
战队经验,5,21,3,4200
战队经验,5,22,3,4400
战队经验,5,23,3,4600
战队经验,5,24,3,4800
战队经验,5,25,3,5000
战队经验,5,26,3,5200
战队经验,5,27,3,5400
战队经验,5,28,3,5600
战队经验,5,29,3,5800
战队经验,5,30,3,6000
战队经验,5,31,3,6200
战队经验,5,32,3,6400
战队经验,5,33,3,6600
战队经验,5,34,3,6800
战队经验,5,35,3,7000
战队经验,5,36,3,7200
战队经验,5,37,3,7400
战队经验,5,38,3,7600
战队经验,5,39,3,7800
战队经验,5,40,3,8000
战队经验,5,41,3,8200
战队经验,5,42,3,8400
战队经验,5,43,3,8600
战队经验,5,44,3,8800
战队经验,5,45,3,9000
战队经验,5,46,3,9200
战队经验,5,47,3,9400
战队经验,5,48,3,9600
战队经验,5,49,3,9800
战队经验,5,50,3,10000
战队经验,5,51,3,10200
战队经验,5,52,3,10400
战队经验,5,53,3,10600
战队经验,5,54,3,10800
战队经验,5,55,3,11000
战队经验,5,56,3,11200
战队经验,5,57,3,11400
战队经验,5,58,3,11600
战队经验,5,59,3,11800
战队经验,5,60,3,12000
战队经验,5,61,3,12200
战队经验,5,62,3,12400
战队经验,5,63,3,12600
战队经验,5,64,3,12800
战队经验,5,65,3,13000
战队经验,5,66,3,13200
战队经验,5,67,3,13400
战队经验,5,68,3,13600
战队经验,5,69,3,13800
战队经验,5,70,3,14000
战队经验,5,71,3,14200
战队经验,5,72,3,14400
战队经验,5,73,3,14600
战队经验,5,74,3,14800
战队经验,5,75,3,15000
战队经验,5,76,3,15200
战队经验,5,77,3,15400
战队经验,5,78,3,15600
战队经验,5,79,3,15800
战队经验,5,80,3,16000
战队经验,5,81,3,16200
战队经验,5,82,3,16400
战队经验,5,83,3,16600
战队经验,5,84,3,16800
战队经验,5,85,3,17000
战队经验,5,86,3,17200
战队经验,5,87,3,17400
战队经验,5,88,3,17600
战队经验,5,89,3,17800
战队经验,5,90,3,18000
战队经验,5,91,3,18200
战队经验,5,92,3,18400
战队经验,5,93,3,18600
战队经验,5,94,3,18800
战队经验,5,95,3,19000
战队经验,5,96,3,19200
战队经验,5,97,3,19400
战队经验,5,98,3,19600
战队经验,5,99,3,19800
战队经验,5,100,3,20000
战队经验,5,1,4,200
战队经验,5,2,4,400
战队经验,5,3,4,600
战队经验,5,4,4,800
战队经验,5,5,4,1000
战队经验,5,6,4,1200
战队经验,5,7,4,1400
战队经验,5,8,4,1600
战队经验,5,9,4,1800
战队经验,5,10,4,2000
战队经验,5,11,4,2200
战队经验,5,12,4,2400
战队经验,5,13,4,2600
战队经验,5,14,4,2800
战队经验,5,15,4,3000
战队经验,5,16,4,3200
战队经验,5,17,4,3400
战队经验,5,18,4,3600
战队经验,5,19,4,3800
战队经验,5,20,4,4000
战队经验,5,21,4,4200
战队经验,5,22,4,4400
战队经验,5,23,4,4600
战队经验,5,24,4,4800
战队经验,5,25,4,5000
战队经验,5,26,4,5200
战队经验,5,27,4,5400
战队经验,5,28,4,5600
战队经验,5,29,4,5800
战队经验,5,30,4,6000
战队经验,5,31,4,6200
战队经验,5,32,4,6400
战队经验,5,33,4,6600
战队经验,5,34,4,6800
战队经验,5,35,4,7000
战队经验,5,36,4,7200
战队经验,5,37,4,7400
战队经验,5,38,4,7600
战队经验,5,39,4,7800
战队经验,5,40,4,8000
战队经验,5,41,4,8200
战队经验,5,42,4,8400
战队经验,5,43,4,8600
战队经验,5,44,4,8800
战队经验,5,45,4,9000
战队经验,5,46,4,9200
战队经验,5,47,4,9400
战队经验,5,48,4,9600
战队经验,5,49,4,9800
战队经验,5,50,4,10000
战队经验,5,51,4,10200
战队经验,5,52,4,10400
战队经验,5,53,4,10600
战队经验,5,54,4,10800
战队经验,5,55,4,11000
战队经验,5,56,4,11200
战队经验,5,57,4,11400
战队经验,5,58,4,11600
战队经验,5,59,4,11800
战队经验,5,60,4,12000
战队经验,5,61,4,12200
战队经验,5,62,4,12400
战队经验,5,63,4,12600
战队经验,5,64,4,12800
战队经验,5,65,4,13000
战队经验,5,66,4,13200
战队经验,5,67,4,13400
战队经验,5,68,4,13600
战队经验,5,69,4,13800
战队经验,5,70,4,14000
战队经验,5,71,4,14200
战队经验,5,72,4,14400
战队经验,5,73,4,14600
战队经验,5,74,4,14800
战队经验,5,75,4,15000
战队经验,5,76,4,15200
战队经验,5,77,4,15400
战队经验,5,78,4,15600
战队经验,5,79,4,15800
战队经验,5,80,4,16000
战队经验,5,81,4,16200
战队经验,5,82,4,16400
战队经验,5,83,4,16600
战队经验,5,84,4,16800
战队经验,5,85,4,17000
战队经验,5,86,4,17200
战队经验,5,87,4,17400
战队经验,5,88,4,17600
战队经验,5,89,4,17800
战队经验,5,90,4,18000
战队经验,5,91,4,18200
战队经验,5,92,4,18400
战队经验,5,93,4,18600
战队经验,5,94,4,18800
战队经验,5,95,4,19000
战队经验,5,96,4,19200
战队经验,5,97,4,19400
战队经验,5,98,4,19600
战队经验,5,99,4,19800
战队经验,5,100,4,20000
战队经验,5,1,5,200
战队经验,5,2,5,400
战队经验,5,3,5,600
战队经验,5,4,5,800
战队经验,5,5,5,1000
战队经验,5,6,5,1200
战队经验,5,7,5,1400
战队经验,5,8,5,1600
战队经验,5,9,5,1800
战队经验,5,10,5,2000
战队经验,5,11,5,2200
战队经验,5,12,5,2400
战队经验,5,13,5,2600
战队经验,5,14,5,2800
战队经验,5,15,5,3000
战队经验,5,16,5,3200
战队经验,5,17,5,3400
战队经验,5,18,5,3600
战队经验,5,19,5,3800
战队经验,5,20,5,4000
战队经验,5,21,5,4200
战队经验,5,22,5,4400
战队经验,5,23,5,4600
战队经验,5,24,5,4800
战队经验,5,25,5,5000
战队经验,5,26,5,5200
战队经验,5,27,5,5400
战队经验,5,28,5,5600
战队经验,5,29,5,5800
战队经验,5,30,5,6000
战队经验,5,31,5,6200
战队经验,5,32,5,6400
战队经验,5,33,5,6600
战队经验,5,34,5,6800
战队经验,5,35,5,7000
战队经验,5,36,5,7200
战队经验,5,37,5,7400
战队经验,5,38,5,7600
战队经验,5,39,5,7800
战队经验,5,40,5,8000
战队经验,5,41,5,8200
战队经验,5,42,5,8400
战队经验,5,43,5,8600
战队经验,5,44,5,8800
战队经验,5,45,5,9000
战队经验,5,46,5,9200
战队经验,5,47,5,9400
战队经验,5,48,5,9600
战队经验,5,49,5,9800
战队经验,5,50,5,10000
战队经验,5,51,5,10200
战队经验,5,52,5,10400
战队经验,5,53,5,10600
战队经验,5,54,5,10800
战队经验,5,55,5,11000
战队经验,5,56,5,11200
战队经验,5,57,5,11400
战队经验,5,58,5,11600
战队经验,5,59,5,11800
战队经验,5,60,5,12000
战队经验,5,61,5,12200
战队经验,5,62,5,12400
战队经验,5,63,5,12600
战队经验,5,64,5,12800
战队经验,5,65,5,13000
战队经验,5,66,5,13200
战队经验,5,67,5,13400
战队经验,5,68,5,13600
战队经验,5,69,5,13800
战队经验,5,70,5,14000
战队经验,5,71,5,14200
战队经验,5,72,5,14400
战队经验,5,73,5,14600
战队经验,5,74,5,14800
战队经验,5,75,5,15000
战队经验,5,76,5,15200
战队经验,5,77,5,15400
战队经验,5,78,5,15600
战队经验,5,79,5,15800
战队经验,5,80,5,16000
战队经验,5,81,5,16200
战队经验,5,82,5,16400
战队经验,5,83,5,16600
战队经验,5,84,5,16800
战队经验,5,85,5,17000
战队经验,5,86,5,17200
战队经验,5,87,5,17400
战队经验,5,88,5,17600
战队经验,5,89,5,17800
战队经验,5,90,5,18000
战队经验,5,91,5,18200
战队经验,5,92,5,18400
战队经验,5,93,5,18600
战队经验,5,94,5,18800
战队经验,5,95,5,19000
战队经验,5,96,5,19200
战队经验,5,97,5,19400
战队经验,5,98,5,19600
战队经验,5,99,5,19800
战队经验,5,100,5,20000
银币,3,1,1,6800
银币,3,2,1,6800
银币,3,3,1,6800
银币,3,4,1,6800
银币,3,5,1,6800
银币,3,6,1,6800
银币,3,7,1,6800
银币,3,8,1,6800
银币,3,9,1,6800
银币,3,10,1,6800
银币,3,11,1,6800
银币,3,12,1,6800
银币,3,13,1,6800
