,required,required,required,required
,uint32,uint32,string,string
,id,type,title,icon_path
备注,id,事件,标题,图标资源路径
全部课程,1,0,全部课程,Textures/Atlas/GUI/ActivityTodoPanel/icon-kecheng.png
寻宝之旅,2,1,寻宝之旅,Textures/Atlas/GUI/ActivityTodoPanel/icon-xunbao.png
角色训练,3,2,角色训练,Textures/Atlas/GUI/ActivityTodoPanel/icon-xiulian.png
激斗战域,4,3,激斗战域,Textures/Atlas/GUI/ActivityTodoPanel/icon-jidou.png
战队突破,5,4,战队突破,Textures/Atlas/GUI/ActivityTodoPanel/icon-zhandui.png
财富指南,6,5,财富指南,Textures/Atlas/GUI/ActivityTodoPanel/icon-huobi.png
