,required,repeated,repeated,repeated,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,npc_ids,text_ids,text_modes,show_time,wait_time
备注,对话id,地图刷新id序列组,文本id序列组,文本背景序列组,显示时长,等待时间
,1,1000017;1000019;1000017;1000019;1000017;1000019,300001;300002;300003;300004;300005;300006,,2,1
,2,1000017;1000019;1000017;1000019;1000017;1000019,300001;300002;300003;300004;300005;300006,,2,1
,3,1000017;1000019;1000017;1000019;1000017;1000019,300001;300002;300003;300004;300005;300006,,2,1
,1000,,10000,,5,5
,1001,,10001,,5,5
,1002,,10002,,5,5
,1003,,10003,,5,5
,1004,,10004,,5,5
,1005,,10005,,5,5
,1006,,10006,,5,5
,1007,,10007,,5,5
,1008,,10008,,5,5
,1009,,10009,,5,5
,1010,,10010,,5,5
,1011,,10011,,5,5
,1012,,10012,,5,5
,1013,,10013,,5,5
,1014,,10014,,5,5
,1015,,10015,,5,5
,1016,,10016,,5,5
,1017,,10017,,5,5
,1018,,10018,,5,5
,1019,,10019,,5,5
,1020,,10020,,5,5
,1021,,10021,,5,5
,1022,,10022,,5,5
,1023,,10023,,5,5
,1024,,10024,,5,5
,1025,,10025,,5,5
,1026,,10026,,5,5
,1027,,10027,,5,5
,1028,,10028,,5,5
,1029,,10029,,5,5
,1030,,10030,,5,5
,1031,,10031,,5,5
,1032,,10032,,5,5
,1033,,10033,,5,5
,1034,,10034,,5,5
,1035,,10035,,5,5
,1036,,10036,,5,5
,1037,,10037,,5,5
,1038,1000044;1000045,10038;10039,,5,5
,1039,1000044;1000045,10040;10041,,5,5
,1040,1000044;1000045,10042;10043,,5,5
,1041,1000044;1000045,10044;10045,,5,5
,1042,,10046,,5,5
,1043,,10047,,5,5
,1044,,10048,,5,5
,1045,,10049,,5,5
,1046,1000048;1000049,10050;10055,,5,5
,1047,1000048;1000049,10051;10056,,5,5
,1048,1000048;1000049,10052;10057,,5,5
,1049,1000048;1000049,10053;10058,,5,5
,1050,1000048;1000049,10054;10059,,5,5
,1051,,10060,,5,5
,1052,,10061,,5,5
,1053,,10062,,5,5
,1054,,10063,,5,5
,1055,1000053;1000096,10064;10065,,5,5
,1056,1000053;1000096,10066;10067,,5,5
,1057,1000053;1000096,10068;10069,,5,5
,1058,,10070,,5,5
,1059,,10071,,5,5
,1060,,10072,,5,5
,1061,,10074,,5,5
,1062,,10075,,5,5
,1063,,10076,,5,5
,1064,,10077,,5,5
,1065,,10078,,5,5
,1066,,10079,,5,5
,1067,1000120;1000121,10080;10081,,5,5
,1068,1000120;1000121,10082;10083,,5,5
,1069,1000120;1000121,10084;10085,,5,5
,1070,,10073,,5,5
,1071,,10086,,5,2
,1072,,10087,,5,5
,1073,,10088,,5,5
,1074,,10089,,5,5
,1075,,10090,,5,5
,1077,,10094,,5,5
,1078,,10095,,5,5
,1079,,10096,,5,5
,1080,,10097,,5,5
,1081,,10098,,99,0
,1082,,10099,,99,0
,1083,,10100;10101;10102,,5,5
,1086,,10103,,5,3
,1087,,10104,,5,5
,1088,,10105,,5,5
,1089,,10106,,5,5
,1090,,10107,,5,5
,1118,20040063;20040064,10135;10136,,3,3
,1119,20040063;20040064,10135;10136,,3,3
,1120,,10137,,5,5
,1121,,10138,,5,5
,1122,,10139,,5,5
,1131,1000193;1000194,10148;10149,,5,5
,1132,,10150,,5,5
,1133,1000044;1000045,10151;10152,,5,5
,1134,,10153,,5,5
