,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,string,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,pet_name,pet_type,start_life,growth_life,start_phy_atk,growth_phy_atk,start_mgc_atk,growth_mgc_atk,start_phy_def,growth_phy_def,start_mgc_def,growth_mgc_def,skill0_id,skill0_id2,skill0_id3,exclusive_hero,pet_money
"备注,",幻兽id,,幻兽类型,初始生命值,生命成长值,初始物攻值,物攻成长值,初始魔攻值,魔攻成长值,初始物防值,物防成长值,初始魔防值,魔防成长值,天赋技能id,天赋技能2id,天赋技能3id,专属英雄,拆解获得幻兽币
,4012,龙侍法夫纳,1,1440,432,37,11,37,11,45,13,45,13,4012,0,0,0,3
,4013,阿噗米修,1,3672,918,144,36,144,36,72,18,72,18,4013,0,0,0,10
,4014,神炎之瑟拉菲,3,5580,1116,180,36,330,66,72,14,120,24,4014,0,0,0,25
,4022,喵灵贝斯忒,1,1260,378,67,20,60,18,36,10,24,7,4022,0,0,0,3
,4023,傲兽贝希摩斯,1,3024,756,162,40,144,36,86,21,57,14,4023,0,0,0,10
,4024,炽天之基路伯,1,6120,1224,240,48,240,48,120,24,120,24,4024,0,0,0,25
,4032,守护灵罗慕,1,1710,513,45,13,45,13,27,8,27,8,4032,0,0,0,3
,4033,月影狩艾特妮丝,1,3672,918,144,36,144,36,72,18,72,18,4033,0,0,0,10
,4034,潜影之菲林斯,1,5040,1008,270,54,240,48,144,28,96,19,4034,0,0,0,25
,4042,重甲卫列奥尼达,1,1260,378,60,18,67,20,24,7,36,10,4042,0,0,0,3
,4043,星鳞姬露纱,1,4104,1026,108,27,108,27,64,16,64,16,4043,0,0,0,10
,4044,食梦之维尔斯,1,5760,1152,150,30,150,30,180,36,180,36,4044,0,0,0,25
,4052,九头蛇凯迪勒,2,1350,405,86,25,37,11,27,8,21,6,4052,0,0,0,3
,4053,虫姬阿拉克涅,2,3348,837,198,49,108,27,72,18,43,10,4053,0,0,0,10
,4054,霜龙乌诺拉托,1,6120,1224,240,48,240,48,120,24,120,24,4054,0,0,0,25
,4062,牧野仙星亚莉洛,3,1395,418,45,13,82,24,18,5,30,9,4062,0,0,0,3
,4063,雨妖奥西妮,3,3024,756,99,24,216,54,57,14,57,14,4063,0,0,0,10
,4064,炎龙斯蒂拉斯,2,5400,1080,345,69,150,30,108,21,84,16,4064,0,0,0,25
,4072,鬼灯杰克,2,1395,418,82,24,45,13,30,9,18,5,4072,0,0,0,3
,4073,魂响栖泽米那,2,3240,810,207,51,90,22,64,16,50,12,4073,0,0,0,10
,4074,秘法之泰恩,3,5580,1116,180,36,330,66,72,14,120,24,4074,0,0,0,25
,4082,黑穗爵士乔纳森,3,1260,378,41,12,90,27,24,7,24,7,4082,0,0,0,3
,4083,骨姬弥兹雅,3,3348,837,108,27,198,49,43,10,72,18,4083,0,0,0,10
,4084,圣盾之加兰德,2,5580,1116,330,66,180,36,120,24,72,14,4084,0,0,0,25
,4092,共鸣双子杰米尼,2,1260,378,90,27,41,12,24,7,24,7,4092,0,0,0,3
,4093,肃正王巴巴托斯,2,3024,756,216,54,99,24,57,14,57,14,4093,0,0,0,10
,4094,幻梦星斑尼,3,5040,1008,165,33,360,72,96,19,96,19,4094,0,0,0,25
,4102,星海骑莫赛罗斯,3,1350,405,37,11,86,25,21,6,27,8,4102,0,0,0,3
,4103,涅槃羽菲妮珂斯,3,3240,810,90,22,207,51,50,12,64,16,4103,0,0,0,10
,4104,蛇发之西丝娜,1,5760,1152,150,30,150,30,180,36,180,36,4104,0,0,0,25
,4112,跃动者伊希斯,1,1710,513,45,13,45,13,27,8,27,8,4112,0,0,0,3
,4113,砂瀑守拉美丝汀,2,3024,756,216,54,99,24,57,14,57,14,4113,0,0,0,10
,4114,苍月之塞勒涅,1,5040,1008,240,48,270,54,96,19,144,28,4114,0,0,0,25
,4123,烬灭之戈迪亚,3,3024,756,99,24,216,54,57,14,57,14,4123,0,0,0,10
,4124,寒霜之希瓦,1,5040,1008,270,54,240,48,144,28,96,19,4124,0,0,0,25
,4133,神目切尔纳,1,4104,1026,108,27,108,27,64,16,64,16,4133,0,0,0,10
,4134,晨晖之奥罗拉,1,5040,1008,240,48,270,54,96,19,144,28,4134,0,0,0,25
,4143,白翼骑希古纳斯,2,3024,756,216,54,99,24,57,14,57,14,4143,0,0,0,10
