,required,optional,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,hero_id,part,order,max_star,statistics_type1,statistics_num1,growth_num1,statistics_type2,statistics_num2,growth_num2,money,material_id1,material_num1
备注,id,name,英雄ID,部位,品阶,星级上限,属性类型1,属性数值1,强化成长值1,属性类型2,属性数值2,强化成长值2,所需金币数量,材料ID,材料数量
,101100,旭光之剑,101,1,0,3,2,150,37,0,0,0,0,0,0
,112100,旭光之剑,112,1,0,3,2,157,39,0,0,0,0,0,0
,112111,旭光之剑,112,1,1,3,2,210,47,0,0,0,10000,2130111,1
,112122,旭光之剑,112,1,2,3,2,262,59,0,0,0,30000,2130212,1
,112133,旭光之剑,112,1,3,4,2,367,78,0,0,0,100000,2130313,1
,112144,旭光之剑,112,1,4,5,2,525,98,0,0,0,300000,2130414,1
,112154,旭光之剑,112,1,5,6,2,735,126,0,0,0,500000,2130514,1
,112164,旭光之剑,112,1,6,7,2,1050,177,0,0,0,1000000,2130614,1
,112200,日轮之铠,112,2,0,3,1,1222,305,0,0,0,0,0,0
,112211,日轮之铠,112,2,1,3,1,1629,366,0,0,0,10000,2130121,1
,112222,日轮之铠,112,2,2,3,1,2037,458,0,0,0,30000,2130222,1
,112233,日轮之铠,112,2,3,4,1,2851,611,0,0,0,100000,2130323,1
,112244,日轮之铠,112,2,4,5,1,4074,763,0,0,0,300000,2130424,1
,112254,日轮之铠,112,2,5,6,1,5703,977,0,0,0,500000,2130524,1
,112264,日轮之铠,112,2,6,7,1,8148,1374,0,0,0,1000000,2130624,1
,112300,勇者之狮胫铠,112,3,0,3,1,261,65,4,54,13,0,0,0
,112311,勇者之狮胫铠,112,3,1,3,1,349,78,4,72,16,10000,2130131,1
,112322,勇者之狮胫铠,112,3,2,3,1,436,98,4,90,20,30000,2130232,1
,112333,勇者之狮胫铠,112,3,3,4,1,611,130,4,126,27,100000,2130333,1
,112344,勇者之狮胫铠,112,3,4,5,1,873,163,4,180,33,300000,2130434,1
,112354,勇者之狮胫铠,112,3,5,6,1,1222,209,4,252,43,500000,2130534,1
,112364,勇者之狮胫铠,112,3,6,7,1,1746,294,4,360,60,1000000,2130634,1
,112400,战龙之靴,112,4,0,3,1,261,65,5,60,15,0,0,0
,112411,战龙之靴,112,4,1,3,1,349,78,5,80,18,10000,2130141,1
,112422,战龙之靴,112,4,2,3,1,436,98,5,100,22,30000,2130242,1
