,required,optional,required,required,required,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,sort,amount_limit,flag,price,awardid,actionid
备注,物品id,名称,物品类型,叠加上限,物品flag,售出金币,奖励id,Action id
魔石,1,罗兰钻,0,0,2,1000,0,0
交易币,2,冒险币,0,0,2,100,0,0
金币,3,银币,0,0,2,1,0,0
英雄经验球经验,4,英雄经验,0,0,2,0,0,0
战队经验,5,战队经验,0,0,2,0,0,0
上阵英雄经验,6,出战经验,0,0,2,0,0,0
幻兽经验球经验,8,本命经验,0,0,2,0,0,0
竞技场币,11,竞技点数,0,0,2,0,0,0
军团币,12,公会贡献,0,0,2,0,0,0
,13,英雄纹章,0,0,2,0,0,0
,14,本命币,0,0,2,0,0,0
骑士币,15,骑士点数,0,0,2,0,0,0
梦境币,16,记忆碎片,0,0,2,0,0,0
,17,友情点,0,0,2,0,0,0
圣界来袭积分,18,圣界来袭积分,0,0,2,0,0,0
,101,粗木箱,0,0,2,0,0,0
,102,秘银箱,0,0,2,0,0,0
,103,炼金宝箱,0,0,2,0,0,0
军团令牌,100003,公会纹章,3,9999,2,0,0,0
英雄金币召唤券,120012,基础英雄速递券,3,9999,16,0,0,0
英雄钻石召唤券,120013,传说英雄速递券,3,9999,16,0,0,0
本命金币召唤券,120022,基础本命速递券,3,9999,16,0,0,0
本命钻石召唤券,120023,传说本命速递券,3,9999,16,0,0,0
白色银币卡,201000,初级银币卡,3,9999,10,2000,0,0
绿色银币卡,201001,中级银币卡,3,9999,10,10000,0,0
蓝色银币卡,201002,高级银币卡,3,9999,10,40000,0,0
紫色银币卡,201003,特级银币卡,3,9999,10,120000,0,0
橙色银币卡,201004,顶级银币卡,3,9999,10,350000,0,0
白色英雄经验卡,202000,初级英雄经验卡,3,9999,10,100,0,0
绿色英雄经验卡,202001,中级英雄经验卡,3,9999,10,300,0,0
蓝色英雄经验卡,202002,高级英雄经验卡,3,9999,10,1000,0,0
紫色英雄经验卡,202003,特级英雄经验卡,3,9999,10,3000,0,0
橙色英雄经验卡,202004,顶级英雄经验卡,3,9999,10,10000,0,0
白色本命经验卡,203000,初级本命经验卡,3,9999,10,100,0,0
绿色本命经验卡,203001,中级本命经验卡,3,9999,10,300,0,0
蓝色本命经验卡,203002,高级本命经验卡,3,9999,10,1000,0,0
紫色本命经验卡,203003,特级本命经验卡,3,9999,10,3000,0,0
橙色本命经验卡,203004,顶级本命经验卡,3,9999,10,10000,0,0
快速战斗券,210000,速战凭证,3,9999,2,1,0,0
,210010,考核重置券,3,9999,2,0,0,0
领主召唤券,210023,领主召唤券,3,9999,16,1,0,0
圣界领主召唤券,210024,圣界领主召唤券,3,9999,16,1,0,0
,210043,商城刷新券,3,9999,2,1,0,0
,210104,帝国特供体验卡,3,9999,16,0,0,0
,220003,探宝图鉴,3,9999,10,0,0,0
曜金钥匙,310010,曜金钥匙,3,9999,3,100,0,0
霜晶钥匙,310020,霜蓝钥匙,3,9999,3,100,0,0
联盟礼箱,410012,联盟礼箱,3,9999,10,0,0,0
霜风战箱,410021,木箱,3,9999,10,0,0,0
赤星战箱,410022,青铜箱,3,9999,10,0,0,0
银月战箱,410023,白银箱,3,9999,10,0,0,0
烈日战箱,410024,燃金宝箱,3,9999,10,0,0,0
,420013,星辉符文匣,3,9999,10,0,0,0
,420014,荣耀符文匣,3,9999,10,0,0,0
,421012,荧光本命匣,3,9999,10,0,0,0
,421013,流光本命匣,3,9999,10,0,0,0
,421014,极光本命匣,3,9999,10,0,0,0
,421024,本命之绊匣,3,9999,10,0,0,0
,430004,英雄进阶礼箱,3,9999,10,0,0,0
,431074,血芒礼箱,3,9999,10,0,0,0
,434014,暗龙礼箱,3,9999,10,0,0,0
,440944,星灵本命匣,3,9999,10,0,0,0
,441433,白翼骑本命匣,3,9999,10,0,0,0
,441533,狱戒犬本命匣,3,9999,10,0,0,0
,441844,魅惑女帝本命匣,3,9999,10,0,0,0
,442033,幻梦角本命匣,3,9999,10,0,0,0
,442144,永恒骑士本命匣,3,9999,10,0,0,0
,450013,限量新银礼箱,3,9999,10,0,0,0
