,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,string,string,string,string,uint32,string
,id,type,difficulty,commendce,extece,dif_pic,picture,boss_pic,name,level,rewardID
备注,表示序列号,活动副本子类型,难度,推荐战力,扫荡战力,副本难度的选择图标,副本插图,BOSS半身像,副本难度名称,开放等级,物品ID
,3056,1,2,48000,52000,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/icon_ordinary.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/green_bg.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/green_goldcoin_boss.png,普通,28,3;210023;220003
,3057,1,4,116000,116000,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/icon_nightmares.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/purple_bg.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/purple_goldcoin_boss.png,噩梦,45,3;210023;220003
,3058,1,3,72000,72000,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/icon_difficult.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/blue_bg.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/blue_goldcoin_boss.png,困难,36,3;210023;220003
,3059,2,3,90000,90000,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/icon_difficult.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/blue_bg.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/blue_exp_boss.png,困难,40,4;8;120013
,3060,1,1,30000,30000,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/icon_simple.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/white_bg.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/white_goldcoin_boss.png,简单,20,3;210023;220003
,3062,2,4,135000,135000,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/icon_nightmares.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/purple_bg.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/purple_exp_boss.png,噩梦,48,4;8;120013
,3063,3,4,164000,164000,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/icon_nightmares.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/purple_bg.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/purple_materia_boss.png,噩梦,52,2110003;210010;120023
,3064,2,1,32000,32000,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/icon_simple.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/white_bg.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/white_exp_boss.png,简单,21,4;8;120013
,3065,3,3,100000,100000,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/icon_difficult.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/blue_bg.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/blue_materia_boss.png,困难,42,2110002;210010;120023
,3066,2,2,53000,53000,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/icon_ordinary.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/green_bg.png,Textures/Atlas/GUI/DailyInstanceZonesGoldChallengePanel/green_exp_boss.png,普通,30,4;8;120013
