,required,optional,required,required,required,required,required,required,required,required,required,repeated,required,required,repeated,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,type_id,affect_faction,target_rule,duration,end_condition,end_data,trigger_interval,trigger_percent,ishelpful,override_id,max_superposition,clear,special_effects,parm1,parm2,parm3,attr_exp1,attr_class1,attr_value1,attr_exp2,attr_class2,attr_value2,attr_exp3,attr_class3,attr_value3
Mark,状态ID(状态来自skill.xlsx表技能状态 id规则为：技能id 后面再加2位数字),name,buff类型ID,作用阵营,状态目标,buff时间（毫秒）,结束条件0时间内有效1值消耗完2持续到本次出手完,结束参数值,触发间隔,状态触发概率,0:良性状态 1:不良状态,覆盖的类型,状态叠加的最大层数,能否清除,特殊效果,buff值,buff值2,buff值3,属性数值公式 0:Add加 1:Sub减 2:Mul乘 3:Div除 4:Set直接设 5:PercentAdd百分比加 6:PercentSub百分比减,属性类型,属性值,属性数值公式 0:Add加 1:Sub减 2:Mul乘 3:Div除 4:Set直接设 5:PercentAdd百分比加 6:PercentSub百分比减,属性类型,属性值,属性数值公式 0:Add加 1:Sub减 2:Mul乘 3:Div除 4:Set直接设 5:PercentAdd百分比加 6:PercentSub百分比减,属性类型,属性值
风沙堡变身Buff,1001,,10,1,0,0,0,0,0,10000,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
物理防御降低5%，持续10招。不可叠加。,100101,,1001,0,0,0,13,20,0,10000,1,,1,0,,0,0,0,6,4,500,0,0,0,0,0,0
下个技能伤害额外提升40%，持续1招。不可叠加。,100301,,1003,1,0,0,13,1,0,10000,0,,1,0,,0,0,0,0,31,4000,0,0,0,0,0,0
将敌方10%攻击力转化为自身的物理攻击力，上限为自身物理攻击力的20%，持续到本轮攻击结束。不可叠加。,101801,,1018,1,0,0,23,1,0,10000,0,0,1,0,,1000,2000,0,0,0,0,0,0,0,0,0,0
持续损失生命值，持续20招。不可叠加。,101901,,1019,0,0,0,13,20,0,10000,1,,1,0,,200,0,0,0,0,0,0,0,0,0,0,0
奥义值恢复量降低50%，持续5招。不可叠加。,102001,,1020,0,0,0,13,5,0,10000,1,1020,1,0,20138,0,0,0,0,0,0,0,0,0,0,0,0
攻击力降低5%，持续到本轮攻击结束。不可叠加。,102101,,1021,0,0,0,23,1,0,10000,1,1021,1,0,,0,0,0,6,2,500,6,3,500,0,0,0
格挡率提升20%，持续5招。不可叠加。,102201,,1022,1,0,0,13,5,0,10000,0,0,1,0,,0,0,0,0,16,2000,0,0,0,0,0,0
每次攻击恢复200点奥义值，持续到本轮攻击结束。不可叠加。,102301,,1023,1,0,0,23,0,0,10000,0,0,1,0,10233,0,0,0,0,16,2000,0,0,0,0,0,0
受治疗量降低100%，持续到对方攻击结束。不可叠加。,102401,,1024,0,0,0,23,1,0,10000,1,1024,1,0,10339,0,0,0,0,0,0,0,0,0,0,0,0
受治疗量降低100%，持续到对方攻击结束。不可叠加。,102402,,1024,0,0,0,23,1,0,3000,1,1024,1,0,10339,0,0,0,0,0,0,0,0,0,0,0,0
闪避率提升10%，永久持续。最多2层。,102501,,1025,1,0,0,0,0,0,10000,0,0,2,0,,0,0,0,0,12,1000,0,0,0,0,0,0
伤害提升10%，持续4招。不可叠加。,102601,,1026,1,0,0,13,4,0,10000,0,0,1,0,,0,0,0,0,31,1500,0,0,0,0,0,0
攻击力降低5%，永久持续。最多5层。,102701,,1027,0,0,0,0,0,0,10000,1,0,5,0,,0,0,0,6,2,500,6,3,500,0,0,0
魔法防御降低1点，,102801,,1028,0,0,0,0,0,0,10000,1,0,1,0,,0,0,0,1,5,1,0,0,0,0,0,0
