,required,required,required,required
,uint32,uint32,uint32,int32
,id,level,need_exp,lev_req
备注,ID,等级,升级经验,等级限制
,1,1,100,1
,2,2,150,2
,3,3,450,3
,4,4,450,4
,5,5,750,5
,6,6,1050,6
,7,7,1800,7
,8,8,2300,8
,9,9,3200,9
,10,10,4100,10
,11,11,5000,11
,12,12,5900,12
,13,13,7250,13
,14,14,8900,14
,15,15,10550,15
,16,16,12000,16
,17,17,14000,17
,18,18,16200,18
,19,19,18700,19
,20,20,21500,20
,21,21,24700,21
,22,22,28300,22
,23,23,32400,23
,24,24,37000,24
,25,25,42100,25
,26,26,47800,26
,27,27,54200,27
,28,28,61400,28
,29,29,69400,29
,30,30,78400,30
,31,31,88400,31
,32,32,99600,32
,33,33,112000,33
,34,34,125900,34
,35,35,141300,35
,36,36,158400,36
,37,37,177400,37
,38,38,198500,38
,39,39,222000,39
,40,40,248000,40
,41,41,276900,41
,42,42,308900,42
,43,43,344300,43
,44,44,383500,44
,45,45,426900,45
,46,46,474900,46
,47,47,528000,47
,48,48,586700,48
,49,49,651500,49
,50,50,723100,50
,51,51,802200,51
,52,52,889500,52
,53,53,985800,53
,54,54,1092000,54
,55,55,1209100,55
,56,56,1338200,56
,57,57,1480400,57
,58,58,1637100,58
,59,59,1809600,59
,60,60,1999600,60
,61,61,2208700,61
,62,62,2438800,62
,63,63,2691900,63
,64,64,2970300,64
,65,65,3276400,65
,66,66,3612900,66
,67,67,3982800,67
,68,68,4389200,68
,69,69,4835700,69
,70,70,5326100,70
,71,71,5864700,71
,72,72,6456000,72
,73,73,7105100,73
,74,74,7817500,74
,75,75,8599200,75
,76,76,9456800,76
,77,77,10397500,77
,78,78,11429200,78
,79,79,12560500,79
,80,80,0,80
