,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,map_id,name,fight,lookface,map_times,team_min,team_max,boss1_id,boss2_id,boss3_id,drop1_id,drop2_id,drop3_id,order
备注,副本id,注释,推荐战力,副本图片,进入次数上限类型,最少组队人数,最大组队人数,BOSSID,BOSSID,BOSSID,掉落ID,掉落ID,掉落ID,排序
(剧情),3021,玫瑰团驻地,12000,Textures/Atlas/Dyn/InstanceLogo/wolfcamp.png,1,0,0,0,0,0,3,1,2110001,0
(剧情),3022,沙海虫巢,48000,Textures/Atlas/Dyn/InstanceLogo/Cassnest.png,1,0,0,0,0,0,2110001,3010013,6003003,0
(剧情),3023,银母矿洞,65000,Textures/Atlas/Dyn/InstanceLogo/SilverMothermine.png,1,0,0,0,0,0,1,3,3010013,0
(剧情),3024,荒原古堡,43000,Textures/Atlas/Dyn/InstanceLogo/WitchCastle.png,1,0,0,0,0,0,1,2110001,2120013,0
(普通),3026,魔族之心,70000,Textures/Atlas/Dyn/InstanceLogo/heartmagicrace.png,1,0,0,0,0,0,0,0,0,0
(剧情),3027,风沙堡,55000,Textures/Atlas/Dyn/InstanceLogo/Legionhammers.png,1,0,0,0,0,0,1,3,3030013,0
(普通),3028,露西蒂尼之墓,55000,Textures/Atlas/Dyn/InstanceLogo/Lucycemetery.png,1,0,0,0,0,0,0,0,0,0
(普通),3029,玫瑰团驻地,45000,Textures/Atlas/Dyn/InstanceLogo/wolfcamp.png,1,0,0,0,0,0,0,0,0,0
(普通),3030,哥布林巢穴,50000,Textures/Atlas/Dyn/InstanceLogo/Goblincave.png,1,0,0,0,0,0,0,0,0,0
(剧情),3031,哥布林巢穴,25000,Textures/Atlas/Dyn/InstanceLogo/Goblincave.png,1,0,0,0,0,0,3,1,2120013,0
(剧情),3032,哀嚎神殿,30000,Textures/Atlas/Dyn/InstanceLogo/Layercopy.png,1,0,0,0,0,0,3,1,3040013,0
(剧情),3034,魔族之心,35000,Textures/Atlas/Dyn/InstanceLogo/heartmagicrace.png,1,0,0,0,0,0,4,120012,120013,0
(剧情),3035,露西蒂尼之墓,28000,Textures/Atlas/Dyn/InstanceLogo/Lucycemetery.png,1,0,0,0,0,0,8,120022,120023,0
(普通),3036,哀嚎神殿,98000,Textures/Atlas/Dyn/InstanceLogo/Layercopy.png,1,0,0,0,0,0,0,0,0,0
(普通),3038,饿狼巢穴,40000,Textures/Atlas/Dyn/InstanceLogo/Antlercave.png,1,0,0,0,0,0,0,0,0,0
(普通),3039,风沙堡,110000,Textures/Atlas/Dyn/InstanceLogo/Legionhammers.png,1,0,0,0,0,0,0,0,0,0
(普通),3040,沙海虫巢,110000,Textures/Atlas/Dyn/InstanceLogo/Cassnest.png,1,0,0,0,0,0,0,0,0,0
,3041,银母矿洞,130000,Textures/Atlas/Dyn/InstanceLogo/SilverMothermine.png,1,0,0,0,0,0,0,0,0,0
,3054,枭鹰邦域,120000,Textures/Atlas/Dyn/InstanceLogo/Treeheartcity.png,1,0,0,0,0,0,210000,210010,220003,0
,3055,枭鹰矿洞,110000,Textures/Atlas/Dyn/InstanceLogo/SilverMothermine.png,1,0,0,0,0,0,2110001,2110002,2120013,0
,3042,凋零之地,78000,Textures/Atlas/Dyn/InstanceLogo/Latenightgraveyard.png,1,0,0,0,0,0,3,4,8,0
,3043,荒原古堡,100000,Textures/Atlas/Dyn/InstanceLogo/WitchCastle.png,1,0,0,0,0,0,0,0,0,0
,3044,树心城,90000,Textures/Atlas/Dyn/InstanceLogo/Treeheartcity.png,1,0,0,0,0,0,2110001,2110002,2120013,0
(普通),3047,凋零之地,130000,Textures/Atlas/Dyn/InstanceLogo/Lucycemetery.png,1,0,0,0,0,0,0,0,0,0
（普通）,3048,树心城,45000,Textures/Atlas/Dyn/InstanceLogo/AreaBG.png,1,0,0,0,0,0,3,3,3,0
,3051,卡诺萨战争,36000,Textures/Atlas/Dyn/InstanceLogo/VillageCopyBG02.png,5,2,3,1000314,0,0,2130111,2130212,2130313,1
,3061,魔族之心,65000,Textures/Atlas/Dyn/InstanceLogo/heartmagicrace.png,5,2,3,1000140,0,0,2130212,2130313,2130414,2
(剧情),3011,饿狼巢穴,9000,Textures/Atlas/Dyn/InstanceLogo/Antlercave.png,1,0,0,0,0,0,3,1,2110001,0
,3071,神迹实验室,130000,Textures/Atlas/Dyn/InstanceLogo/Laboratory.png,1,0,0,0,0,0,3060030,210023,210010,0
,3065,材料副本,100000,Textures/Atlas/Dyn/InstanceLogo/Cassnest.png,1,0,0,0,0,0,0,0,0,0
