,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,boss_id,order_level,item1_id,item2_id,item3_id
备注,ID,boss_id,"品质0绿,1蓝,2紫,3橙",掉落id,掉落id,掉落id
,1,800000,0,410021,0,0
,2,800001,1,410021,410022,0
,3,800002,2,410022,410023,0
,4,800003,3,410023,410024,0
,5,800004,0,410021,0,0
,6,800005,1,410021,410022,0
,7,800006,2,410022,410023,0
,8,800007,3,410023,410024,0
,9,800008,0,410021,0,0
,10,800009,1,410021,410022,0
,11,800010,2,410022,410023,0
,12,800011,3,410023,410024,0
,13,800012,0,410021,0,0
,14,800013,1,410021,410022,0
,15,800014,2,410022,410023,0
,16,800015,3,410023,410024,0
,17,800016,0,410021,0,0
,18,800017,1,410021,410022,0
,19,800018,2,410022,410023,0
,20,800019,3,410023,410024,0
,21,800020,0,410021,0,0
,22,800021,1,410021,410022,0
,23,800022,2,410022,410023,0
,24,800023,3,410023,410024,0
,25,800024,0,410021,0,0
,26,800025,1,410021,410022,0
,27,800026,2,410022,410023,0
,28,800027,3,410023,410024,0
,29,800028,0,410021,0,0
,30,800029,1,410021,410022,0
,31,800030,2,410022,410023,0
,32,800079,3,410023,410024,0
