,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,star1,star_bonuses1,star2,star_bonuses2,star3,star_bonuses3
备注,章节ID,星级数量,奖励ID,星级数量,奖励ID,星级数量,奖励ID
,1,7,7000762,14,7000763,21,7000764
,2,7,7000765,14,7000766,21,7000767
,3,7,7000768,14,7000769,21,7000770
,4,7,7000771,14,7000772,21,7000773
,5,7,7000774,14,7000775,21,7000776
,6,7,7000777,14,7000778,21,7000779
,7,7,7000780,14,7000781,21,7000782
,8,7,7000783,14,7000784,21,7000785
,9,7,7000786,14,7000787,21,7000788
,10,7,7000789,14,7000790,21,7000791
,11,7,7000792,14,7000793,21,7000794
,12,7,7000795,14,7000796,21,7000797
