,required,optional,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,int32,int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,part,strengthen_level,limit_hero_level,money,material_id1,material_num1,material_id2,material_num2,material_id3,material_num3,material_id4,material_num4,success_rate,add_success_rate,max_success_rate,return_level,clear,max_times
备注,id,name,部位,强化等级,限制英雄等级,所需金币数量,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,材料4ID,材料4数量,强化成功率,失败增加成功率,封顶成功率,失败返回等级,是否清零失败次数,封顶失败次数
,1,,1,1,1,100,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,2,,1,2,2,200,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,3,,1,3,3,300,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,4,,1,4,4,400,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,5,,1,5,5,500,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,6,,1,6,6,600,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,7,,1,7,7,700,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,8,,1,8,8,800,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,9,,1,9,9,900,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,10,,1,10,10,1000,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,11,,1,11,11,1200,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,12,,1,12,12,1400,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,13,,1,13,13,1600,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,14,,1,14,14,1800,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,15,,1,15,15,2000,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,16,,1,16,16,2200,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,17,,1,17,17,2400,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,18,,1,18,18,2600,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,19,,1,19,19,2800,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,20,,1,20,20,3000,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,21,,1,21,21,3300,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,22,,1,22,22,3600,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,23,,1,23,23,3900,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,24,,1,24,24,4200,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,25,,1,25,25,4500,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,26,,1,26,26,4800,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,27,,1,27,27,5100,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,28,,1,28,28,5400,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,29,,1,29,29,5700,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,30,,1,30,30,6000,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,31,,1,31,31,6500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,32,,1,32,32,7000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,33,,1,33,33,7500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,34,,1,34,34,8000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,35,,1,35,35,8500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,36,,1,36,36,9000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,37,,1,37,37,9500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,38,,1,38,38,10000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,39,,1,39,39,10500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,40,,1,40,40,11000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,41,,1,41,41,12000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,42,,1,42,42,13000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,43,,1,43,43,14000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,44,,1,44,44,15000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,45,,1,45,45,16000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,46,,1,46,46,17000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,47,,1,47,47,18000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,48,,1,48,48,19000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,49,,1,49,49,20000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,50,,1,50,50,21000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,51,,1,51,51,22000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,52,,1,52,52,23000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,53,,1,53,53,24000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,54,,1,54,54,25000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,55,,1,55,55,26000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,56,,1,56,56,27000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,57,,1,57,57,28000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,58,,1,58,58,29000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,59,,1,59,59,30000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,60,,1,60,60,31000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,61,,1,61,61,32000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,62,,1,62,62,33000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,63,,1,63,63,34000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,64,,1,64,64,35000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,65,,1,65,65,36000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,66,,1,66,66,37000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,67,,1,67,67,38000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,68,,1,68,68,39000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,69,,1,69,69,40000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,70,,1,70,70,41000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,71,,1,71,71,42000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,72,,1,72,72,43000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,73,,1,73,73,44000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,74,,1,74,74,45000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,75,,1,75,75,46000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,76,,1,76,76,47000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,77,,1,77,77,48000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,78,,1,78,78,49000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,79,,1,79,79,50000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,80,,1,80,80,50000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,81,,2,1,1,100,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,82,,2,2,2,200,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,83,,2,3,3,300,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,84,,2,4,4,400,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,85,,2,5,5,500,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,86,,2,6,6,600,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,87,,2,7,7,700,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,88,,2,8,8,800,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,89,,2,9,9,900,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,90,,2,10,10,1000,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,91,,2,11,11,1200,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,92,,2,12,12,1400,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,93,,2,13,13,1600,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,94,,2,14,14,1800,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,95,,2,15,15,2000,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,96,,2,16,16,2200,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,97,,2,17,17,2400,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,98,,2,18,18,2600,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,99,,2,19,19,2800,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,100,,2,20,20,3000,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,101,,2,21,21,3300,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,102,,2,22,22,3600,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,103,,2,23,23,3900,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,104,,2,24,24,4200,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,105,,2,25,25,4500,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,106,,2,26,26,4800,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,107,,2,27,27,5100,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,108,,2,28,28,5400,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,109,,2,29,29,5700,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,110,,2,30,30,6000,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,111,,2,31,31,6500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,112,,2,32,32,7000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,113,,2,33,33,7500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,114,,2,34,34,8000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,115,,2,35,35,8500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,116,,2,36,36,9000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,117,,2,37,37,9500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,118,,2,38,38,10000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,119,,2,39,39,10500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,120,,2,40,40,11000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,121,,2,41,41,12000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,122,,2,42,42,13000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,123,,2,43,43,14000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,124,,2,44,44,15000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,125,,2,45,45,16000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,126,,2,46,46,17000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,127,,2,47,47,18000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,128,,2,48,48,19000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,129,,2,49,49,20000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,130,,2,50,50,21000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,131,,2,51,51,22000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,132,,2,52,52,23000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,133,,2,53,53,24000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,134,,2,54,54,25000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,135,,2,55,55,26000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,136,,2,56,56,27000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,137,,2,57,57,28000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,138,,2,58,58,29000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,139,,2,59,59,30000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,140,,2,60,60,31000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,141,,2,61,61,32000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,142,,2,62,62,33000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,143,,2,63,63,34000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,144,,2,64,64,35000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,145,,2,65,65,36000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,146,,2,66,66,37000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,147,,2,67,67,38000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,148,,2,68,68,39000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,149,,2,69,69,40000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,150,,2,70,70,41000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,151,,2,71,71,42000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,152,,2,72,72,43000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,153,,2,73,73,44000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,154,,2,74,74,45000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,155,,2,75,75,46000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,156,,2,76,76,47000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,157,,2,77,77,48000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,158,,2,78,78,49000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,159,,2,79,79,50000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,160,,2,80,80,50000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,161,,3,1,1,100,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,162,,3,2,2,200,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,163,,3,3,3,300,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,164,,3,4,4,400,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,165,,3,5,5,500,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,166,,3,6,6,600,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,167,,3,7,7,700,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,168,,3,8,8,800,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,169,,3,9,9,900,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,170,,3,10,10,1000,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,171,,3,11,11,1200,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,172,,3,12,12,1400,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,173,,3,13,13,1600,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,174,,3,14,14,1800,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,175,,3,15,15,2000,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,176,,3,16,16,2200,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,177,,3,17,17,2400,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,178,,3,18,18,2600,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,179,,3,19,19,2800,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,180,,3,20,20,3000,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
