,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,sort,activity_id,monitor_id,mask_index,mask_id,award,point,start_time
备注,分段id,分段类别,活动id,监听事件id,掩码字段位,掩码值,奖励id,积分点数,目标开启时间
,1010516,4,0,1017,1,49,7000809,0,0
,1010517,4,0,2119,1,50,7000810,0,0
,1010518,4,0,2120,1,51,7000811,0,0
,1010519,4,0,2121,1,52,7000812,0,0
,1010520,4,0,2122,1,53,7000813,0,0
,1010521,4,0,2123,1,54,7000814,0,0
,1010522,4,0,2124,1,55,7000815,0,0
,1010523,4,0,2125,1,56,7000816,0,0
,1010524,4,0,2126,1,57,7000817,0,0
,1010525,4,0,2127,1,58,7000818,0,0
,1010526,4,0,2128,1,59,7000819,0,0
,1010527,4,0,2129,1,60,7000820,0,0
,1010528,4,0,2130,10,36,7000821,0,0
,1010529,4,0,2131,10,37,7000822,0,0
,1010530,4,0,2132,10,38,7000823,0,0
,1010531,4,0,2133,10,39,7000824,0,0
,1010532,4,0,2134,10,40,7000825,0,0
,1010533,4,0,2135,10,41,7000826,0,0
,1010534,4,0,2136,10,42,7000827,0,0
,1010535,4,0,2137,10,43,7000828,0,0
,1010536,4,0,2138,10,44,7000829,0,0
,1010537,4,0,2139,10,45,7000830,0,0
,1010538,4,0,2140,10,46,7000831,0,0
,1010539,4,0,2141,10,47,7000832,0,0
,1010540,4,0,2142,10,48,7000833,0,0
,1010541,4,0,2143,10,49,7000834,0,0
,1010542,4,0,2144,10,50,7000835,0,0
,1010543,4,0,2145,10,51,7000836,0,0
,1010544,4,0,2146,10,52,7000837,0,0
,1010545,4,0,2147,10,53,7000838,0,0
,1010546,4,0,2148,10,54,7000839,0,0
,1010547,4,0,2149,10,55,7000840,0,0
,1010548,4,0,2150,10,56,7000841,0,0
,1010549,4,0,2151,10,57,7000842,0,0
,1010550,4,0,2152,10,58,7000843,0,0
,1010551,4,0,2153,10,59,7000844,0,0
,1010552,4,0,2154,10,60,7000845,0,0
,1010553,4,0,2155,11,1,7000846,0,0
,1010554,4,0,2156,11,2,7000847,0,0
,1010555,4,0,2157,11,3,7000848,0,0
,1010556,4,0,2158,11,4,7000849,0,0
,1010557,4,0,2159,11,5,7000850,0,0
,1010558,4,0,2160,11,6,7000851,0,0
,1010559,4,0,2161,11,7,7000852,0,0
,1010560,4,0,2162,11,8,7000853,0,0
,1010561,4,0,2163,11,9,7000854,0,0
,1010562,4,0,2164,11,10,7000855,0,0
,1010563,4,0,2165,11,11,7000856,0,0
,1010564,4,0,2166,11,12,7000857,0,0
,1010565,4,0,2167,11,13,7000858,0,0
,1010566,4,0,2168,11,14,7000859,0,0
,1010567,4,0,2169,11,15,7000860,0,0
,1010568,4,0,2170,11,16,7000861,0,0
,1010569,4,0,2171,11,17,7000862,0,0
,1010570,4,0,2172,11,18,7000863,0,0
,1010571,4,0,2173,11,19,7000864,0,0
,1010572,4,0,2174,11,20,7000865,0,0
,1010573,4,0,2175,11,21,7000866,0,0
,1010574,4,0,2176,11,22,7000867,0,0
,1010575,4,0,2177,11,23,7000868,0,0
,1010576,4,0,2178,11,24,7000869,0,0
,1010577,4,0,2179,11,25,7000870,0,0
,1010578,4,0,2180,11,26,7000871,0,0
,1010579,4,0,2181,11,27,7000872,0,0
,2010000,2,10004,1021,1,1,7000006,10,1
,2010001,2,10004,1327,1,2,7000007,5,1
,2010002,2,10004,1297,1,3,7000008,10,1
,2010003,2,10004,1387,1,4,7000009,5,1
,2010004,2,10004,1336,1,5,7000010,10,1
,2010005,2,10004,1340,1,6,7000025,10,2
,2010006,2,10004,1522,1,7,7000026,10,2
,2010007,2,10004,2108,1,8,7000027,10,2
,2010008,2,10004,2109,1,9,7000028,20,2
,2010009,2,10004,1343,1,10,7000029,10,2
,2010010,2,10004,1023,1,11,7000030,10,3
,2010011,2,10004,1141,1,12,7000031,10,3
,2010012,2,10004,2110,1,13,7000032,20,3
,2010013,2,10004,1342,1,14,7000033,30,3
,2010014,2,10004,1337,1,15,7000034,15,3
,2010015,2,10004,1335,1,16,7000035,20,4
,2010016,2,10004,2111,1,17,7000036,30,4
,2010017,2,10004,2112,1,18,7000037,30,4
,2010018,2,10004,1401,1,19,7000038,10,4
,2010019,2,10004,1333,1,20,7000039,20,4
,2010020,2,10004,1338,1,21,7000040,20,5
,2010021,2,10004,1339,1,22,7000041,30,5
,2010022,2,10004,1346,1,23,7000042,20,5
,2010023,2,10004,1274,1,24,7000043,30,5
,2010024,2,10004,1344,1,25,7000044,20,5
,2010025,2,10004,1334,1,26,7000045,20,6
,2010026,2,10004,1135,1,27,7000046,35,6
,2010027,2,10004,2113,1,28,7000047,35,6
,2010028,2,10004,1015,1,29,7000048,25,6
,2010029,2,10004,1341,1,30,7000049,20,6
,2010030,2,10004,1347,1,31,7000050,50,7
,2010031,2,10004,1202,1,32,7000051,30,7
,2010032,2,10004,2114,1,33,7000052,30,7
,2010033,2,10004,1299,1,34,7000053,10,7
,2010034,2,10004,1345,1,35,7000054,30,7
,1010000,1,0,1720,2,1,7000155,2,0
,1010001,1,0,1721,2,2,7000156,3,0
,1010002,1,0,1347,2,3,7000157,5,0
,1010003,1,0,1722,2,4,7000158,8,0
,1010004,1,0,1723,2,5,7000159,10,0
,1010005,1,0,1724,2,6,7000160,15,0
,1010006,1,0,1106,2,7,7000161,2,0
,1010007,1,0,1107,2,8,7000162,3,0
,1010008,1,0,1108,2,9,7000163,5,0
,1010009,1,0,1110,2,10,7000164,8,0
,1010010,1,0,1112,2,11,7000165,10,0
,1010011,1,0,1725,2,12,7000166,15,0
,1010012,1,0,1726,2,13,7000167,20,0
,1010013,1,0,1114,2,14,7000168,2,0
,1010014,1,0,1115,2,15,7000169,3,0
,1010015,1,0,1116,2,16,7000170,5,0
,1010016,1,0,1118,2,17,7000171,8,0
,1010017,1,0,1120,2,18,7000172,10,0
,1010018,1,0,1727,2,19,7000173,15,0
,1010019,1,0,1728,2,20,7000174,20,0
,1010020,1,0,1729,2,21,7000175,2,0
,1010021,1,0,1730,2,22,7000176,3,0
,1010022,1,0,1731,2,23,7000177,5,0
,1010023,1,0,1732,2,24,7000178,8,0
,1010024,1,0,1733,2,25,7000179,10,0
,1010025,1,0,1734,2,26,7000180,15,0
,1010026,1,0,1735,2,27,7000181,20,0
,1010027,1,0,1736,2,28,7000182,2,0
,1010028,1,0,1737,2,29,7000183,3,0
,1010029,1,0,1738,2,30,7000184,5,0
,1010030,1,0,1739,2,31,7000185,8,0
,1010031,1,0,1740,2,32,7000186,10,0
,1010032,1,0,1741,2,33,7000187,15,0
,1010033,1,0,1742,2,34,7000188,20,0
,1010034,1,0,1743,2,35,7000189,2,0
,1010035,1,0,1744,2,36,7000190,3,0
,1010036,1,0,1745,2,37,7000191,5,0
,1010037,1,0,1746,2,38,7000192,8,0
,1010038,1,0,1747,2,39,7000193,10,0
,1010039,1,0,1748,2,40,7000194,15,0
,1010040,1,0,1749,2,41,7000195,20,0
,1010041,1,0,1141,2,42,7000196,5,0
,1010042,1,0,1144,2,43,7000197,10,0
,1010043,1,0,1750,2,44,7000198,20,0
,1010044,1,0,1751,2,45,7000199,30,0
,1010045,1,0,1243,2,46,7000200,5,0
,1010046,1,0,1246,2,47,7000201,10,0
,1010047,1,0,1752,2,48,7000202,20,0
,1010048,1,0,1753,2,49,7000203,30,0
,1010049,1,0,1754,2,50,7000204,5,0
,1010050,1,0,1755,2,51,7000205,10,0
,1010051,1,0,1756,2,52,7000206,20,0
,1010052,1,0,1757,2,53,7000207,30,0
,1010053,1,0,1758,2,54,7000208,5,0
,1010054,1,0,1759,2,55,7000209,10,0
,1010055,1,0,1760,2,56,7000210,20,0
,1010056,1,0,1761,2,57,7000211,30,0
,1010057,1,0,1762,2,58,7000212,5,0
,1010058,1,0,1763,2,59,7000213,10,0
,1010059,1,0,1764,2,60,7000214,20,0
,1010060,1,0,1765,3,1,7000215,30,0
