,required,required,optional,required,required,required,required,optional,required,repeated,repeated,required,repeated,required,repeated,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,string,uint32,uint32
,id,name,attr_type,type,sex,family,profession,level,attr_id,special_effects,own_skills,skill_que,skill_vis,skill_loop_que,skill_que_vis,action_id
备注,怪物ID,注释,属性适配类型,怪物类型,性别,家族,职业类型,等级,怪物属性ID,特殊效果ID,拥有技能列表,技能序列,技能序列可见性,循环技能序列,循环技能序列可见性,效果ID
,5000,绿林花妖,0,0,1,5,2,1,5000,,500001;500002,"0,0,1",0,"0,0,1",0,0
,5001,矮巨人矿工,0,0,1,4,1,1,5001,1141,500101;500102,"0,0,1",0,"0,0,1",0,0
,5002,民工鹿角兽,0,0,1,1,1,1,5002,,500201;500202,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,5003,树心城鹿角兽,0,0,1,1,1,1,5003,,500301;500302,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,8000,矮巨人指挥官,0,0,1,4,1,1,8000,1141,800001;800002;800003,"0,1,2;1,2,0,2",0,"0,1,2;1,2,0,2",0,0
愤怒,9000,愤怒,0,2,1,6,2,1,9000,,900001;900002;900003;900004,"2,1,3;0,1,1",0,"0,1,2;0,2,1,3;0,1,1",0,0
尼格斯,9001,尼格斯,0,2,1,6,2,1,9001,,900101;900102;900103;900104,"2,1,3;0,1,1",0,"0,1,2;0,2,1,3;0,1,1",0,0
恶魔修帝,9002,恶魔修帝,0,2,1,6,2,1,9002,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
蜘蛛女王,9003,蜘蛛女王,0,2,2,6,1,1,9003,,900301;900302;900303;900304,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
普通盗贼,10001,普通盗贼,0,0,1,4,1,0,10001,,1000101;1000102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
部落精英战士,10002,部落精英战士,0,1,1,4,1,0,10002,1101,1000201;1000202,"0,1,0,1,0;1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
草原游侠,10003,草原游侠,0,0,1,4,1,0,10003,,1000301;1000302,"0,0,1",0,"0,0,1",0,0
部落战士,10004,部落战士,0,0,1,4,1,0,10004,1101,1000401;1000402,"0,1,0,1,0;1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
金钱哥布林,10005,金钱哥布林,0,0,1,5,1,0,10005,,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
