,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,award_id,award_type,award_type_id,award_num,award_show
备注,id,奖励id,类型,物品id,物品数量,是否展示
,10000,7000000,1,2110001,20,0
,10001,7000001,1,120023,3,0
,10002,7000001,1,120022,5,0
,10003,7000002,1,120013,3,0
,10004,7000002,1,120012,5,0
,10005,7000003,1,3010013,10,0
,10006,7000003,1,6003003,10,0
,10007,7000004,1,500014,2,0
,10008,7000004,1,2120013,3,0
,10009,7000005,1,3030013,1,0
,10010,7000005,1,120013,5,0
,10011,7000011,1,1,3000,0
,10012,7000011,1,3,20000,1
,10013,7000012,1,1,4500,0
,10014,7000012,1,3,30000,0
,10015,7000012,1,3010013,10,0
,10016,7000012,2,102,1,1
,10017,7000013,1,1,6000,0
,10018,7000013,1,3,40000,0
,10019,7000013,1,210023,1,0
,10020,7000013,3,4094,1,1
,10021,7000013,1,210000,10,0
,10022,7000014,1,1,6000,0
,10023,7000014,1,3,50000,0
,10024,7000014,1,2110001,20,1
,10025,7000014,1,2120013,2,0
,10026,7000015,1,1,6000,0
,10027,7000015,1,3,60000,0
,10028,7000015,1,120013,1,0
,10029,7000015,1,120023,1,1
,10030,7000016,1,1,6000,0
,10031,7000016,1,3,80000,0
,10032,7000016,1,500014,5,0
,10033,7000017,1,1,6000,0
,10034,7000017,1,3,100000,0
,10035,7000017,1,2110001,50,0
,10036,7000017,1,2120013,5,0
,10037,7000017,2,302,1,1
,10038,7000018,1,1,6000,0
,10039,7000018,1,3,120000,0
,10040,7000018,1,6003003,10,0
,10041,7000019,1,1,6000,0
,10042,7000019,1,3,140000,0
,10043,7000019,1,120013,2,1
,10044,7000019,1,120023,2,0
,10045,7000020,1,1,6000,0
,10046,7000020,1,3,160000,0
,10047,7000020,1,500014,10,0
,10048,7000021,1,1,6000,0
,10049,7000021,1,3,180000,0
,10050,7000021,1,120013,3,1
,10051,7000021,1,120023,3,0
,10052,7000022,1,1,6000,0
,10053,7000022,1,3,200000,0
,10054,7000022,1,3030013,1,0
,10055,7000023,1,1,6000,0
,10056,7000023,1,3,250000,1
,10057,7000023,1,120013,4,0
,10058,7000023,1,120023,4,0
,10059,7000024,1,1,6000,0
,10060,7000024,1,3,300000,0
,10061,7000024,1,2110001,100,0
,10062,7000024,1,2120013,10,0
,10063,7000024,2,105,1,1
,10064,7000006,1,1,100,0
,10065,7000007,1,12,300,0
,10066,7000008,1,2110001,10,0
,10067,7000009,1,210000,5,0
,10068,7000010,1,1,100,0
,10069,7000025,1,1,150,0
,10070,7000026,1,120013,1,0
,10071,7000027,1,2120013,2,0
,10072,7000028,1,2110001,15,0
,10073,7000029,1,1,150,0
,10074,7000030,1,1,150,0
,10075,7000031,1,3010013,5,0
,10076,7000032,1,2110001,20,0
,10077,7000033,1,500014,1,0
,10078,7000034,1,1,150,0
,10079,7000035,1,1,200,0
,10080,7000036,1,2120013,2,0
,10081,7000037,1,2110002,3,0
,10082,7000038,1,120013,1,0
,10083,7000039,1,1,200,0
,10084,7000040,1,1,200,0
,10085,7000041,1,2110002,3,0
,10086,7000042,1,500014,5,0
,10087,7000043,1,120023,1,0
,10088,7000044,1,1,200,0
,10089,7000045,1,1,200,0
,10090,7000046,1,3010013,5,0
,10091,7000047,1,2110001,5,0
,10092,7000048,1,11,300,0
,10093,7000049,1,1,200,0
,10094,7000050,1,120013,5,0
,10095,7000051,1,120023,2,0
,10096,7000052,1,120023,2,0
,10097,7000053,1,120023,2,0
,10098,7000054,1,120013,2,0
,10180,7000109,1,12,100,0
,10181,7000110,1,12,200,0
,10182,7000110,1,3,50000,0
,10183,7000111,1,12,300,0
,10184,7000111,1,3,100000,0
,10185,7000111,1,3040013,1,0
,10186,7000112,1,12,500,0
,10187,7000112,1,420013,1,0
,10188,7000112,1,210023,1,0
,10189,7000113,1,12,1000,0
,10190,7000113,1,420014,1,0
,10191,7000113,1,120013,1,0
,10192,7000113,1,120023,1,0
,10193,7000005,1,120023,5,0
,10194,7000055,1,3,10000,0
,10195,7000056,1,1,50,0
,10196,7000057,1,3,20000,0
,10197,7000057,1,3010013,5,0
,10198,7000058,1,1,60,0
,10199,7000058,1,120023,1,0
,10200,7000059,1,3,25000,0
,10201,7000059,1,2110001,10,0
,10202,7000059,1,210000,1,0
,10203,7000060,1,1,70,0
,10204,7000060,1,120013,1,0
,10205,7000061,1,3,30000,0
,10206,7000061,1,120012,5,0
,10207,7000061,1,120022,5,0
,10208,7000062,1,1,80,0
,10209,7000062,1,220003,1,0
,10210,7000063,1,3,35000,0
,10211,7000063,1,310020,1,0
,10212,7000064,1,1,90,0
,10213,7000064,1,120023,1,0
,10214,7000064,1,120022,3,0
,10215,7000064,1,420014,1,1
,10216,7000065,1,3,40000,0
,10217,7000065,1,120013,1,0
,10218,7000065,1,120012,3,0
,10219,7000066,1,1,100,0
,10220,7000066,1,210000,5,0
,10221,7000067,1,3,50000,0
,10222,7000067,1,3010013,10,0
,10223,7000067,1,210000,2,0
,10224,7000068,1,1,120,0
,10225,7000068,1,120023,1,0
,10226,7000069,1,3,60000,0
,10227,7000069,1,2110002,5,0
,10228,7000070,1,1,130,0
,10229,7000070,1,120013,1,0
,10230,7000071,1,3,65000,0
,10231,7000071,1,120012,10,0
,10232,7000071,1,120022,10,0
,10233,7000072,1,1,150,0
,10234,7000072,1,220003,2,0
,10235,7000073,1,3,75000,0
,10236,7000073,1,6003003,10,0
,10237,7000074,1,1,200,0
,10238,7000074,1,120013,1,0
,10239,7000074,1,120012,5,0
,10240,7000074,1,3030013,1,1
,10241,7000075,1,3,100000,0
,10242,7000075,1,120023,1,0
,10243,7000075,1,120022,5,0
,10244,7000076,1,1,240,0
,10245,7000076,1,210000,2,0
,10246,7000077,1,3,120000,0
,10247,7000077,1,3010013,5,0
,10248,7000077,1,210000,3,0
,10249,7000078,1,1,240,0
,10250,7000078,1,120023,1,0
,10251,7000079,1,3,120000,0
,10252,7000079,1,2110001,10,0
,10253,7000080,1,1,300,0
,10254,7000080,1,120013,1,0
,10255,7000081,1,3,150000,0
,10256,7000081,1,120012,15,0
,10257,7000081,1,120022,15,0
,10258,7000082,1,1,400,0
,10259,7000082,1,220003,3,0
,10260,7000083,1,3,200000,0
,10261,7000083,1,310020,1,0
,10262,7000084,1,1,500,0
,10263,7000084,1,120013,1,0
,10264,7000084,1,120023,1,0
,10265,7000084,1,421024,1,1
,10266,7000085,1,120013,1,0
,10267,7000085,1,120012,2,0
,10268,7000085,1,120023,1,0
,10269,7000085,1,120022,2,0
,10270,7000086,1,120013,2,0
,10271,7000086,1,120012,4,0
,10272,7000086,1,120023,2,0
,10273,7000086,1,120022,4,0
,10274,7000087,1,120013,3,0
,10275,7000087,1,120012,6,0
,10276,7000087,1,120023,3,0
,10277,7000087,1,120022,6,0
,10278,7000088,1,120013,4,0
,10279,7000088,1,120012,8,0
,10280,7000088,1,120023,4,0
,10281,7000088,1,120022,8,0
,10282,7000089,1,120013,5,0
,10283,7000089,1,120012,10,0
,10284,7000089,1,120023,5,0
,10285,7000089,1,120022,10,0
,10286,7000090,1,120013,6,0
,10287,7000090,1,120012,12,0
,10288,7000090,1,120023,6,0
,10289,7000090,1,120022,12,0
,10290,7000091,1,120013,7,0
,10291,7000091,1,120012,14,0
,10292,7000091,1,120023,7,0
,10293,7000091,1,120022,14,0
,10294,7000092,1,120013,8,0
,10295,7000092,1,120012,16,0
,10296,7000092,1,120023,8,0
,10297,7000092,1,120022,16,0
,10298,7000093,1,120013,9,0
,10299,7000093,1,120012,18,0
,10300,7000093,1,120023,9,0
,10301,7000093,1,120022,18,0
,10302,7000094,1,120013,10,0
,10303,7000094,1,120012,20,0
,10304,7000094,1,120023,10,0
,10305,7000094,1,120022,20,0
,10306,7000123,1,120013,11,0
,10307,7000123,1,120012,22,0
,10308,7000123,1,120023,11,0
,10309,7000123,1,120022,22,0
,10310,7000124,1,120013,12,0
,10311,7000124,1,120012,24,0
,10312,7000124,1,120023,12,0
,10313,7000124,1,120022,24,0
,10314,7000125,1,120013,13,0
,10315,7000125,1,120012,26,0
,10316,7000125,1,120023,13,0
,10317,7000125,1,120022,26,0
,10318,7000126,1,120013,14,0
,10319,7000126,1,120012,28,0
,10320,7000126,1,120023,14,0
,10321,7000126,1,120022,28,0
,10322,7000127,1,120013,15,0
,10323,7000127,1,120012,30,0
,10324,7000127,1,120023,15,0
,10325,7000127,1,120022,30,0
,10326,7000128,1,120013,16,0
,10327,7000128,1,120012,32,0
,10328,7000128,1,120023,16,0
,10329,7000128,1,120022,32,0
,10330,7000129,1,120013,17,0
,10331,7000129,1,120012,34,0
,10332,7000129,1,120023,17,0
,10333,7000129,1,120022,34,0
,10334,7000130,1,120013,18,0
,10335,7000130,1,120012,36,0
,10336,7000130,1,120023,18,0
,10337,7000130,1,120022,36,0
,10338,7000131,1,120013,19,0
,10339,7000131,1,120012,38,0
,10340,7000131,1,120023,19,0
,10341,7000131,1,120022,38,0
,10342,7000132,1,120013,20,0
,10343,7000132,1,120012,40,0
,10344,7000132,1,120023,20,0
,10345,7000132,1,120022,40,0
,10346,7000133,1,120013,21,0
,10347,7000133,1,120012,42,0
,10348,7000133,1,120023,21,0
,10349,7000133,1,120022,42,0
,10350,7000134,1,120013,22,0
,10351,7000134,1,120012,44,0
,10352,7000134,1,120023,22,0
,10353,7000134,1,120022,44,0
,10354,7000135,1,120012,1,0
,10355,7000135,1,120022,1,0
,10356,7000136,1,120013,1,0
,10357,7000136,1,120012,2,0
,10358,7000136,1,120023,1,0
,10359,7000136,1,120022,2,0
,10360,7000137,1,120013,1,0
,10361,7000137,1,120012,3,0
,10362,7000137,1,120023,1,0
,10363,7000137,1,120022,3,0
,10364,7000138,1,120013,2,0
,10365,7000138,1,120012,4,0
,10366,7000138,1,120023,2,0
,10367,7000138,1,120022,4,0
,10368,7000139,1,120013,2,0
,10369,7000139,1,120012,5,0
,10370,7000139,1,120023,2,0
,10371,7000139,1,120022,5,0
,10372,7000140,1,120013,2,0
,10373,7000140,1,120012,6,0
,10374,7000140,1,120023,3,0
,10375,7000140,1,120022,6,0
,10376,7000141,1,120013,3,0
,10377,7000141,1,120012,7,0
,10378,7000141,1,120023,3,0
,10379,7000141,1,120022,7,0
,10380,7000142,1,120013,3,0
,10381,7000142,1,120012,8,0
,10382,7000142,1,120023,4,0
,10383,7000142,1,120022,8,0
,10384,7000143,1,120013,4,0
,10385,7000143,1,120012,9,0
,10386,7000143,1,120023,5,0
,10387,7000143,1,120022,9,0
,10388,7000144,1,120013,4,0
,10389,7000144,1,120012,10,0
,10390,7000144,1,120023,6,0
,10391,7000144,1,120022,10,0
,10392,7000145,1,120013,5,0
,10393,7000145,1,120012,11,0
,10394,7000145,1,120023,7,0
,10395,7000145,1,120022,11,0
,10396,7000146,1,120013,5,0
,10397,7000146,1,120012,12,0
,10398,7000146,1,120023,8,0
,10399,7000146,1,120022,12,0
,10400,7000147,1,120013,6,0
,10401,7000147,1,120012,13,0
,10402,7000147,1,120023,9,0
,10403,7000147,1,120022,13,0
,10404,7000148,1,120013,6,0
,10405,7000148,1,120012,14,0
,10406,7000148,1,120023,9,0
,10407,7000148,1,120022,14,0
,10408,7000149,1,120013,7,0
,10409,7000149,1,120012,15,0
,10410,7000149,1,120023,9,0
,10411,7000149,1,120022,15,0
,10412,7000150,1,120013,7,0
,10413,7000150,1,120012,16,0
,10414,7000150,1,120023,9,0
,10415,7000150,1,120022,16,0
,10416,7000151,1,120013,8,0
,10417,7000151,1,120012,17,0
,10418,7000151,1,120023,9,0
,10419,7000151,1,120022,17,0
,10420,7000152,1,120013,8,0
,10421,7000152,1,120012,18,0
,10422,7000152,1,120023,9,0
,10423,7000152,1,120022,18,0
,10424,7000153,1,120013,9,0
,10425,7000153,1,120012,19,0
,10426,7000153,1,120023,9,0
,10427,7000153,1,120022,19,0
,10428,7000154,1,120013,9,0
,10429,7000154,1,120012,20,0
,10430,7000154,1,120023,9,0
,10431,7000154,1,120022,20,0
,10432,7000155,1,13,2,0
,10433,7000156,1,13,5,0
,10434,7000157,1,13,10,0
,10435,7000158,1,13,20,0
,10436,7000159,1,13,30,0
,10437,7000160,1,13,50,0
,10438,7000161,1,4,20000,0
,10439,7000162,1,4,50000,0
,10440,7000163,1,4,100000,0
,10441,7000164,1,4,150000,0
,10442,7000165,1,4,200000,0
,10443,7000166,1,4,300000,0
,10444,7000167,1,4,400000,0
,10445,7000168,1,4,30000,0
,10446,7000169,1,4,75000,0
,10447,7000170,1,4,150000,0
,10448,7000171,1,4,225000,0
,10449,7000172,1,4,300000,0
